Month,Passengers
Jan-02,112
Feb-02,118
Mar-02,132
Apr-02,129
May-02,121
Jun-02,135
Jul-02,148
Aug-02,148
Sep-02,136
Oct-02,119
Nov-02,104
Dec-02,118
Jan-03,115
Feb-03,126
Mar-03,141
Apr-03,135
May-03,125
Jun-03,149
Jul-03,170
Aug-03,170
Sep-03,158
Oct-03,133
Nov-03,114
Dec-03,140
Jan-04,145
Feb-04,150
Mar-04,178
Apr-04,163
May-04,172
Jun-04,178
Jul-04,199
Aug-04,199
Sep-04,184
Oct-04,162
Nov-04,146
Dec-04,166
Jan-05,171
Feb-05,180
Mar-05,193
Apr-05,181
May-05,183
Jun-05,218
Jul-05,230
Aug-05,242
Sep-05,209
Oct-05,191
Nov-05,172
Dec-05,194
Jan-06,196
Feb-06,196
Mar-06,236
Apr-06,235
May-06,229
Jun-06,243
Jul-06,264
Aug-06,272
Sep-06,237
Oct-06,211
Nov-06,180
Dec-06,201
Jan-07,204
Feb-07,188
Mar-07,235
Apr-07,227
May-07,234
Jun-07,264
Jul-07,302
Aug-07,293
Sep-07,259
Oct-07,229
Nov-07,203
Dec-07,229
Jan-08,242
Feb-08,233
Mar-08,267
Apr-08,269
May-08,270
Jun-08,315
Jul-08,364
Aug-08,347
Sep-08,312
Oct-08,274
Nov-08,237
Dec-08,278
Jan-09,284
Feb-09,277
Mar-09,317
Apr-09,313
May-09,318
Jun-09,374
Jul-09,413
Aug-09,405
Sep-09,355
Oct-09,306
Nov-09,271
Dec-09,306
Jan-10,315
Feb-10,301
Mar-10,356
Apr-10,348
May-10,355
Jun-10,422
Jul-10,465
Aug-10,467
Sep-10,404
Oct-10,347
Nov-10,305
Dec-10,336
Jan-11,340
Feb-11,318
Mar-11,362
Apr-11,348
May-11,363
Jun-11,435
Jul-11,491
Aug-11,505
Sep-11,404
Oct-11,359
Nov-11,310
Dec-11,337
Jan-12,360
Feb-12,342
Mar-12,406
Apr-12,396
May-12,420
Jun-12,472
Jul-12,548
Aug-12,559
Sep-12,463
Oct-12,407
Nov-12,362
Dec-12,405
Jan-13,417
Feb-13,391
Mar-13,419
Apr-13,461
May-13,472
Jun-13,535
Jul-13,622
Aug-13,606
Sep-13,508
Oct-13,461
Nov-13,390
Dec-13,432
