GeoFIPS,state,unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""00000"" ",United States,Thousands of chained 2012 dollars,13262079000,13493064000,13879129000,14406382000,14912509000,15338257000,15626029000,15604687000,15208834000,15598753000,15840664000,16197007000,16495369000,16912038000,17403843000,17688890000,18108082000,18638164000
" ""06000"" ",California,Thousands of chained 2012 dollars,1702775684,1743650572,1825424001,1902318814,1990140775,2072176996,2103618233,2111137962,2026486926,2058137866,2091585974,2144497264,2220867647,2312540069,2428598371,2500950427,2610682250,2721651005
" ""36000"" ",New York,Thousands of chained 2012 dollars,1112238683,1102140105,1104937149,1132504190,1171050973,1199903843,1202725761,1175470863,1223229416,1269486493,1269244859,1322447945,1319298532,1349268145,1372162790,1389680638,1418942002,1435636154
" ""48000"" ",Texas,Thousands of chained 2012 dollars,1021889000,1041811003,1048298617,1102696257,1132796112,1210286775,1274302515,1275773586,1271435812,1301726735,1343790943,1411378717,1472103522,1523057194,1596361911,1600260157,1646264293,1712764025
" ""12000"" ",Florida,Thousands of chained 2012 dollars,658639985,685303966,715436082,757054119,806338596,834345888,835867123,803217851,758264059,766199225,763745865,769309110,784090090,805278016,839124321,866730997,896117037,924873329
" ""17000"" ",Illinois,Thousands of chained 2012 dollars,644181346,647867511,655834740,673262441,685896702,704494498,712709786,699429545,682965584,694961100,707059483,720702331,724616358,735035560,744517833,747167990,753637957,769800594
" ""42000"" ",Pennsylvania,Thousands of chained 2012 dollars,544790784,550247039,562435728,578033769,588054855,592030302,612017566,623821337,605496739,622466659,631371836,641317295,651318915,666494426,681234571,689844386,693675632,711822173
" ""39000"" ",Ohio,Thousands of chained 2012 dollars,501815353,514752042,522648904,534358655,543744720,541179560,541411169,537199701,509215657,521094681,538703320,540819313,550800007,571911563,580414093,585088902,594315188,605394561
" ""34000"" ",New Jersey,Thousands of chained 2012 dollars,476507747,487050231,499694881,507585351,513498689,524056206,526814410,533053736,511149598,516589316,510928522,519745837,523334182,525728494,535299201,539942759,543530089,555755102
" ""26000"" ",Michigan,Thousands of chained 2012 dollars,423623629,435250372,443794724,444198238,450745894,443308312,441148492,416701807,380091189,400941416,411465712,418857402,424319892,431510944,442481789,452268793,459129090,470529220
