id,disp.2,disp.3,disp.1,disp.4,feat.2,feat.3,feat.1,feat.4,price.2,price.3,price.1,price.4,male,age,choice
1,0,0,0,0,0,0,0,0,98.000002,88,120,70.999998,1,47,1
2,0,0,0,0,0,0,0,0,79.000002,99.000001,69,69,0,31,1
3,0,0,0,0,0,0,0,0,68.000001,88,88,58.999997,1,61,1
4,0,0,0,0,0,0,0,0,98.000002,99.000001,109,55.000001,0,29,4
5,0,0,0,0,0,0,0,0,69,88.999999,105.99999,68.000001,1,49,3
6,0,0,0,0,0,0,0,0,69,88,88.999999,67.000002,0,26,4
7,0,0,0,0,0,0,0,0,79.000002,99.000001,69,69,1,37,1
8,0,0,0,0,0,0,0,0,69,88,120,70.999998,0,33,1
9,0,0,0,0,0,0,0,0,49.000001,109,109,77.999997,1,25,2
10,0,0,0,0,0,0,0,0,69,88,120,70.999998,0,51,1
11,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,1,49,1
12,0,0,0,0,0,0,0,0,98.000002,88,88.999999,55.000001,0,37,4
13,0,0,0,0,0,0,0,0,69,88,88.999999,55.000001,1,27,4
14,0,0,0,0,0,0,0,0,73.000002,93.000001,69,68.000001,0,52,1
15,0,0,0,0,0,0,0,0,85.000002,98.000002,88.999999,68.000001,1,29,1
16,0,0,0,0,0,0,0,0,85.000002,88,103,68.000001,0,51,1
17,0,0,0,0,0,0,0,0,69,88,88.999999,79.000002,1,45,4
18,0,0,0,0,0,0,0,0,88.999999,99.000001,105,64.999998,0,30,4
19,0,0,0,0,0,0,0,0,69,88,120,70.999998,1,47,1
20,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,0,27,4
21,0,0,0,0,0,0,0,0,98.000002,88,120,70.999998,1,46,1
22,0,0,0,0,0,0,0,0,88.999999,102,88.999999,49.000001,0,41,1
23,0,0,0,0,0,0,0,0,99.000001,109,94.999999,55.000001,1,28,4
24,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,0,31,4
25,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,1,41,1
26,0,0,0,0,0,0,0,0,69,88,88.999999,55.000001,0,25,4
27,0,0,0,0,0,0,0,0,58.999997,99.000001,88.999999,64.999998,1,59,2
28,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,0,55,1
29,0,0,0,0,0,0,0,0,98.000002,88,120,70.999998,1,33,1
30,0,0,0,0,0,0,0,0,69,88,109,70.999998,0,43,1
31,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,1,43,1
32,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,52.999997,0,64,1
33,0,0,0,0,0,0,0,0,69,88,120,70.999998,1,30,1
34,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,0,54,1
35,0,0,0,0,0,0,0,0,58.999997,99.000001,88.999999,64.999998,1,55,1
36,0,0,0,0,0,0,0,0,69,88,88.999999,55.000001,0,64,4
37,0,0,0,0,0,0,0,0,79.000002,99.000001,69,69,1,44,1
38,0,0,0,0,0,0,0,0,93.000001,88,95.999998,58.999997,0,41,1
39,0,0,0,0,0,0,0,0,99.000001,109,99.000001,70.999998,1,30,1
40,0,0,0,0,0,0,0,0,79.000002,99.000001,69,69,0,60,1
41,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,1,50,4
42,0,0,0,0,0,0,0,0,79.000002,99.000001,88.999999,69,0,54,1
43,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,1,47,1
44,0,0,0,0,0,0,0,0,57.999998,88,88,58.999997,0,40,2
45,0,0,0,0,0,0,0,0,69,88,88.999999,70.999998,1,49,3
46,0,0,0,0,0,0,0,0,79.000002,99.000001,113,69,0,52,1
47,0,0,0,0,0,0,0,0,99.000001,109,99.000001,70.999998,1,45,1
48,0,0,0,0,0,0,0,0,88.999999,99.000001,105,64.999998,0,61,1
49,0,0,0,0,0,0,0,0,99.000001,109,99.000001,55.000001,1,34,4
50,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,0,48,1
51,0,0,0,0,0,0,0,0,69,88,120,70.999998,1,34,1
52,0,0,0,0,0,0,0,0,79.000002,99.000001,94.999999,69,0,58,2
53,0,0,0,0,0,0,0,0,69,88,87,68.000001,1,41,1
54,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,64.999998,0,65,4
55,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,1,28,1
56,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,0,47,1
57,0,0,0,0,0,0,0,0,98.000002,88,88.999999,55.000001,1,39,4
58,0,0,0,0,0,0,0,0,77.999997,88,88,58.999997,0,41,3
59,0,0,0,0,0,0,0,0,98.000002,99.000001,99.000001,70.999998,1,28,1
60,0,0,0,0,0,0,0,0,88.999999,88.999999,105,64.999998,0,54,1
61,0,0,0,0,0,0,0,0,88.999999,88.999999,105,50,1,37,4
62,0,0,0,0,0,0,0,0,98.000002,88,88.999999,79.000002,0,31,4
63,0,0,0,0,0,0,0,0,88.999999,88.999999,99.000001,52.999997,1,40,1
64,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,52.999997,0,45,1
65,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,50,1,54,1
66,0,0,0,0,0,0,0,0,68.000001,88,88,58.999997,0,56,3
67,0,0,0,0,0,0,0,0,88.999999,88.999999,99.000001,52.999997,1,26,3
68,0,0,0,0,0,0,0,0,79.000002,99.000001,94.999999,69,0,44,2
69,0,0,0,0,0,0,0,0,99.000001,109,109,70.999998,1,26,1
70,0,0,0,0,0,0,0,0,98.000002,88,88.999999,70.999998,0,65,3
71,0,0,0,0,0,0,0,0,95.999998,99.000001,88.999999,68.000001,1,60,1
72,0,0,0,0,0,0,0,0,99.000001,109,81.999999,70.999998,0,41,1
73,0,0,0,0,0,0,0,0,58.999997,99.000001,88.999999,64.999998,1,44,1
74,0,0,0,0,0,0,0,0,73.000002,93.000001,69,68.000001,0,64,1
75,0,0,0,0,0,0,0,0,88.999999,88.999999,105,64.999998,1,43,1
76,0,0,0,0,0,0,0,0,88.999999,99.000001,79.000002,52.999997,0,55,1
77,0,0,0,0,0,0,0,0,97.000003,115,99.000001,60.000002,1,55,3
78,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,52.999997,0,57,1
79,0,0,0,0,0,0,0,0,88.999999,99.000001,88.999999,52.999997,1,63,1
80,0,0,0,0,0,0,0,0,98.000002,99.000001,109,70.999998,0,64,1
81,0,0,0,0,0,0,0,0,98.000002,88,120,70.999998,1,60,1
82,0,0,0,0,0,0,0,0,49.000001,109,109,77.999997,0,57,3
83,0,0,0,0,0,0,0,0,69,88,88.999999,55.000001,1,27,4
84,0,0,0,0,0,0,0,0,98.000002,88,88.999999,79.000002,0,26,4
85,0,0,0,0,0,0,0,0,99.000001,109,94.999999,70.999998,1,65,2
86,0,0,0,0,0,0,0,0,98.000002,88,88.999999,70.999998,0,44,3
