price.2,price.3,price.1,price.4,male,age,choice
98.000002,88,120,70.999998,1,47,2
79.000002,99.000001,69,69,0,31,3
68.000001,88,88,58.999997,1,61,4
98.000002,99.000001,109,55.000001,0,29,4
69,88.999999,105.99999,68.000001,1,49,2
69,88,88.999999,67.000002,0,26,3
79.000002,99.000001,69,69,1,37,3
69,88,120,70.999998,0,33,2
49.000001,109,109,77.999997,1,25,1
69,88,120,70.999998,0,51,2
88.999999,99.000001,88.999999,64.999998,1,49,4
98.000002,88,88.999999,55.000001,0,37,4
69,88,88.999999,55.000001,1,27,4
73.000002,93.000001,69,68.000001,0,52,3
85.000002,98.000002,88.999999,68.000001,1,29,3
85.000002,88,103,68.000001,0,51,2
69,88,88.999999,79.000002,1,45,2
88.999999,99.000001,105,64.999998,0,30,4
69,88,120,70.999998,1,47,2
88.999999,99.000001,88.999999,50,0,27,4
98.000002,88,120,70.999998,1,46,2
88.999999,102,88.999999,49.000001,0,41,4
99.000001,109,94.999999,55.000001,1,28,4
88.999999,99.000001,88.999999,64.999998,0,31,3
88.999999,99.000001,88.999999,64.999998,1,41,4
69,88,88.999999,55.000001,0,25,4
58.999997,99.000001,88.999999,64.999998,1,59,4
88.999999,99.000001,88.999999,64.999998,0,55,3
98.000002,88,120,70.999998,1,33,2
69,88,109,70.999998,0,43,2
88.999999,99.000001,88.999999,64.999998,1,43,4
88.999999,99.000001,88.999999,52.999997,0,64,4
69,88,120,70.999998,1,30,2
88.999999,99.000001,88.999999,64.999998,0,54,3
58.999997,99.000001,88.999999,64.999998,1,55,4
69,88,88.999999,55.000001,0,64,4
79.000002,99.000001,69,69,1,44,3
93.000001,88,95.999998,58.999997,0,41,4
99.000001,109,99.000001,70.999998,1,30,4
79.000002,99.000001,69,69,0,60,3
88.999999,99.000001,88.999999,50,1,50,4
79.000002,99.000001,88.999999,69,0,54,3
88.999999,99.000001,88.999999,50,1,47,4
57.999998,88,88,58.999997,0,40,1
69,88,88.999999,70.999998,1,49,2
79.000002,99.000001,113,69,0,52,4
99.000001,109,99.000001,70.999998,1,45,4
88.999999,99.000001,105,64.999998,0,61,4
99.000001,109,99.000001,55.000001,1,34,4
88.999999,99.000001,88.999999,50,0,48,4
69,88,120,70.999998,1,34,2
79.000002,99.000001,94.999999,69,0,58,3
69,88,87,68.000001,1,41,3
88.999999,99.000001,88.999999,64.999998,0,65,3
88.999999,99.000001,88.999999,50,1,28,4
88.999999,99.000001,88.999999,50,0,47,4
98.000002,88,88.999999,55.000001,1,39,4
77.999997,88,88,58.999997,0,41,3
98.000002,99.000001,99.000001,70.999998,1,28,4
88.999999,88.999999,105,64.999998,0,54,2
88.999999,88.999999,105,50,1,37,4
98.000002,88,88.999999,79.000002,0,31,3
88.999999,88.999999,99.000001,52.999997,1,40,4
88.999999,99.000001,88.999999,52.999997,0,45,4
88.999999,99.000001,88.999999,50,1,54,4
68.000001,88,88,58.999997,0,56,3
88.999999,88.999999,99.000001,52.999997,1,26,4
79.000002,99.000001,94.999999,69,0,44,3
99.000001,109,109,70.999998,1,26,4
98.000002,88,88.999999,70.999998,0,65,3
95.999998,99.000001,88.999999,68.000001,1,60,3
99.000001,109,81.999999,70.999998,0,41,3
58.999997,99.000001,88.999999,64.999998,1,44,4
73.000002,93.000001,69,68.000001,0,64,3
88.999999,88.999999,105,64.999998,1,43,4
88.999999,99.000001,79.000002,52.999997,0,55,3
97.000003,115,99.000001,60.000002,1,55,4
88.999999,99.000001,88.999999,52.999997,0,57,4
88.999999,99.000001,88.999999,52.999997,1,63,4
98.000002,99.000001,109,70.999998,0,64,4
98.000002,88,120,70.999998,1,60,2
49.000001,109,109,77.999997,0,57,1
69,88,88.999999,55.000001,1,27,4
98.000002,88,88.999999,79.000002,0,26,3
99.000001,109,94.999999,70.999998,1,65,4
98.000002,88,88.999999,70.999998,0,44,3
69,88,120,70.999998,1,30,2
88.999999,99.000001,105,64.999998,0,57,4
99.000001,99.000001,109,70.999998,1,25,4
88.999999,99.000001,88.999999,50,0,57,4
77.999997,88,88,58.999997,1,34,4
98.000002,88,88.999999,55.000001,0,60,4
88.999999,99.000001,113,69,1,65,4
49.000001,109,109,77.999997,0,45,1
58.999997,99.000001,88.999999,64.999998,1,49,4
88.999999,99.000001,88.999999,50,0,40,4
88.999999,99.000001,88.999999,64.999998,1,44,4
93.000001,88,88,58.999997,0,31,3
88.999999,99.000001,88.999999,50,1,37,4
92.000002,98.000002,88,58.999997,0,31,3
73.000002,93.000001,69,68.000001,1,35,3
69,88,88.999999,79.000002,0,39,3
58.999997,99.000001,88.999999,64.999998,1,55,4
99.000001,99.000001,109,70.999998,0,56,4
99.000001,109,109,55.000001,1,36,4
88.999999,99.000001,88.999999,50,0,28,4
88.999999,88.999999,105,50,1,55,4
69,88,88.999999,55.000001,0,26,4
93.000001,88,95.999998,58.999997,1,47,4
58.999997,99.000001,88.999999,64.999998,0,58,3
69,88,88.999999,79.000002,1,42,2
99.000001,109,109,55.000001,0,64,4
79.000002,99.000001,69,69,1,63,3
99.000001,99.000001,109,70.999998,0,26,4
88.999999,88.999999,99.000001,61.000001,1,48,4
58.999997,99.000001,88.999999,64.999998,0,27,1
73.000002,93.000001,87,68.000001,1,33,3
98.000002,88,88.999999,79.000002,0,34,3
95.999998,99.000001,88.999999,68.000001,1,33,3
88.999999,99.000001,88.999999,50,0,48,4
88.999999,99.000001,88.999999,52.999997,1,51,4
79.000002,99.000001,109,69,0,36,4
88.999999,88.999999,105,64.999998,1,43,4
88.999999,99.000001,88.999999,64.999998,0,55,3
58.999997,99.000001,88.999999,64.999998,1,47,4
88.999999,99.000001,79.000002,50,0,58,3
73.000002,93.000001,69,68.000001,1,56,3
69,88,88.999999,55.000001,0,29,4
88.999999,99.000001,88.999999,50,1,33,4
101,88,88.999999,70.999998,0,53,3
88.999999,99.000001,88.999999,64.999998,1,32,4
98.000002,99.000001,109,70.999998,0,59,4
57.999998,88,88,58.999997,1,48,4
79.000002,99.000001,69,69,0,65,3
88.999999,88.999999,105,50,1,48,4
98.000002,99.000001,109,79.000002,0,60,2
99.000001,109,99.000001,70.999998,1,47,4
69,105,88.999999,64.999998,0,31,3
99.000001,109,99.000001,79.000002,1,61,3
99.000001,109,94.999999,55.000001,0,29,4
88.999999,108,88.999999,68.000001,1,49,3
85.000002,98.000002,88.999999,68.000001,0,26,3
88.999999,88.999999,99.000001,61.000001,1,37,4
99.000001,109,99.000001,70.999998,0,33,3
49.000001,109,109,77.999997,1,25,1
98.000002,99.000001,99.000001,70.999998,0,51,3
88.999999,99.000001,88.999999,50,1,49,4
99.000001,99.000001,109,55.000001,0,37,4
49.000001,109,109,55.000001,1,27,4
49.000001,99.000001,94.999999,69,0,52,1
88.999999,99.000001,88.999999,61.000001,1,29,4
85.000002,108,88.999999,68.000001,0,51,3
69,88,109,79.000002,1,45,2
88.999999,102,88.999999,64.999998,0,30,3
99.000001,109,109,70.999998,1,47,4
88.999999,99.000001,88.999999,50,0,27,4
69,109,109,70.999998,1,46,4
88.999999,102,88.999999,64.999998,0,41,3
79.000002,109,109,55.000001,1,28,4
88.999999,99.000001,101,69,0,31,4
49.000001,109,109,77.999997,1,41,1
99.000001,99.000001,109,55.000001,0,25,4
88.999999,88.999999,105,64.999998,1,59,4
88.999999,99.000001,88.999999,64.999998,0,55,3
