id,price.2,price.3,price.1,price.4,male,age,value2,value3,value1,value4,max,choice
1,98.000002,88,120,70.999998,1,47,-0.33100001,-0.04,-0.2,-0.06439999,-0.04,2
2,79.000002,99.000001,69,69,0,31,-0.53300002,-0.54000001,-0.19,-0.4962,-0.19,3
3,68.000001,88,88,58.999997,1,61,-0.223000005,-0.04,-0.04,-0.007199985,-0.007199985,4
4,98.000002,99.000001,109,55.000001,0,29,-0.71700002,-0.54000001,-0.59,-0.35580001,-0.35580001,4
5,69,88.999999,105.99999,68.000001,1,49,-0.192,-0.044999995,-0.12999995,-0.049800005,-0.044999995,2
6,69,88,88.999999,67.000002,0,26,-0.418,-0.43,-0.38999999,-0.47520002,-0.38999999,3
7,79.000002,99.000001,69,69,1,37,-0.20600001,-0.095000005,0.055,-0.0524,0.055,3
8,69,88,120,70.999998,0,33,-0.439,-0.43,-0.7,-0.51659998,-0.43,2
9,49.000001,109,109,77.999997,1,25,-0.020000005,-0.145,-0.145,-0.094999985,-0.020000005,1
10,69,88,120,70.999998,0,51,-0.493,-0.43,-0.7,-0.52019998,-0.43,2
11,88.999999,99.000001,88.999999,64.999998,1,49,-0.291999995,-0.095000005,-0.044999995,-0.03479999,-0.03479999,4
12,98.000002,88,88.999999,55.000001,0,37,-0.74100002,-0.43,-0.38999999,-0.35740001,-0.35740001,4
13,69,88,88.999999,55.000001,1,27,-0.126,-0.04,-0.044999995,0.019599995,0.019599995,4
14,73.000002,93.000001,69,68.000001,0,52,-0.53600002,-0.48000001,-0.19,-0.49040001,-0.19,3
15,85.000002,98.000002,88.999999,68.000001,1,29,-0.21200001,-0.09000001,-0.044999995,-0.045800005,-0.044999995,3
16,85.000002,88,103,68.000001,0,51,-0.65300002,-0.43,-0.53,-0.49020001,-0.43,2
17,69,88,88.999999,79.000002,1,45,-0.18,-0.04,-0.044999995,-0.10400001,-0.04,2
18,88.999999,99.000001,105,64.999998,0,30,-0.62999999,-0.54000001,-0.55,-0.45599998,-0.45599998,4
19,69,88,120,70.999998,1,47,-0.186,-0.04,-0.2,-0.06439999,-0.04,2
20,88.999999,99.000001,88.999999,50,0,27,-0.62099999,-0.54000001,-0.38999999,-0.3054,-0.3054,4
21,98.000002,88,120,70.999998,1,46,-0.32800001,-0.04,-0.2,-0.06419999,-0.04,2
22,88.999999,102,88.999999,49.000001,0,41,-0.66299999,-0.57,-0.38999999,-0.29820001,-0.29820001,4
23,99.000001,109,94.999999,55.000001,1,28,-0.279000005,-0.145,-0.074999995,0.019399995,0.019399995,4
24,88.999999,99.000001,88.999999,64.999998,0,31,-0.63299999,-0.54000001,-0.38999999,-0.45619998,-0.38999999,3
25,88.999999,99.000001,88.999999,64.999998,1,41,-0.267999995,-0.095000005,-0.044999995,-0.03319999,-0.03319999,4
26,69,88,88.999999,55.000001,0,25,-0.415,-0.43,-0.38999999,-0.35500001,-0.35500001,4
27,58.999997,99.000001,88.999999,64.999998,1,59,-0.171999985,-0.095000005,-0.044999995,-0.03679999,-0.03679999,4
28,88.999999,99.000001,88.999999,64.999998,0,55,-0.70499999,-0.54000001,-0.38999999,-0.46099998,-0.38999999,3
29,98.000002,88,120,70.999998,1,33,-0.28900001,-0.04,-0.2,-0.06159999,-0.04,2
30,69,88,109,70.999998,0,43,-0.469,-0.43,-0.59,-0.51859998,-0.43,2
31,88.999999,99.000001,88.999999,64.999998,1,43,-0.273999995,-0.095000005,-0.044999995,-0.03359999,-0.03359999,4
32,88.999999,99.000001,88.999999,52.999997,0,64,-0.73199999,-0.54000001,-0.38999999,-0.34279997,-0.34279997,4
33,69,88,120,70.999998,1,30,-0.135,-0.04,-0.2,-0.06099999,-0.04,2
