customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
17584,79,66,85,62,60,84,59,97,66,64,83,66
17585,185,201,182,0,0,150,130,0,125,0,0,0
17586,181,0,0,0,201,0,0,0,125,0,134,0
17587,204,188,211,221,0,212,219,0,209,220,187,214
17588,168,188,153,175,169,161,153,170,169,152,184,168
17589,245,256,225,240,228,235,253,245,232,251,258,249
17590,171,164,154,166,159,156,159,181,184,151,188,168
17591,186,0,0,150,0,0,125,0,0,105,0,0
17592,126,146,107,110,107,141,123,132,115,142,141,126
17593,19,12,17,37,21,9,20,4,27,32,31,29
17595,132,149,120,132,130,113,138,118,135,142,132,139
17596,101,102,116,101,99,111,115,119,82,115,120,116
17597,121,127,138,130,132,121,102,104,0,0,0,98
17598,27,16,23,38,0,13,33,15,26,0,0,0
17599,98,108,91,98,111,102,107,78,96,84,103,114
17600,66,71,54,46,60,55,73,68,70,77,67,76
17601,154,139,142,144,143,135,169,156,142,148,152,159
17602,132,118,139,140,126,147,138,120,0,0,0,0
17603,192,175,177,198,173,190,179,210,197,210,174,190
17604,148,162,129,133,150,159,130,156,145,0,0,0
17608,224,222,228,229,204,227,229,234,228,217,220,239
17609,229,224,224,236,214,230,244,230,211,217,220,213
17612,18,37,34,9,17,7,35,37,22,17,13,14
17613,223,213,206,240,239,216,205,224,222,236,223,235
17614,168,179,185,187,183,182,188,180,188,186,173,0
17617,106,114,120,109,98,109,97,91,99,107,105,95
17619,171,157,174,182,164,182,0,0,0,0,120,0
17620,156,150,174,163,139,150,138,167,142,159,151,138
17622,49,31,34,30,35,37,33,41,47,43,46,47
17623,120,135,110,100,113,105,107,115,101,0,0,0
17624,237,251,235,232,247,221,233,255,233,243,223,230
17625,243,254,243,224,260,258,227,257,252,0,0,0
17626,29,18,25,33,28,48,32,33,17,49,16,24
17627,78,84,95,82,98,85,84,71,71,64,71,80
17628,29,46,19,25,11,40,48,23,18,12,30,48
17629,91,100,82,72,92,82,90,81,80,74,98,103
17630,37,37,42,18,34,53,28,50,39,49,42,26
17631,135,132,123,118,121,143,148,116,133,130,137,126
17632,159,146,168,169,0,0,0,150,0,0,132,0
17634,136,153,136,0,0,0,145,0,0,105,0,0
17635,35,21,36,17,38,40,31,19,29,51,0,0
17637,57,59,61,43,57,43,65,57,67,60,72,43
17639,197,179,197,217,214,202,0,180,0,0,165,0
17640,121,111,110,114,127,121,114,104,109,111,132,131
17641,92,103,102,103,100,102,86,81,110,102,93,94
17642,109,125,110,93,114,127,93,93,106,118,89,102
17643,158,150,165,141,148,164,173,163,144,172,138,149
17645,180,169,182,174,193,192,165,170,185,176,199,191
17647,139,151,135,135,138,143,151,138,133,144,138,135
17648,77,92,87,67,93,72,94,72,71,76,62,70
17649,106,124,99,96,116,87,102,123,122,115,101,102
17650,200,219,214,194,219,213,0,0,0,200,0,0
17652,230,225,221,244,250,229,243,225,0,210,0,0
17653,101,86,107,100,117,85,89,106,116,114,121,85
17655,220,219,229,224,215,236,206,216,233,224,0,0
17656,197,188,200,180,200,181,196,181,213,210,206,185
17657,141,143,135,159,141,137,142,138,161,121,129,128
17659,236,235,232,249,246,228,241,225,232,229,245,237
17664,90,81,88,107,73,88,93,89,89,86,81,108
17665,207,197,197,217,219,208,209,204,193,217,219,188
17666,134,123,115,123,148,128,137,146,152,123,143,143
17667,123,118,128,118,135,120,124,141,128,124,108,134
17668,234,252,236,235,217,228,227,227,241,222,0,0
17669,98,79,87,105,78,117,111,97,115,98,114,96
17670,201,208,211,185,192,203,192,189,210,196,197,211
17671,138,133,146,153,125,118,121,123,0,0,0,0
17672,145,154,153,160,130,150,156,159,146,146,138,150
17673,224,221,216,213,204,229,221,211,230,222,209,233
17674,161,156,177,147,172,169,0,130,0,0,0,0
17677,57,49,64,73,48,62,39,51,67,48,68,38
17680,190,200,191,191,182,210,176,186,181,210,193,186
17681,250,248,248,253,253,233,231,255,243,245,258,232
17682,83,97,75,75,77,83,85,94,77,85,81,63
17683,85,78,81,85,88,73,81,79,104,66,83,101
17594,125,132,0,0,0,0,0,0,0,0,0,0
17605,125,132,138,107,0,0,0,0,0,0,0,0
17606,247,250,267,249,229,237,0,0,0,0,0,0
17607,87,92,0,0,75,0,0,0,0,0,0,0
17610,104,122,112,0,0,0,0,0,0,0,0,0
17611,232,212,248,0,0,0,0,0,0,0,0,0
17615,57,53,46,0,0,0,0,0,0,0,0,0
17616,121,102,0,0,0,115,0,0,0,0,0,0
17618,64,82,73,48,66,0,0,0,0,0,0,0
17621,58,71,70,63,56,0,0,0,0,0,0,0
17633,166,172,177,153,172,0,0,0,0,0,0,0
17636,188,183,192,169,192,178,0,0,0,0,0,0
17638,205,0,0,0,0,0,0,0,0,0,0,0
17644,32,44,34,0,0,0,0,0,0,0,0,0
17646,56,63,66,0,45,0,0,0,0,0,0,0
17651,148,151,0,0,0,0,0,0,0,0,0,0
17654,153,135,0,0,0,0,0,0,0,0,0,0
17658,81,73,65,70,79,75,0,0,0,0,0,0
17660,218,210,0,0,0,0,0,0,0,0,0,0
17661,202,210,197,201,205,0,0,0,0,0,0,0
17662,119,126,106,129,116,0,0,0,0,0,0,0
17663,72,73,82,74,69,80,0,0,0,0,0,0
17675,229,211,0,0,0,0,0,0,0,0,0,0
17676,124,124,107,0,0,0,0,0,0,0,0,0
17678,105,0,0,0,0,0,0,0,0,0,0,0
17679,50,42,56,41,46,0,0,0,0,0,0,0
