,choice,college,hsg2,coml5,sedan1,sedan2,sedan3,sedan4,sedan5,sedan6,price1,price2,price3,price4,price5,price6,range1,range2,range3,range4,range5,range6,acc1,acc2,acc3,acc4,acc5,acc6,speed1,speed2,speed3,speed4,speed5,speed6,pollution1,pollution2,pollution3,pollution4,pollution5,pollution6,big1,big2,big3,big4,big5,big6,space1,space2,space3,space4,space5,space6,cost1,cost2,cost3,cost4,cost5,cost6
1,1,0,0,0,0,1,0,0,0,0,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,250,250,400,400,250,250,4,4,6,6,2.5,2.5,95,95,110,110,140,140,0.6,0.6,0.25,0.25,0.5,0.5,1,1,0,0,1,1,0.7,0.7,1,1,1,1,4,4,6,6,8,8
2,2,1,1,1,1,0,1,0,1,0,3.3109468,3.3109468,3.586859,3.586859,4.4145957,4.4145957,125,125,300,300,300,300,2.5,2.5,4,4,6,6,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,4,4,8,8,4,4
3,5,0,1,0,1,0,1,0,1,0,4.0395745,4.0395745,2.7772075,2.7772075,3.2821543,3.2821543,300,300,250,250,300,300,6,6,2.5,2.5,4,4,140,140,85,85,95,95,0.1,0.1,0.4,0.4,0.75,0.75,0,0,1,1,1,1,1,1,1,1,1,1,6,6,8,8,2,2
4,5,0,0,1,1,0,1,0,1,0,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,200,200,75,75,300,300,4,4,6,6,2.5,2.5,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,0,0,1,1,1,1,1,1,0.7,0.7,1,1,8,8,2,2,4,4
5,5,0,1,0,1,0,1,0,1,0,5.7941569,5.7941569,6.3459814,6.3459814,4.690508,4.690508,75,75,300,300,350,350,4,4,6,6,2.5,2.5,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,0,0,0,0,1,1,0.7,0.7,1,1,1,1,6,6,8,8,2,2
6,5,0,0,0,0,1,0,0,0,0,3.5329841,3.5329841,4.1753448,4.1753448,4.8177056,4.8177056,300,300,250,250,300,300,6,6,2.5,2.5,4,4,85,85,95,95,110,110,0.6,0.6,0.25,0.25,0.5,0.5,1,1,0,0,1,1,1,1,1,1,1,1,6,6,8,8,2,2
7,2,1,1,1,1,0,1,0,1,0,1.9270822,1.9270822,0.96354111,0.96354111,1.4453117,1.4453117,125,125,300,300,300,300,6,6,2.5,2.5,4,4,100,100,85,85,110,110,0,0,0.25,0.25,1,1,0,0,1,1,1,1,1,1,0.7,0.7,1,1,8,8,4,4,8,8
8,5,1,0,1,1,0,1,0,1,0,6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,125,125,300,300,300,300,6,6,2.5,2.5,4,4,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,1,1,1,1,0,0,1,1,0.7,0.7,1,1,1,1,4,4,8,8
9,5,0,0,0,0,0,0,1,0,0,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,4,4,4,4,6,6
10,2,1,0,0,1,0,1,0,1,0,3.8017382,3.8017382,2.4599482,2.4599482,2.9072116,2.9072116,200,200,75,75,300,300,4,4,6,6,2.5,2.5,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,0,0,1,1,0,0,1,1,0.7,0.7,1,1,2,2,2,2,4,4
11,1,1,0,0,1,0,1,0,1,0,4.1386835,4.1386835,4.4145957,4.4145957,3.0350346,3.0350346,200,200,75,75,300,300,4,4,6,6,2.5,2.5,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,1,1,0,0,0,0,1,1,1,1,1,1,2,2,4,4,6,6
12,2,1,1,0,0,0,0,1,0,0,3.323736,3.323736,3.7985554,3.7985554,2.6115068,2.6115068,125,125,250,250,300,300,4,4,6,6,2.5,2.5,85,85,85,85,95,95,0,0,0.25,0.25,0.5,0.5,1,1,0,0,0,0,1,1,1,1,1,1,2,2,8,8,2,2
13,5,1,0,0,0,0,0,0,0,1,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,200,200,75,75,350,350,4,4,6,6,2.5,2.5,85,85,140,140,95,95,0,0,0.25,0.25,1,1,0,0,0,0,0,0,1,1,1,1,1,1,8,8,4,4,8,8
14,5,0,0,0,1,0,1,0,1,0,1.2847215,1.2847215,1.6059019,1.6059019,0.96354111,0.96354111,200,200,300,300,350,350,2.5,2.5,4,4,6,6,85,85,85,85,95,95,0,0,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,1,1,2,2,4,4
15,3,1,0,0,1,0,1,0,1,0,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,200,200,300,300,350,350,4,4,6,6,2.5,2.5,65,65,140,140,85,85,0,0,0.6,0.6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,4,6,6
16,6,1,0,0,0,0,0,0,0,1,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,75,75,250,250,250,250,6,6,2.5,2.5,4,4,100,100,85,85,110,110,0,0,0.1,0.1,0.75,0.75,1,1,0,0,0,0,1,1,1,1,1,1,8,8,8,8,4,4
17,3,1,1,1,1,0,1,0,1,0,8.4371306,8.4371306,5.4593198,5.4593198,7.444527,7.444527,75,75,250,250,250,250,6,6,2.5,2.5,4,4,65,65,110,110,85,85,0,0,0.4,0.4,0.25,0.25,1,1,1,1,0,0,1,1,0.7,0.7,1,1,8,8,2,2,6,6
18,2,0,0,0,1,0,1,0,1,0,1.0224889,1.0224889,1.1503,1.1503,1.2781111,1.2781111,200,200,75,75,300,300,2.5,2.5,4,4,6,6,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,1,1,1,1,0,0,0.7,0.7,1,1,1,1,8,8,6,6,8,8
19,3,1,1,0,0,1,0,0,0,0,3.3109468,3.3109468,3.586859,3.586859,4.1386835,4.1386835,125,125,300,300,250,250,4,4,6,6,2.5,2.5,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,1,1,1,1,0,0,1,1,0.7,0.7,1,1,1,1,8,8,2,2
20,5,1,0,1,1,0,1,0,1,0,3.3109468,3.3109468,4.1386835,4.1386835,4.4145957,4.4145957,200,200,300,300,350,350,2.5,2.5,4,4,6,6,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,1,1,0,0,0,0,0.7,0.7,1,1,1,1,4,4,2,2,4,4
