year,wage_FR,cpi,real_wage
1999,1042.73,76.83416667,1357.117602
2000,1066.39,78.22666667,1363.205216
2001,1105.26,79.62083333,1388.154273
2002,1140.75,81.16416667,1405.484769
2003,1184.69,82.92666667,1428.599566
2004,1250.6,84.86416667,1473.649067
2005,1251.985,86.4675,1447.925521
2006,1236.08,88.10333333,1402.988915
2007,1267.175,89.515,1415.600737
2008,1300.545,92.34333333,1408.379959
2009,1329.36,92.4375,1438.117647
2010,1343.77,94.045,1428.858525
2011,1365,96.2,1418.918919
2012,1412.02,98.33416667,1435.940373
2013,1430.22,99.3075,1440.193339
2014,1445.38,99.91416667,1446.621684
2015,1457.52,100.0008333,1457.507854
2016,1466.62,100.3058333,1462.148263
2017,1480.27,101.4716667,1458.801307
2018,1498.47,103.6016667,1446.376345
2019,1521.22,104.9466667,1449.517215
2020,1539.42,105.24,1462.77081
