Year,State,Table_Data,Footnote,High.Value,Low.Value,nominal,High.2018,Low.2018,real,growth
1968,Alabama,...,,,,,,,,
1968,Alaska,2.1,,2.1,2.1,2.1,15.12,15.12,15.12,
1968,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,0.564,4.75,3.37,4.06,
1968,Arkansas,1.25/day(b),(b),0.15625,0.15625,0.15625,1.12,1.12,1.12,
1968,California,1.65(b),(b),1.65,1.65,1.65,11.88,11.88,11.88,
1968,Colorado,1.00 - 1.25(b),(b),1.25,1,1.125,9,7.2,8.1,
1968,Connecticut,1.4,,1.4,1.4,1.4,10.08,10.08,10.08,
1968,Delaware,1.25,,1.25,1.25,1.25,9,9,9,
1968,District of Columbia,1.25 - 1.40,,1.4,1.25,1.325,10.08,9,9.54,
1968,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,1.375,11.52,8.28,9.9,
1968,Florida,...,,,,,,,,
1968,Georgia,...,,,,,,,,
1968,Guam,1.25,,1.25,1.25,1.25,9,9,9,
1968,Hawaii,1.25,,1.25,1.25,1.25,9,9,9,
1968,Idaho,1.15,,1.15,1.15,1.15,8.28,8.28,8.28,
1968,Illinois,...,,,,,,,,
1968,Indiana,1.15,,1.15,1.15,1.15,8.28,8.28,8.28,
1968,Iowa,...,,,,,,,,
1968,Kansas,...,,,,,,,,
1968,Kentucky,.65 - .75(b),(b),0.75,0.65,0.7,5.4,4.68,5.04,
1968,Louisiana,...,,,,,,,,
1968,Maine,1.4,,1.4,1.4,1.4,10.08,10.08,10.08,
1968,Maryland,1.00 & 1.15,,1.15,1,1.075,8.28,7.2,7.74,
1968,Massachusetts,1.6,,1.6,1.6,1.6,11.52,11.52,11.52,
1968,Michigan,1.25,,1.25,1.25,1.25,9,9,9,
1968,Minnesota,.70 - 1.15(b),(b),1.15,0.7,0.925,8.28,5.04,6.66,
1968,Mississippi,...,,,,,,,,
1968,Missouri,...,,,,,,,,
1968,Montana,...,,,,,,,,
1968,Nebraska,1,,1,1,1,7.2,7.2,7.2,
1968,Nevada,1.25,,1.25,1.25,1.25,9,9,9,
1968,New Hampshire,1.4,,1.4,1.4,1.4,10.08,10.08,10.08,
1968,New Jersey,1.4,,1.4,1.4,1.4,10.08,10.08,10.08,
1968,New Mexico,1.15 - 1.40,,1.4,1.15,1.275,10.08,8.28,9.18,
1968,New York,1.6,,1.6,1.6,1.6,11.52,11.52,11.52,
