month,sales
Jan-13,14236.9
Feb-13,4519.89
Mar-13,55691.01
Apr-13,28295.35
May-13,23648.29
Jun-13,34595.13
Jul-13,33946.39
Aug-13,27909.47
Sep-13,81777.35
Oct-13,31453.39
Nov-13,78628.72
Dec-13,69545.62
Jan-14,18174.08
Feb-14,11951.41
Mar-14,38726.25
Apr-14,34195.21
May-14,30131.69
Jun-14,24797.29
Jul-14,28765.33
Aug-14,36898.33
Sep-14,64595.92
Oct-14,31404.92
Nov-14,75972.56
Dec-14,74919.52
Jan-15,18542.49
Feb-15,22867.71
Mar-15,51186.22
Apr-15,39248.59
May-15,56691.08
Jun-15,39430.44
Jul-15,38440.76
Aug-15,33265.56
Sep-15,72908.11
Oct-15,56463.13
Nov-15,82192.32
Dec-15,97237.42
Jan-16,44703.14
Feb-16,20301.13
Mar-16,58872.35
Apr-16,36521.54
May-16,44261.11
Jun-16,52981.73
Jul-16,45264.42
Aug-16,63120.89
Sep-16,87866.65
Oct-16,77776.92
Nov-16,118447.83
Dec-16,83829.32
