house_id,rent,size_sqft,floor,bathrooms,min_to_subway,age_yrs
1,2550,480,2,1,9,17
3,4500,916,51,1,2,29
4,4795,975,8,1,3,31
6,3800,1100,5,2,3,101
7,1995,600,1,0,6,115
8,2995,579,21,1,6,33
10,4650,915,5,1,5,106
11,2950,550,17,1,43,14
12,6920,1439,9,2,7,39
13,4875,900,14,1,1,52
14,4850,789,40,1,2,11
15,3700,947,5,1,5,85
16,4200,900,8,1,4,111
17,2195,500,3,1,3,106
18,4200,640,15,1,3,52
19,9000,1749,15,2,4,10
20,4950,870,9,1,2,11
21,3000,573,8,1,11,31
22,2450,700,2,1,3,106
23,1950,400,3,1,6,56
24,3375,652,12,1,3,15
25,2395,1000,1,1,3,106
26,4990,823,22,1,5,44
27,7495,1431,4,2,3,10
28,10000,1600,3,2,2,5
29,3090,800,3,1,10,106
31,2100,410,3,1,8,106
32,2499,400,3,1,2,116
33,3650,763,30,1,10,27
34,3800,900,6,1,4,116
35,9800,1270,7,2,7,6
36,4350,783,6,1,2,29
37,2495,800,4,1,4,96
38,3625,650,19,1,43,14
39,9000,1250,46,2,13,9
40,5800,1200,6,2,2,75
41,3295,465,2,1,5,29
42,2200,325,24,1,6,87
43,5485,1028,24,1,7,39
44,2950,765,4,1,2,29
45,2750,600,12,1,9,57
46,8200,1431,8,2,9,7
47,2000,750,1,1,3,106
48,4995,1100,2,1,2,13
49,1875,900,4,1,3,91
50,3900,750,6,1,6,106
51,2400,500,1,1,9,106
52,5325,697,36,1,2,13
53,3500,525,6,1,5,105
54,3900,643,10,1,4,2
55,3375,800,2,1,6,106
56,6400,1094,8,2,3,9
58,2595,285,10,1,5,86
59,2199,900,3,1,11,106
60,2430,330,7,1,2,89
61,10000,1318,15,2,3,30
62,6400,1100,3,2,4,13
63,5895,1250,25,2,1,112
64,2600,490,10,1,3,15
65,4700,500,3,1,2,116
66,6000,1428,15,2,3,88
67,4995,866,5,1,2,25
68,3388,825,4,1,4,47
69,3483,735,4,1,9,87
70,2900,1250,2,1,2,96
71,4600,890,8,1,2,10
72,1695,750,4,1,1,87
73,2700,542,22,1,6,28
75,5080,850,26,1,2,42
76,4890,815,7,1,43,8
77,3800,750,21,1,13,9
78,5200,2000,4,2,5,106
79,2800,450,5,1,4,43
80,6000,1200,4,2,9,105
81,2100,400,2,1,5,101
82,2300,500,3,1,6,96
84,6400,1151,7,1,3,87
85,5595,1170,28,2,4,85
86,2800,466,4,1,5,10
87,3219,533,17,1,4,47
88,8500,1244,6,2,1,9
89,10000,1508,7,2,1,89
90,3775,600,2,1,0,56
91,4350,880,14,1,7,16
92,3995,899,14,1,1,112
93,4995,1153,16,2,43,9
94,7195,2430,5,2,5,96
95,7600,1500,9,2,5,2
96,2995,350,5,1,1,116
97,4490,620,29,1,4,16
98,3450,1800,5,2,2,101
99,3800,700,19,1,13,9
101,2575,490,8,1,3,15
102,3750,700,5,1,3,90
103,6695,1033,17,2,2,30
104,5500,1165,22,1,5,37
105,5475,1094,38,1,2,30
106,4910,933,10,2,10,16
107,5150,695,18,1,3,52
108,4950,1115,2,1,5,37
109,5225,770,11,1,3,52
111,4500,755,43,1,7,6
112,2200,675,4,1,4,88
113,4000,840,40,1,10,30
114,4300,559,24,1,3,11
115,2750,730,3,1,5,9
116,5120,1003,7,2,10,16
117,5895,1200,18,2,2,13
119,4270,630,12,1,2,13
120,2995,548,11,1,2,13
121,2150,687,2,1,4,96
122,3500,651,34,1,6,37
123,2150,650,2,1,7,115
124,2350,400,16,1,5,30
125,4499,837,14,1,6,37
126,3815,665,23,1,8,16
127,3200,850,3,1,7,60
128,1625,560,2,1,6,96
129,3500,722,32,1,12,32
130,3495,686,34,1,10,29
131,2025,350,4,1,3,90
132,2700,750,1,1,2,112
133,3550,748,9,1,6,10
134,6000,1500,2,1,2,151
135,4750,917,4,2,3,15
136,2800,520,24,1,2,9
137,5000,707,5,1,2,8
138,3500,1050,4,2,5,96
139,6800,1295,34,2,11,15
140,2775,500,22,1,3,30
141,7900,1160,9,2,2,75
142,3995,800,5,1,3,27
143,9950,2050,4,2,3,52
144,3400,800,3,1,7,16
145,3300,725,5,1,4,91
147,3250,850,3,1,5,116
148,5700,1176,2,2,12,7
149,7246,1080,10,2,1,89
150,5688,1260,7,2,7,39
151,6350,1352,2,2,1,126
152,2800,351,2,1,1,29
153,5740,761,15,1,5,6
154,3500,1031,6,2,3,13
156,2695,625,7,1,9,8
157,2895,506,18,1,2,41
159,5000,764,20,1,2,38
160,6600,1100,12,2,2,92
161,3490,800,4,2,6,106
162,4800,1000,8,2,3,96
163,4050,805,20,1,11,15
164,5850,752,33,1,3,6
165,2300,650,3,1,3,76
166,3275,480,9,1,4,86
167,4095,713,9,1,4,19
168,2995,800,2,1,3,106
169,5900,1076,11,2,5,30
170,3920,718,4,1,4,16
171,4795,707,10,1,7,16
172,3800,600,14,1,2,9
174,5000,805,4,1,4,9
175,4365,619,37,1,3,6
176,3950,899,3,1,1,112
177,4000,740,17,1,2,14
178,3905,809,26,1,7,39
179,4000,700,4,1,3,62
180,2750,475,5,1,1,25
