house_id,rent,size_sqft,floor,bathrooms,min_to_subway,age_yrs
1,2888.229171,480,2,1,9,17
3,4940.162567,916,51,1,2,29
4,4904.526636,975,8,1,3,31
6,4371.954382,1100,5,2,3,101
7,2469.973173,600,1,0,6,115
8,3141.590447,579,21,1,6,33
10,4266.505369,915,5,1,5,106
11,2963.746558,550,17,1,43,14
12,6806.533283,1439,9,2,7,39
13,5095.459687,900,14,1,1,52
14,4525.752018,789,40,1,2,11
15,4231.521682,947,5,1,5,85
16,4274.537831,900,8,1,4,111
17,2949.2016,500,3,1,3,106
18,3700.459959,640,15,1,3,52
19,9176.05966,1749,15,2,4,10
20,5098.841345,870,9,1,2,11
21,3025.794313,573,8,1,11,31
22,2767.990178,700,2,1,3,106
23,2260.922562,400,3,1,6,56
24,3899.699937,652,12,1,3,15
25,3269.959508,1000,1,1,3,106
26,4329.388873,823,22,1,5,44
27,7769.182209,1431,4,2,3,10
28,9080.751811,1600,3,2,2,5
29,2957.6406,800,3,1,10,106
31,2249.204111,410,3,1,8,106
32,2365.430355,400,3,1,2,116
33,3722.169998,763,30,1,10,27
34,3978.714288,900,6,1,4,116
35,7621.996812,1270,7,2,7,6
36,3723.033587,783,6,1,2,29
37,3093.868713,800,4,1,4,96
38,3711.565496,650,19,1,43,14
39,8302.935064,1250,46,2,13,9
40,5578.415894,1200,6,2,2,75
41,2873.740457,465,2,1,5,29
42,2053.324576,325,24,1,6,87
43,5454.484653,1028,24,1,7,39
44,3706.437006,765,4,1,2,29
45,2745.769498,600,12,1,9,57
46,7895.430536,1431,8,2,9,7
47,3083.236305,750,1,1,3,106
48,5175.20435,1100,2,1,2,13
49,3709.098945,900,4,1,3,91
50,3765.951215,750,6,1,6,106
51,2576.366511,500,1,1,9,106
52,4501.481446,697,36,1,2,13
53,2672.965137,525,6,1,5,105
54,4178.841086,643,10,1,4,2
55,3112.661302,800,2,1,6,106
56,6371.434658,1094,8,2,3,9
58,1929.306599,285,10,1,5,86
59,3090.640231,900,3,1,11,106
60,2183.571635,330,7,1,2,89
61,7778.386322,1318,15,2,3,30
62,4998.296268,1100,3,2,4,13
63,6582.543685,1250,25,2,1,112
64,3047.817891,490,10,1,3,15
65,2959.786874,500,3,1,2,116
66,6689.408474,1428,15,2,3,88
67,4529.032399,866,5,1,2,25
68,3950.491755,825,4,1,4,47
69,2991.948168,735,4,1,9,87
70,4344.465066,1250,2,1,2,96
71,4713.03826,890,8,1,2,10
72,3175.348398,750,4,1,1,87
73,2951.358056,542,22,1,6,28
75,5038.939069,850,26,1,2,42
76,4734.041328,815,7,1,43,8
77,3955.242485,750,21,1,13,9
78,6549.263163,2000,4,2,5,106
79,2761.102209,450,5,1,4,43
80,4448.320374,1200,4,2,9,105
81,2143.018458,400,2,1,5,101
82,2329.336528,500,3,1,6,96
84,4883.402876,1151,7,1,3,87
85,6021.652682,1170,28,2,4,85
86,2902.585648,466,4,1,5,10
87,3140.174942,533,17,1,4,47
88,7289.433995,1244,6,2,1,9
89,9167.444614,1508,7,2,1,89
90,3165.524526,600,2,1,0,56
91,4326.970203,880,14,1,7,16
92,4574.072999,899,14,1,1,112
93,6110.108373,1153,16,2,43,9
94,6551.624854,2430,5,2,5,96
95,8278.951637,1500,9,2,5,2
96,2381.041914,350,5,1,1,116
97,4043.438004,620,29,1,4,16
98,7179.939309,1800,5,2,2,101
99,3761.915404,700,19,1,13,9
101,3072.028871,490,8,1,3,15
102,3029.820863,700,5,1,3,90
103,6025.646006,1033,17,2,2,30
104,5912.936316,1165,22,1,5,37
105,6078.384376,1094,38,1,2,30
106,4979.695359,933,10,2,10,16
107,3971.374712,695,18,1,3,52
108,5287.471783,1115,2,1,5,37
109,3990.244654,770,11,1,3,52
111,4533.249224,755,43,1,7,6
112,3101.901665,675,4,1,4,88
113,4186.052667,840,40,1,10,30
114,3734.709756,559,24,1,3,11
115,3601.590093,730,3,1,5,9
116,5123.977241,1003,7,2,10,16
117,6298.846576,1200,18,2,2,13
119,3990.687217,630,12,1,2,13
120,3101.32696,548,11,1,2,13
121,2736.454114,687,2,1,4,96
122,3649.405606,651,34,1,6,37
123,2689.50951,650,2,1,7,115
124,2512.601253,400,16,1,5,30
125,4314.766121,837,14,1,6,37
126,3816.335604,665,23,1,8,16
127,3574.059539,850,3,1,7,60
128,2269.749359,560,2,1,6,96
129,3601.067831,722,32,1,12,32
130,3610.505244,686,34,1,10,29
131,2083.51818,350,4,1,3,90
132,3153.441347,750,1,1,2,112
133,4278.186217,748,9,1,6,10
134,5151.211197,1500,2,1,2,151
135,4809.588907,917,4,2,3,15
136,3301.92798,520,24,1,2,9
137,4629.456493,707,5,1,2,8
138,4144.955696,1050,4,2,5,96
139,7071.921558,1295,34,2,11,15
140,2816.744538,500,22,1,3,30
141,6511.164687,1160,9,2,2,75
142,3836.57315,800,5,1,3,27
143,8736.034614,2050,4,2,3,52
144,3576.759685,800,3,1,7,16
145,3368.291315,725,5,1,4,91
147,3711.442325,850,3,1,5,116
148,5183.707466,1176,2,2,12,7
149,6475.709047,1080,10,2,1,89
150,6241.247265,1260,7,2,7,39
151,6094.154752,1352,2,2,1,126
152,2713.557568,351,2,1,1,29
153,4312.430496,761,15,1,5,6
154,4897.523677,1031,6,2,3,13
156,3181.250248,625,7,1,9,8
157,2880.157085,506,18,1,2,41
159,4039.425099,764,20,1,2,38
160,6237.656359,1100,12,2,2,92
161,3299.62787,800,4,2,6,106
162,4878.351563,1000,8,2,3,96
163,4024.161147,805,20,1,11,15
164,5632.899289,752,33,1,3,6
165,2794.221391,650,3,1,3,76
166,2698.735842,480,9,1,4,86
167,4028.003207,713,9,1,4,19
168,3111.877764,800,2,1,3,106
169,5819.870882,1076,11,2,5,30
170,3911.16282,718,4,1,4,16
171,3979.212666,707,10,1,7,16
172,3580.343055,600,14,1,2,9
174,4464.472095,805,4,1,4,9
175,4273.133181,619,37,1,3,6
176,3843.671001,899,3,1,1,112
177,4299.060563,740,17,1,2,14
178,4099.726243,809,26,1,7,39
179,3607.731834,700,4,1,3,62
180,2901.713897,475,5,1,1,25
181,3082.783472,707,1,1,3,71
182,2232.51622,410,2,1,8,106
183,5675.193677,852,6,2,3,106
184,2671.088079,579,2,1,4,55
186,4014.236216,800,46,1,13,9
187,5665.243973,972,10,1,7,6
188,3438.648047,530,17,1,1,90
189,3636.504477,700,9,1,5,37
191,7482.907167,1406,3,2,4,11
192,3327.278579,750,2,1,2,106
193,5747.792414,1815,1,2,4,96
194,4283.605507,823,17,1,5,44
195,6422.053113,1150,35,2,12,27
196,3226.156818,620,9,1,11,31
197,4977.642808,1041,6,2,10,27
198,4783.899157,767,29,1,2,8
199,4906.786412,1145,2,1,4,11
200,3936.81035,850,4,1,4,53
201,2875.518272,400,3,1,8,5
202,3320.128346,750,3,1,3,96
203,8968.280812,1800,12,3,3,100
204,4650.022375,643,32,1,3,6
205,7228.557143,1266,5,2,1,43
206,5429.189695,900,26,2,1,31
207,2537.048604,450,10,1,2,93
208,8065.668808,2200,16,3,6,57
209,3055.936891,570,3,1,2,86
210,5069.608764,860,19,1,2,30
211,4147.583969,834,6,1,2,58
212,4170.209854,720,8,1,4,7
213,3359.479102,574,11,1,2,99
214,2892.673584,496,4,1,2,28
215,3576.424101,642,32,1,10,29
216,7825.794979,1280,45,2,2,38
217,3376.594745,610,19,1,2,29
