house_id,rent,size_sqft,floor,bathrooms,min_to_subway,age_yrs
1,2550.0 ,480.0 ,2 ,1 ,9 ,17 
2,11500.0 ,2000.0 ,1 ,2 ,4 ,96 
3,4500.0 ,916.0 ,51 ,1 ,2 ,29 
4,4795.0 ,975.0 ,8 ,1 ,3 ,31 
5,17500.0 ,4800.0 ,4 ,2 ,3 ,136 
6,3800.0 ,1100.0 ,5 ,2 ,3 ,101 
7,1995.0 ,600.0 ,1 ,0 ,6 ,115 
8,2995.0 ,579.0 ,21 ,1 ,6 ,33 
9,15000.0 ,1715.0 ,30 ,2 ,0 ,2 
10,4650.0 ,915.0 ,5 ,1 ,5 ,106 
11,2950.0 ,550.0 ,17 ,1 ,43 ,14 
12,6920.0 ,1439.0 ,9 ,2 ,7 ,39 
13,4875.0 ,900.0 ,14 ,1 ,1 ,52 
14,4850.0 ,789.0 ,40 ,1 ,2 ,11 
15,3700.0 ,947.0 ,5 ,1 ,5 ,85 
16,4200.0 ,900.0 ,8 ,1 ,4 ,111 
17,2195.0 ,500.0 ,3 ,1 ,3 ,106 
18,4200.0 ,640.0 ,15 ,1 ,3 ,52 
19,9000.0 ,1749.0 ,15 ,2 ,4 ,10 
20,4950.0 ,870.0 ,9 ,1 ,2 ,11 
21,3000.0 ,573.0 ,8 ,1 ,11 ,31 
22,2450.0 ,700.0 ,2 ,1 ,3 ,106 
23,1950.0 ,400.0 ,3 ,1 ,6 ,56 
24,3375.0 ,652.0 ,12 ,1 ,3 ,15 
25,2395.0 ,1000.0 ,1 ,1 ,3 ,106 
26,4990.0 ,823.0 ,22 ,1 ,5 ,44 
27,7495.0 ,1431.0 ,4 ,2 ,3 ,10 
28,10000.0 ,1600.0 ,3 ,2 ,2 ,5 
29,3090.0 ,800.0 ,3 ,1 ,10 ,106 
30,10904.0 ,1307.0 ,26 ,3 ,6 ,6 
31,2100.0 ,410.0 ,3 ,1 ,8 ,106 
32,2499.0 ,400.0 ,3 ,1 ,2 ,116 
33,3650.0 ,763.0 ,30 ,1 ,10 ,27 
34,3800.0 ,900.0 ,6 ,1 ,4 ,116 
35,9800.0 ,1270.0 ,7 ,2 ,7 ,6 
36,4350.0 ,783.0 ,6 ,1 ,2 ,29 
37,2495.0 ,800.0 ,4 ,1 ,4 ,96 
38,3625.0 ,650.0 ,19 ,1 ,43 ,14 
39,9000.0 ,1250.0 ,46 ,2 ,13 ,9 
40,5800.0 ,1200.0 ,6 ,2 ,2 ,75 
41,3295.0 ,465.0 ,2 ,1 ,5 ,29 
42,2200.0 ,325.0 ,24 ,1 ,6 ,87 
43,5485.0 ,1028.0 ,24 ,1 ,7 ,39 
44,2950.0 ,765.0 ,4 ,1 ,2 ,29 
45,2750.0 ,600.0 ,12 ,1 ,9 ,57 
46,8200.0 ,1431.0 ,8 ,2 ,9 ,7 
47,2000.0 ,750.0 ,1 ,1 ,3 ,106 
48,4995.0 ,1100.0 ,2 ,1 ,2 ,13 
49,1875.0 ,900.0 ,4 ,1 ,3 ,91 
50,3900.0 ,750.0 ,6 ,1 ,6 ,106 
51,2400.0 ,500.0 ,1 ,1 ,9 ,106 
52,5325.0 ,697.0 ,36 ,1 ,2 ,13 
53,3500.0 ,525.0 ,6 ,1 ,5 ,105 
54,3900.0 ,643.0 ,10 ,1 ,4 ,2 
55,3375.0 ,800.0 ,2 ,1 ,6 ,106 
56,6400.0 ,1094.0 ,8 ,2 ,3 ,9 
57,12500.0 ,2082.0 ,2 ,2 ,2 ,101 
58,2595.0 ,285.0 ,10 ,1 ,5 ,86 
59,2199.0 ,900.0 ,3 ,1 ,11 ,106 
60,2430.0 ,330.0 ,7 ,1 ,2 ,89 
61,10000.0 ,1318.0 ,15 ,2 ,3 ,30 
62,6400.0 ,1100.0 ,3 ,2 ,4 ,13 
63,5895.0 ,1250.0 ,25 ,2 ,1 ,112 
64,2600.0 ,490.0 ,10 ,1 ,3 ,15 
65,4700.0 ,500.0 ,3 ,1 ,2 ,116 
66,6000.0 ,1428.0 ,15 ,2 ,3 ,88 
67,4995.0 ,866.0 ,5 ,1 ,2 ,25 
