customer_id,recency,frequency,monetary,class
12747,366,103,40.74,Best
12748,372,4008,7.87,Good
12749,209,199,20.56,Best
12820,323,59,15.97,Average
12821,0,6,15.45,No_Value
12822,16,45,20.42,No_Value
12823,221,5,351.9,Average
12824,0,25,15.88,No_Value
12826,362,91,16.21,Good
12827,38,25,17.21,Average
12828,127,56,18.19,Good
12829,23,11,26.64,No_Value
12830,134,38,179.33,Below
12831,0,9,23.89,No_Value
12832,65,27,14.19,No_Value
12833,0,24,17.39,No_Value
12834,0,18,17.35,No_Value
12836,252,173,15.09,No_Value
12837,0,12,11.17,No_Value
12838,340,112,6.03,Below
12839,364,314,17.81,Best
12840,82,113,24.13,No_Value
12841,367,399,9.91,Best
12842,238,34,32.91,Below
12843,198,100,16.92,No_Value
12844,101,43,7.43,Below
12845,22,24,14.67,No_Value
12847,0,77,11.21,No_Value
12849,237,48,21.84,Below
12851,0,40,3.3,No_Value
12852,0,17,18.33,No_Value
12853,181,76,25.05,No_Value
12854,239,110,12.04,No_Value
12855,0,3,12.7,No_Value
12856,55,308,7.07,No_Value
12857,91,46,24.05,No_Value
12863,0,5,104.24,No_Value
12864,0,3,49.04,No_Value
12867,333,523,7.65,No_Value
12868,187,107,15.02,No_Value
12871,123,11,34.6,Below
12872,38,66,9.09,No_Value
12873,0,4,93.5,No_Value
12875,219,2,171.62,Average
12877,354,142,10.76,Good
12878,29,47,18.19,No_Value
12879,47,10,57.32,Below
12881,0,7,42.57,No_Value
12882,24,13,112.54,Average
12883,64,42,16.75,No_Value
12884,0,7,44.15,No_Value
12885,60,69,16.54,No_Value
12886,151,82,16.81,No_Value
12888,41,5,70.82,No_Value
12890,0,77,4.9,No_Value
12891,107,3,110.33,Below
12893,0,33,5.68,No_Value
12895,44,21,16.94,No_Value
12897,97,4,54.13,No_Value
12901,261,111,149.39,Best
12902,0,10,13.87,No_Value
12904,154,70,7.26,Below
12906,66,63,46.35,Below
12908,136,2,375,Below
12909,213,88,24.28,No_Value
12910,218,75,41,Average
12912,37,24,69.26,Best
12913,363,50,49.67,Best
12915,223,22,16.53,No_Value
12916,181,105,28.4,No_Value
12917,0,2,297,No_Value
12919,161,50,26.7,Good
12920,0,26,6.26,No_Value
12921,364,704,23.17,Below
12922,0,28,14.48,No_Value
12923,0,26,6.73,No_Value
12924,239,28,33.18,Below
12925,70,45,15.42,Good
12928,323,84,24.56,Below
12929,0,8,14.73,No_Value
12930,93,25,16.63,No_Value
12931,336,78,515.51,Best
12933,259,103,5.88,Below
12935,317,129,16.75,Good
12936,61,59,18,No_Value
12937,252,118,12.73,Average
12938,0,9,12.68,No_Value
12939,270,47,246.42,Below
12940,33,99,9.23,No_Value
12942,234,72,9.48,No_Value
12944,319,30,20.15,Average
12945,0,23,20.13,No_Value
12947,229,94,15.29,No_Value
12948,248,116,17.8,Average
12949,221,214,19.4,No_Value
12950,21,23,80.13,Best
12951,322,63,16.89,Average
12952,72,79,17.57,Average
12953,0,17,19.4,No_Value
12955,266,178,26.53,Best
12956,0,19,5.69,No_Value
12957,329,238,16.88,Average
12962,106,16,16.65,Average
12963,357,95,19.54,Good
12965,0,104,7.38,No_Value
12966,0,10,16.02,No_Value
12967,13,18,89.34,No_Value
12968,0,5,27.19,No_Value
12970,315,113,3.78,Average
12971,368,302,36.09,Best
12974,0,8,18.1,No_Value
12976,0,22,33.57,No_Value
12977,0,4,9.03,No_Value
12980,200,20,368.75,No_Value
12981,103,20,18.61,Below
12982,0,28,13.95,No_Value
12984,0,4,24.38,No_Value
12985,27,74,16.43,Best
12987,124,28,19.95,No_Value
12988,0,84,6.29,No_Value
12989,355,57,118.21,Best
12990,278,13,31.5,Average
12991,89,31,16.25,Below
12993,275,27,15.36,Average
12994,264,58,16.14,Average
12995,0,3,70.44,No_Value
12997,294,59,20.79,Average
12999,49,28,16.28,No_Value
13000,258,31,17.25,No_Value
13001,322,336,29.19,Best
13002,0,7,17.28,No_Value
13003,109,6,24.84,Below
13004,346,401,14.01,Below
13005,72,22,19.73,No_Value
13006,0,4,20.39,No_Value
13008,0,14,16.39,No_Value
13011,0,3,16.85,No_Value
13012,285,67,18.4,Good
13013,370,219,21.97,Best
13014,270,107,32.18,Good
13015,195,176,19.01,No_Value
13016,49,47,16.81,No_Value
13017,0,1,204,No_Value
13018,279,458,15.89,No_Value
13021,354,131,19.97,Best
13023,65,40,17.25,No_Value
13026,274,40,24.38,Good
13027,240,26,265.85,No_Value
13028,22,45,14.7,No_Value
13029,322,10,124.75,Good
13030,356,99,8.08,Average
13032,34,71,14.23,No_Value
13033,0,11,17.32,No_Value
13034,314,37,17.37,Below
13035,186,26,34.49,Below
13037,118,48,18.36,No_Value
13038,210,28,32.45,Below
13040,24,43,15.74,Below
13043,0,13,39.72,No_Value
13044,0,33,16.98,No_Value
13045,0,18,16.96,No_Value
13046,235,35,17.98,Average
13047,342,168,18.96,No_Value
13048,312,135,13.59,Average
13049,253,14,46.91,Average
13050,351,392,14.53,No_Value
13052,0,18,19.34,No_Value
13055,135,76,15.98,No_Value
13058,127,8,33.93,Average
13059,0,8,22.93,No_Value
13060,0,15,20.5,No_Value
13061,0,10,24.86,No_Value
13062,0,11,31.54,No_Value
13064,314,68,16.46,Average
13065,0,14,14.7,No_Value
13066,7,47,9.17,No_Value
13067,0,15,7.7,No_Value
13068,309,2,172,Average
13069,368,370,10.07,Best
13070,0,9,25.42,No_Value
13072,0,7,25.31,No_Value
13075,0,22,41.8,No_Value
13077,365,101,7.16,Average
13078,363,348,35.99,Best
13079,136,6,36.68,Average
13080,0,6,9.68,No_Value
13081,359,1021,27.7,No_Value
13082,212,73,49.5,No_Value
13083,71,18,16.88,Average
13085,137,17,18.83,No_Value
13089,366,1810,32.04,Below
13090,364,155,57.49,Best
13091,0,21,16.47,No_Value
13092,288,24,19.16,Below
13093,97,159,49.26,No_Value
13094,288,4,111.84,Average
13095,0,6,12.4,No_Value
13097,327,414,14.38,No_Value
13098,316,572,50.49,Best
13099,0,1,207.36,No_Value
13101,0,8,12.65,No_Value
13102,363,292,21.07,Best
13103,0,8,30.49,No_Value
13104,351,20,54.92,Good
13106,0,1,76.5,No_Value
13107,289,58,26.41,Below
13108,0,10,35.01,No_Value
13109,97,47,16.73,No_Value
13110,279,139,10.69,No_Value
13113,365,192,63.44,Best
13115,172,118,19.17,Average
13116,0,30,16.7,No_Value
13117,350,76,12.96,Average
13118,269,74,15.23,Average
13120,0,1,30.6,No_Value
13121,0,47,5.42,No_Value
13122,146,55,16.77,No_Value
13124,269,233,16.59,No_Value
13126,361,138,14.9,Good
13127,0,15,17.28,No_Value
13130,0,2,32,No_Value
13131,164,44,24.39,Average
13132,0,3,25.77,No_Value
13133,30,7,15.69,No_Value
13134,154,95,18.07,No_Value
13135,0,1,3096,No_Value
13136,156,127,20.53,No_Value
13137,298,649,5.57,No_Value
13138,350,63,15.28,Average
13139,243,170,29.79,Below
13140,258,46,9.21,No_Value
13141,230,135,17.69,No_Value
13142,0,23,13.35,No_Value
13144,0,3,36.98,No_Value
13145,332,6,103.09,Average
13146,0,17,13.47,No_Value
13147,89,4,178.2,Good
13148,335,294,11.86,No_Value
13149,274,86,19.49,Average
13151,0,74,17,No_Value
13153,0,15,32.41,No_Value
13155,335,80,12.1,Below
13157,248,86,20.04,No_Value
13158,224,79,15.2,No_Value
13159,106,121,11.88,Below
13160,0,4,22.95,No_Value
13161,0,8,14.09,No_Value
13162,212,77,21.4,No_Value
13165,305,42,24.32,Below
13166,0,41,10.18,No_Value
13167,125,62,12.74,Below
13168,281,129,10.19,No_Value
13169,188,13,54.84,Average
13170,0,26,4.27,No_Value
13171,277,46,10.18,Average
13173,363,41,8.59,Average
13174,352,299,9.39,Below
13176,0,66,7.4,No_Value
13177,0,17,16.61,No_Value
13178,334,265,21.61,No_Value
13182,0,11,11.02,No_Value
13183,326,93,42.55,Best
13184,275,168,9.24,Below
13185,0,1,71.4,No_Value
13186,89,79,19.95,No_Value
13187,0,36,6.53,No_Value
13188,0,2,57.3,No_Value
13189,96,29,8.99,Below
13192,109,63,14.48,No_Value
13193,0,29,4.06,No_Value
13194,0,3,20.23,No_Value
13196,250,110,16.34,Average
13198,351,225,15.07,Average
13199,363,118,83.08,Best
13200,107,46,18.92,Below
13203,232,57,15.25,Average
13207,135,8,31.28,Average
13208,250,144,8.35,No_Value
13209,331,321,18.35,No_Value
13210,0,22,16.07,No_Value
13211,350,56,21.38,Average
13212,41,137,5.73,No_Value
13213,142,90,16.9,No_Value
13216,0,5,66.75,No_Value
13217,34,2,68.51,No_Value
13218,0,5,12.53,No_Value
13220,158,19,43.03,Below
13221,119,66,12.84,No_Value
13223,31,5,32.64,No_Value
13224,91,108,19.96,No_Value
13225,358,32,202,Best
13226,0,15,7.16,No_Value
13227,0,9,28.63,No_Value
13228,0,2,179,No_Value
13229,0,10,16.1,No_Value
13230,360,557,4.89,Good
13232,230,199,6.8,Below
13233,261,43,14.07,Below
13235,0,58,17.78,No_Value
13236,82,36,20.69,Below
13238,343,30,22.69,Average
13239,0,21,15.69,No_Value
13240,269,67,9.91,No_Value
13242,101,13,20.8,No_Value
13243,0,58,10.35,No_Value
13244,0,27,4.51,No_Value
13245,0,16,26.91,No_Value
13246,312,138,14.38,Average
13247,64,25,20.04,Below
13248,64,26,17.91,No_Value
13249,168,22,32.31,No_Value
13253,182,36,28.62,No_Value
13255,364,13,30.73,Average
13258,193,38,18.38,Average
13259,0,75,3.79,No_Value
13260,0,8,69.7,No_Value
13261,17,9,104.9,No_Value
13262,0,11,18.21,No_Value
13263,323,1551,4.75,Best
13265,220,91,23.16,No_Value
13266,245,182,20.67,Average
13267,364,209,21.32,Best
13268,249,418,7.54,No_Value
13269,368,315,16.97,Best
13270,0,1,590,No_Value
13271,0,52,3.42,No_Value
13272,58,15,18.44,Below
13273,0,16,8.69,No_Value
13276,36,30,19.7,No_Value
13277,117,8,32.3,Average
13278,0,45,12.05,No_Value
13279,0,9,15.31,No_Value
13280,214,84,9.69,No_Value
13282,202,37,30.6,Average
13283,125,7,13.38,Below
13284,0,12,16.35,No_Value
13285,266,187,14.49,No_Value
13291,0,41,8.8,No_Value
13292,245,31,18.68,Average
13294,59,54,16.18,No_Value
13295,0,10,20.12,No_Value
13296,0,5,17.48,No_Value
13297,59,59,35.42,Average
13298,0,2,180,Best
13299,0,5,28.5,No_Value
13300,0,20,18.59,No_Value
13301,188,80,7.72,No_Value
13302,0,1,63.75,No_Value
13304,0,21,14.31,No_Value
13305,368,81,24.7,Good
13307,0,1,15,No_Value
13308,180,54,25.66,Average
13309,301,107,13.61,Good
13310,296,70,15.75,Average
13311,145,26,23.02,Average
13313,317,78,19.94,Average
13314,72,48,11.44,Good
13316,217,84,71.15,Below
13317,292,120,18.38,No_Value
13318,36,20,32.04,Good
13319,360,473,22.84,Best
13320,135,103,14.54,No_Value
13321,14,11,51.58,No_Value
13322,0,25,7.98,No_Value
13323,81,21,37.52,Good
13324,324,75,94.96,Average
13325,0,12,56.28,No_Value
13327,326,107,33.81,Below
13328,0,17,76.97,No_Value
13329,335,16,48.49,Average
13330,223,53,21.53,No_Value
13332,0,21,16.71,No_Value
13334,223,267,13.24,No_Value
13336,0,51,15.59,No_Value
13338,0,18,26.22,No_Value
13339,0,54,15.93,No_Value
13340,231,134,80.12,No_Value
13341,0,42,18.47,No_Value
13343,0,16,19,No_Value
13344,209,119,21.38,No_Value
13345,0,20,19.48,No_Value
13347,0,8,42.67,No_Value
13348,0,14,16.7,No_Value
13349,0,16,15.46,No_Value
13350,63,39,23.82,Below
13351,0,16,23.37,No_Value
13352,0,24,16.58,No_Value
13354,0,51,14.58,No_Value
13355,0,32,21.08,No_Value
13356,0,42,18.29,No_Value
13357,0,86,7.07,No_Value
13358,0,29,15.14,No_Value
