year,nominal,cpi,real
1999,485.71,68.81666667,705.8028578
2000,495.6,71.215,695.9208032
2001,505.69,73.22666667,690.5817553
2002,515.9,75.85583333,680.1059026
2003,526.4,78.21,673.059711
2004,554.925,80.59833333,705.8028578
2005,598.5,83.32583333,718.2646438
2006,631.05,86.29333333,731.2847651
2007,665.7,88.74666667,750.1126803
2008,700,92.4125,757.4732855
2009,728,92.19166667,789.6592244
2010,738.85,94.075,785.3840021
2011,748.3,96.94416667,771.8875985
2012,748.3,99.30583333,753.5307594
2013,752.85,100.825,746.6898091
2014,752.85,100.6333333,748.1119576
2015,756.7,100,756.7
2016,764.4,99.66333333,766.9821733
2017,825.65,101.6925,811.9084495
2018,858.55,103.4575,829.857671
2019,1050,104.2641667,1007.057394
2020,1050,105.37,996.4885641
