month,Passengers
2003-01-01,"4,794"
2003-02-01,"4,541"
2003-03-01,"5,500"
2003-04-01,"5,138"
2003-05-01,"5,376"
2003-06-01,"5,762"
2003-07-01,"6,200"
2003-08-01,"6,019"
2003-09-01,"4,904"
2003-10-01,"5,487"
2003-11-01,"5,191"
2003-12-01,"5,512"
2004-01-01,"4,907"
2004-02-01,"5,025"
2004-03-01,"5,995"
2004-04-01,"5,892"
2004-05-01,"5,880"
2004-06-01,"6,336"
2004-07-01,"6,680"
2004-08-01,"6,437"
2004-09-01,"5,307"
2004-10-01,"5,980"
2004-11-01,"5,717"
2004-12-01,"5,868"
2005-01-01,"5,414"
2005-02-01,"5,257"
2005-03-01,"6,580"
2005-04-01,"6,130"
2005-05-01,"6,390"
2005-06-01,"6,685"
2005-07-01,"7,026"
2005-08-01,"6,653"
2005-09-01,"5,653"
2005-10-01,"5,961"
2005-11-01,"5,841"
2005-12-01,"5,920"
2006-01-01,"5,529"
2006-02-01,"5,306"
2006-03-01,"6,551"
2006-04-01,"6,287"
2006-05-01,"6,414"
2006-06-01,"6,692"
2006-07-01,"6,918"
2006-08-01,"6,615"
2006-09-01,"5,614"
2006-10-01,"6,137"
2006-11-01,"6,003"
2006-12-01,"6,046"
2007-01-01,"5,688"
2007-02-01,"5,385"
2007-03-01,"6,689"
2007-04-01,"6,463"
2007-05-01,"6,653"
2007-06-01,"6,945"
2007-07-01,"7,215"
2007-08-01,"7,109"
2007-09-01,"5,897"
2007-10-01,"6,394"
2007-11-01,"6,166"
2007-12-01,"6,059"
2008-01-01,"5,746"
2008-02-01,"5,681"
2008-03-01,"6,747"
2008-04-01,"6,297"
2008-05-01,"6,579"
2008-06-01,"6,773"
2008-07-01,"7,023"
2008-08-01,"6,760"
2008-09-01,"5,401"
2008-10-01,"5,943"
2008-11-01,"5,383"
2008-12-01,"5,713"
2009-01-01,"5,156"
2009-02-01,"4,965"
2009-03-01,"6,076"
2009-04-01,"5,933"
2009-05-01,"5,955"
2009-06-01,"6,336"
2009-07-01,"6,787"
2009-08-01,"6,479"
2009-09-01,"5,445"
2009-10-01,"5,857"
2009-11-01,"5,459"
2009-12-01,"5,669"
2010-01-01,"5,232"
2010-02-01,"4,846"
2010-03-01,"6,196"
2010-04-01,"5,944"
2010-05-01,"6,125"
2010-06-01,"6,479"
2010-07-01,"6,819"
2010-08-01,"6,602"
2010-09-01,"5,715"
2010-10-01,"6,190"
2010-11-01,"5,793"
2010-12-01,"5,835"
2011-01-01,"5,346"
2011-02-01,"4,986"
2011-03-01,"6,338"
2011-04-01,"6,035"
2011-05-01,"6,365"
2011-06-01,"6,604"
2011-07-01,"6,969"
2011-08-01,"6,608"
2011-09-01,"5,788"
2011-10-01,"6,101"
2011-11-01,"5,809"
2011-12-01,"5,887"
2012-01-01,"5,424"
2012-02-01,"5,292"
2012-03-01,"6,426"
2012-04-01,"6,130"
2012-05-01,"6,348"
2012-06-01,"6,641"
2012-07-01,"6,899"
2012-08-01,"6,754"
2012-09-01,"5,723"
2012-10-01,"6,073"
2012-11-01,"5,855"
2012-12-01,"5,867"
2013-01-01,"5,515"
2013-02-01,"5,230"
2013-03-01,"6,489"
2013-04-01,"6,079"
2013-05-01,"6,459"
2013-06-01,"6,687"
2013-07-01,"6,902"
2013-08-01,"6,752"
2013-09-01,"5,802"
2013-10-01,"6,198"
2013-11-01,"5,742"
2013-12-01,"6,230"
2014-01-01,"5,563"
2014-02-01,"5,228"
2014-03-01,"6,627"
2014-04-01,"6,334"
2014-05-01,"6,637"
2014-06-01,"6,846"
2014-07-01,"7,175"
2014-08-01,"6,939"
2014-09-01,"5,987"
2014-10-01,"6,437"
2014-11-01,"5,963"
2014-12-01,"6,365"
2015-01-01,"5,766"
2015-02-01,"5,405"
2015-03-01,"6,808"
2015-04-01,"6,582"
2015-05-01,"6,882"
2015-06-01,"7,116"
2015-07-01,"7,552"
2015-08-01,"7,275"
2015-09-01,"6,365"
2015-10-01,"6,863"
2015-11-01,"6,448"
2015-12-01,"6,628"
2016-01-01,"6,069"
2016-02-01,"5,839"
2016-03-01,"7,044"
2016-04-01,"6,713"
2016-05-01,"7,141"
2016-06-01,"7,441"
2016-07-01,"7,679"
2016-08-01,"7,335"
2016-09-01,"6,639"
2016-10-01,"6,945"
2016-11-01,"6,653"
2016-12-01,"6,791"
2017-01-01,"6,256"
2017-02-01,"5,832"
2017-03-01,"7,290"
2017-04-01,"7,020"
2017-05-01,"7,362"
2017-06-01,"7,696"
2017-07-01,"7,976"
2017-08-01,"7,705"
2017-09-01,"6,487"
2017-10-01,"7,266"
2017-11-01,"6,959"
2017-12-01,"7,029"
2018-01-01,"6,439"
2018-02-01,"6,167"
2018-03-01,"7,625"
2018-04-01,"7,359"
2018-05-01,"7,726"
2018-06-01,"8,085"
2018-07-01,"8,393"
2018-08-01,"8,096"
2018-09-01,"6,868"
2018-10-01,"7,548"
2018-11-01,"7,271"
2018-12-01,"7,286"
