date,weekend,display,sales
2021-03-14,1,3,82887
2021-03-15,0,3,94587
2021-03-16,0,4,64251
2021-03-17,0,3,94497
2021-03-18,0,3,58154
2021-03-19,0,2,92979
2021-03-20,1,3,79765
2021-03-21,1,2,89971
2021-03-22,0,4,57696
2021-03-23,0,4,51087
2021-03-24,0,1,43805
2021-03-25,0,1,43981
2021-03-26,0,3,50425
2021-03-27,1,4,53451
2021-03-28,1,3,91161
2021-03-29,0,2,63527
2021-03-30,0,1,44867
2021-03-31,0,2,88051
2021-04-01,0,4,39781
2021-04-02,0,2,92387
2021-04-03,1,1,63285
2021-04-04,1,2,70450
2021-04-05,0,4,68566
2021-04-06,0,1,70941
2021-04-07,0,4,69167
2021-04-08,0,1,51494
2021-04-09,0,2,53552
2021-04-10,1,3,65688
2021-04-11,1,4,75328
2021-04-12,0,2,39562
2021-04-13,0,4,49614
2021-04-14,0,1,49665
2021-04-15,0,2,60360
2021-04-16,0,3,95384
2021-04-17,1,1,87624
