id,Color,Font,convert,sales
1,Blue,Gothic,yes,15
2,Blue,Gothic,yes,16
3,Blue,Gothic,yes,37
4,Red,Arial,yes,30
5,Blue,Times,yes,46
6,Blue,Times,yes,38
7,Green,Arial,yes,45
8,Green,Times,yes,22
9,Green,Times,yes,26
10,Red,Gothic,yes,37
11,Red,Times,yes,25
12,Green,Arial,yes,50
13,Green,Gothic,yes,39
14,Green,Gothic,yes,43
15,Green,Arial,yes,45
16,Red,Gothic,yes,68
17,Green,Arial,yes,65
18,Blue,Times,yes,39
19,Green,Times,yes,50
20,Green,Times,yes,39
21,Blue,Gothic,yes,16
22,Green,Gothic,yes,20
23,Blue,Gothic,yes,12
24,Blue,Times,yes,20
25,Blue,Times,yes,36
26,Red,Gothic,yes,68
27,Blue,Times,yes,13
28,Red,Gothic,yes,28
29,Red,Gothic,yes,42
30,Blue,Gothic,yes,33
31,Red,Times,yes,45
32,Green,Times,yes,35
33,Green,Times,yes,17
34,Blue,Times,yes,22
35,Red,Gothic,yes,43
36,Green,Gothic,yes,14
37,Red,Times,yes,48
38,Green,Gothic,yes,44
39,Blue,Gothic,yes,34
40,Green,Gothic,yes,22
41,Green,Times,yes,48
42,Blue,Times,yes,39
43,Red,Times,yes,22
44,Blue,Gothic,yes,31
45,Red,Arial,yes,21
46,Green,Arial,yes,55
47,Blue,Gothic,yes,35
48,Green,Gothic,yes,27
49,Red,Times,yes,41
50,Green,Gothic,yes,49
51,Red,Arial,yes,48
52,Green,Arial,yes,72
53,Blue,Times,yes,23
54,Blue,Arial,yes,20
55,Green,Arial,yes,35
56,Blue,Times,yes,20
57,Red,Arial,yes,49
58,Blue,Times,yes,49
59,Blue,Gothic,yes,17
60,Blue,Arial,yes,13
61,Green,Arial,yes,48
62,Green,Times,yes,20
63,Red,Gothic,yes,47
64,Red,Times,yes,48
65,Blue,Gothic,yes,27
66,Blue,Arial,yes,46
67,Red,Gothic,yes,11
68,Green,Gothic,yes,11
69,Blue,Times,yes,46
70,Blue,Times,yes,46
71,Blue,Arial,yes,24
72,Red,Gothic,yes,20
73,Green,Gothic,yes,31
74,Red,Gothic,yes,41
75,Red,Gothic,yes,12
76,Red,Arial,yes,30
77,Red,Arial,yes,35
78,Blue,Arial,yes,33
79,Blue,Gothic,yes,36
80,Blue,Arial,yes,22
81,Blue,Gothic,yes,14
82,Blue,Arial,yes,26
83,Red,Gothic,yes,44
84,Blue,Gothic,yes,47
85,Blue,Arial,yes,17
86,Green,Times,yes,12
87,Red,Gothic,yes,30
88,Blue,Times,yes,10
89,Green,Gothic,yes,27
90,Green,Times,yes,49
91,Green,Arial,yes,17
92,Blue,Arial,yes,32
93,Blue,Arial,yes,39
94,Red,Gothic,yes,25
95,Red,Arial,yes,28
96,Green,Gothic,yes,37
97,Green,Gothic,yes,17
98,Blue,Gothic,yes,15
99,Green,Gothic,yes,28
100,Green,Times,yes,31
101,Blue,Gothic,no,0
102,Blue,Arial,no,0
103,Blue,Gothic,no,0
104,Red,Arial,no,0
105,Blue,Times,no,0
106,Blue,Times,no,0
107,Green,Arial,no,0
108,Green,Times,no,0
109,Green,Times,no,0
110,Red,Gothic,no,0
111,Red,Gothic,no,0
112,Green,Arial,no,0
113,Green,Gothic,no,0
114,Green,Gothic,no,0
115,Green,Arial,no,0
116,Red,Gothic,no,0
117,Green,Gothic,no,0
118,Blue,Times,no,0
119,Green,Times,no,0
120,Green,Times,no,0
121,Blue,Gothic,no,0
122,Green,Gothic,no,0
123,Blue,Gothic,no,0
124,Blue,Times,no,0
125,Blue,Gothic,no,0
126,Red,Gothic,no,0
127,Blue,Times,no,0
128,Blue,Gothic,no,0
129,Red,Gothic,no,0
130,Blue,Gothic,no,0
131,Blue,Times,no,0
132,Blue,Times,no,0
133,Blue,Times,no,0
134,Blue,Times,no,0
135,Blue,Gothic,no,0
136,Green,Gothic,no,0
137,Red,Times,no,0
138,Green,Gothic,no,0
139,Blue,Gothic,no,0
140,Green,Gothic,no,0
141,Green,Times,no,0
142,Blue,Times,no,0
143,Red,Times,no,0
144,Blue,Gothic,no,0
145,Blue,Arial,no,0
146,Blue,Arial,no,0
147,Blue,Gothic,no,0
148,Green,Gothic,no,0
149,Red,Times,no,0
150,Green,Gothic,no,0
151,Red,Arial,no,0
152,Green,Arial,no,0
153,Blue,Times,no,0
154,Blue,Arial,no,0
155,Green,Gothic,no,0
156,Blue,Times,no,0
157,Red,Arial,no,0
158,Blue,Times,no,0
159,Blue,Gothic,no,0
160,Blue,Arial,no,0
161,Green,Gothic,no,0
162,Green,Gothic,no,0
163,Red,Gothic,no,0
164,Red,Times,no,0
165,Blue,Gothic,no,0
166,Blue,Arial,no,0
167,Red,Gothic,no,0
168,Green,Gothic,no,0
169,Blue,Times,no,0
170,Blue,Times,no,0
171,Blue,Arial,no,0
172,Red,Gothic,no,0
173,Blue,Gothic,no,0
174,Blue,Gothic,no,0
175,Red,Gothic,no,0
176,Red,Arial,no,0
177,Red,Arial,no,0
178,Blue,Arial,no,0
179,Blue,Gothic,no,0
180,Blue,Arial,no,0
181,Blue,Gothic,no,0
182,Blue,Arial,no,0
183,Red,Gothic,no,0
184,Blue,Gothic,no,0
185,Blue,Arial,no,0
186,Blue,Times,no,0
187,Red,Gothic,no,0
188,Blue,Times,no,0
189,Green,Gothic,no,0
190,Green,Times,no,0
191,Green,Arial,no,0
192,Blue,Gothic,no,0
193,Blue,Gothic,no,0
194,Blue,Gothic,no,0
195,Red,Gothic,no,0
196,Blue,Gothic,no,0
197,Green,Gothic,no,0
198,Blue,Gothic,no,0
199,Green,Gothic,no,0
200,Green,Gothic,no,0
