id,Color,Font,sales
1,Blue,Gothic,15
2,Blue,Gothic,16
3,Blue,Gothic,37
4,Red,Arial,30
5,Blue,Times,46
6,Blue,Times,38
7,Green,Arial,45
8,Green,Times,22
9,Green,Times,26
10,Red,Gothic,37
11,Red,Times,25
12,Green,Arial,50
13,Green,Gothic,39
14,Green,Gothic,43
15,Green,Arial,45
16,Red,Gothic,68
17,Green,Arial,65
18,Blue,Times,39
19,Green,Times,50
20,Green,Times,39
21,Blue,Gothic,16
22,Green,Gothic,20
23,Blue,Gothic,12
24,Blue,Times,20
25,Blue,Times,36
26,Red,Gothic,68
27,Blue,Times,13
28,Red,Gothic,28
29,Red,Gothic,42
30,Blue,Gothic,33
31,Red,Times,45
32,Green,Times,35
33,Green,Times,17
34,Blue,Times,22
35,Red,Gothic,43
36,Green,Gothic,14
37,Red,Times,48
38,Green,Gothic,44
39,Blue,Gothic,34
40,Green,Gothic,22
41,Green,Times,48
42,Blue,Times,39
43,Red,Times,22
44,Blue,Gothic,31
45,Red,Arial,21
46,Green,Arial,55
47,Blue,Gothic,35
48,Green,Gothic,27
49,Red,Times,41
50,Green,Gothic,49
51,Red,Arial,48
52,Green,Arial,72
53,Blue,Times,23
54,Blue,Arial,20
55,Green,Arial,35
56,Blue,Times,20
57,Red,Arial,49
58,Blue,Times,49
59,Blue,Gothic,17
60,Blue,Arial,13
61,Green,Arial,48
62,Green,Times,20
63,Red,Gothic,47
64,Red,Times,48
65,Blue,Gothic,27
66,Blue,Arial,46
67,Red,Gothic,11
68,Green,Gothic,11
69,Blue,Times,46
70,Blue,Times,46
71,Blue,Arial,24
72,Red,Gothic,20
73,Green,Gothic,31
74,Red,Gothic,41
75,Red,Gothic,12
76,Red,Arial,30
77,Red,Arial,35
78,Blue,Arial,33
79,Blue,Gothic,36
80,Blue,Arial,22
81,Blue,Gothic,14
82,Blue,Arial,26
83,Red,Gothic,44
84,Blue,Gothic,47
85,Blue,Arial,17
86,Green,Times,12
87,Red,Gothic,30
88,Blue,Times,10
89,Green,Gothic,27
90,Green,Times,49
91,Green,Arial,17
92,Blue,Arial,32
93,Blue,Arial,39
94,Red,Gothic,25
95,Red,Arial,28
96,Green,Gothic,37
97,Green,Gothic,17
98,Blue,Gothic,15
99,Green,Gothic,28
100,Green,Times,31
