id,폰트,색상 ,전환,매출
1,Gothic,Blue,yes,15
2,Gothic,Blue,yes,16
3,Gothic,Blue,no,0
4,Arial,Red,yes,30
5,Times,Blue,yes,46
6,Times,Blue,yes,38
7,Arial,Green,yes,45
8,Times,Green,yes,22
9,Times,Green,no,0
10,Gothic,Red,yes,37
11,Times,Red,yes,25
12,Arial,Green,yes,50
13,Gothic,Green,yes,39
14,Gothic,Green,yes,43
15,Arial,Green,yes,45
16,Gothic,Red,yes,68
17,Arial,Green,no,0
18,Times,Blue,yes,39
19,Times,Green,yes,50
20,Times,Green,yes,39
21,Gothic,Blue,yes,16
22,Gothic,Green,yes,20
23,Gothic,Blue,yes,12
24,Times,Blue,yes,20
25,Times,Blue,yes,36
26,Gothic,Red,no,0
27,Times,Blue,yes,13
28,Gothic,Red,yes,28
29,Gothic,Red,yes,42
30,Gothic,Blue,yes,33
31,Times,Red,yes,45
32,Times,Green,yes,35
33,Times,Green,yes,17
34,Times,Blue,no,0
35,Gothic,Red,yes,43
36,Gothic,Green,yes,14
37,Times,Red,yes,48
38,Gothic,Green,yes,44
39,Gothic,Blue,yes,34
40,Gothic,Green,yes,22
41,Times,Green,yes,48
42,Times,Blue,yes,39
43,Times,Red,yes,22
44,Gothic,Blue,no,0
45,Arial,Red,yes,21
46,Arial,Green,yes,55
47,Gothic,Blue,yes,35
48,Gothic,Green,yes,27
49,Times,Red,yes,41
50,Gothic,Green,yes,49
51,Arial,Red,yes,48
52,Arial,Green,yes,72
53,Times,Blue,no,0
54,Arial,Blue,yes,20
55,Arial,Green,yes,35
56,Times,Blue,yes,20
57,Arial,Red,yes,49
58,Times,Blue,yes,49
59,Gothic,Blue,yes,17
60,Arial,Blue,yes,13
61,Arial,Green,no,0
62,Times,Green,no,0
63,Gothic,Red,yes,47
64,Times,Red,yes,48
65,Gothic,Blue,yes,27
66,Arial,Blue,yes,46
67,Gothic,Red,yes,11
68,Gothic,Green,yes,11
69,Times,Blue,yes,46
70,Times,Blue,yes,46
71,Arial,Blue,yes,24
72,Gothic,Red,yes,20
73,Gothic,Green,yes,31
74,Gothic,Red,yes,41
75,Gothic,Red,yes,12
76,Arial,Red,yes,30
77,Arial,Red,yes,35
78,Arial,Blue,yes,33
79,Gothic,Blue,yes,36
80,Arial,Blue,yes,22
81,Gothic,Blue,yes,14
82,Arial,Blue,yes,26
83,Gothic,Red,yes,44
84,Gothic,Blue,yes,47
85,Arial,Blue,yes,17
86,Times,Green,yes,12
87,Gothic,Red,yes,30
88,Times,Blue,yes,10
89,Gothic,Green,yes,27
90,Times,Green,no,0
91,Arial,Green,yes,17
92,Arial,Blue,no,0
93,Arial,Blue,yes,39
94,Gothic,Red,no,0
95,Arial,Red,yes,28
96,Gothic,Green,yes,37
97,Gothic,Green,yes,17
98,Gothic,Blue,yes,15
