id,brand,performance,fuel_efficiency,design,recommend
1,Jan,9,3,3,7
2,Oct,6,9,5,9
3,Aug,4,9,10,10
4,Feb,6,6,4,8
5,Sep,7,6,6,8
6,Sep,7,4,2,7
7,Apr,6,7,7,9
8,Jun,10,3,1,7
9,Jul,7,7,7,9
10,Oct,3,5,4,6
11,Aug,2,3,5,5
12,Jul,7,4,2,7
13,Jan,5,5,2,6
14,Sep,6,9,3,9
15,May,6,9,9,10
16,Sep,5,6,8,8
17,Jun,8,6,4,8
18,Feb,4,6,6,7
19,May,3,7,8,8
20,Jan,6,6,7,8
21,May,6,4,8,7
22,Sep,8,9,6,10
23,Aug,5,8,8,9
24,Aug,4,8,4,8
25,Mar,7,4,4,7
26,Sep,6,4,6,7
27,Feb,0,2,7,3
28,May,3,8,8,9
29,Aug,2,4,4,5
30,Jan,9,8,6,9
31,Apr,7,6,9,7
32,Oct,4,6,2,7
33,Jun,4,5,6,7
34,Jul,5,7,2,7
35,Jun,6,3,3,6
36,Jul,3,6,3,7
37,Jan,8,8,5,9
38,Jan,7,6,3,8
39,May,5,8,8,8
40,Jan,7,8,2,9
41,Feb,6,6,8,8
42,Mar,6,8,5,8
43,Oct,7,7,7,9
44,Mar,5,7,4,8
45,Oct,8,8,7,9
46,May,6,9,8,10
47,Jan,6,9,5,9
48,Jun,3,3,2,5
49,Jan,7,8,4,9
50,Apr,9,7,2,9
51,May,3,8,7,8
52,May,4,8,4,8
53,Apr,9,9,5,10
54,May,6,5,4,7
55,Jan,9,3,4,7
56,Aug,2,3,10,6
57,Aug,1,3,7,5
58,May,4,4,7,7
59,May,4,6,10,8
60,Feb,0,7,8,7
61,Jan,5,7,4,8
62,Sep,8,5,10,9
63,Feb,5,2,9,6
64,Jan,8,4,5,7
65,Feb,3,4,5,6
66,Oct,3,6,9,8
67,Sep,7,7,6,7
68,Jul,3,4,6,6
69,Jun,9,3,2,7
70,Aug,3,9,4,8
71,Oct,2,6,8,7
72,May,7,7,4,8
73,Sep,5,6,7,8
74,Jun,4,2,5,5
75,May,8,3,7,7
76,Jul,7,3,9,7
77,Apr,7,6,9,9
78,Feb,5,5,9,8
79,Jun,8,6,1,8
80,Sep,5,8,3,8
81,Oct,3,9,3,8
82,Feb,7,2,4,6
83,May,6,8,6,9
84,Sep,6,5,4,7
85,Apr,10,9,7,9
86,Jul,1,5,6,6
87,Jan,9,4,3,7
88,Apr,9,8,9,10
89,Jan,4,9,7,9
90,Feb,2,2,4,3
91,Jun,5,3,2,5
92,Feb,1,2,9,5
93,Mar,3,3,6,6
94,Mar,9,3,3,7
95,May,3,5,10,7
96,Jul,0,6,4,6
97,Feb,2,5,7,7
98,Sep,8,8,6,10
99,Jul,0,7,6,7
100,Sep,6,8,4,9
101,Sep,4,4,3,6
102,Sep,6,8,9,10
103,Jul,3,2,5,5
104,Jul,5,5,8,8
105,Jan,8,9,2,7
106,Sep,6,5,9,8
107,Jul,2,1,2,4
108,Feb,5,3,9,7
109,May,8,7,6,9
110,Jun,7,7,4,8
111,May,4,9,8,8
112,Oct,8,3,6,7
113,Feb,7,6,9,9
114,Oct,2,7,9,8
115,Mar,7,5,4,7
116,Jul,0,5,7,6
117,Jul,2,4,2,5
118,Jun,3,2,4,5
119,May,4,4,8,7
120,Jul,0,2,4,3
121,Mar,5,3,7,6
122,Feb,2,4,4,5
123,May,4,6,9,8
124,Mar,4,6,3,7
125,Aug,1,4,9,6
126,Aug,3,7,9,8
127,May,2,5,8,7
128,Feb,1,5,3,5
129,May,4,4,3,6
130,Jan,7,9,2,9
131,Mar,10,5,6,8
132,Mar,5,8,6,9
133,Oct,6,8,9,10
134,Feb,0,4,8,6
135,Jul,3,7,4,7
136,Jan,10,9,5,10
137,Aug,3,7,8,8
138,Jan,10,9,8,10
139,Apr,8,8,3,8
140,Jun,4,7,4,7
141,Mar,10,5,4,7
142,Aug,4,6,10,8
143,Oct,7,6,9,9
144,Jun,4,8,5,8
145,Jun,4,8,8,8
146,May,7,3,8,7
147,Feb,2,5,6,6
148,Jun,10,3,8,8
149,Jun,5,8,4,8
150,Jul,7,3,7,7
151,May,3,7,9,7
152,Sep,5,5,8,8
153,Apr,9,7,5,9
154,Jun,7,8,6,9
155,Oct,4,4,3,6
156,Jul,7,7,5,9
157,Mar,4,3,3,5
158,Apr,9,7,6,9
159,Mar,4,3,5,6
160,Oct,2,4,4,5
161,Jul,6,2,5,6
162,Jul,1,6,4,6
163,Jan,4,8,4,8
164,Jul,6,4,9,8
165,Aug,6,8,4,9
166,Jul,2,7,4,7
167,Jul,4,2,6,5
168,Mar,10,6,6,9
169,Aug,3,6,5,7
170,May,6,7,6,9
171,Jun,6,4,5,7
172,Sep,8,8,4,9
173,Feb,3,2,9,6
174,Aug,4,7,5,8
175,May,3,5,4,6
176,Oct,5,5,2,6
177,Aug,4,7,10,9
178,Jul,1,5,8,6
179,Jul,0,2,3,4
180,May,5,6,7,8
181,Feb,5,7,9,9
182,Mar,3,7,7,8
183,Mar,6,9,4,9
184,Feb,6,3,5,6
185,Apr,5,5,7,7
186,Jul,3,1,2,4
187,Apr,5,4,6,7
188,Oct,2,4,5,6
189,Sep,6,6,8,8
190,Oct,8,5,2,7
191,Mar,6,8,5,9
192,Apr,9,6,9,10
193,May,6,5,3,7
194,Apr,9,5,9,9
195,Jun,6,7,1,8
196,Jun,6,2,4,6
197,Sep,4,5,8,7
198,Jan,7,6,6,8
199,Oct,8,5,8,9
200,Jul,6,4,3,6
201,May,5,7,7,8
202,Mar,9,9,3,9
203,Oct,8,9,2,9
204,Aug,1,4,5,5
205,May,3,7,5,7
206,Jul,1,7,8,7
207,Mar,6,3,5,6
208,Sep,5,10,6,10
209,Oct,3,3,3,4
210,Mar,10,7,6,10
211,Jun,9,4,5,8
212,Jun,4,8,2,8
213,May,6,4,7,7
214,Jun,10,7,7,10
215,Oct,6,4,5,7
216,Sep,5,7,6,8
217,Mar,7,7,6,9
218,Jun,6,2,7,6
219,Apr,8,9,3,9
220,Mar,9,6,6,9
221,Jun,10,3,1,7
222,Oct,6,6,2,7
223,Jan,10,4,5,8
224,Jan,10,8,5,10
225,Aug,4,9,5,9
226,Aug,2,4,8,6
227,Mar,9,9,3,10
228,Apr,10,8,5,10
229,Apr,10,7,5,10
230,Sep,5,8,8,9
231,Feb,0,7,5,7
232,Oct,5,3,6,6
233,Jan,5,6,3,7
234,Mar,8,6,4,8
235,Apr,8,9,7,9
236,Oct,5,9,4,9
237,Apr,10,9,3,10
238,Jan,8,3,2,6
239,Apr,6,5,9,8
240,Aug,7,9,7,10
241,Feb,7,3,5,7
242,Jan,9,5,4,8
243,Mar,3,5,6,7
244,Sep,7,8,7,10
245,Feb,4,2,8,6
246,Jan,9,3,2,7
247,Jun,3,6,3,7
248,Feb,7,8,3,9
249,Apr,7,4,8,8
250,Oct,8,3,5,6
251,Sep,6,8,3,8
252,Oct,3,4,9,7
253,Jun,5,8,3,8
254,Sep,7,6,6,8
255,May,3,3,7,6
256,Jun,7,5,1,7
257,Feb,7,6,8,9
258,Oct,4,8,4,8
259,Sep,5,4,3,6
260,Feb,5,2,3,5
261,Oct,6,3,7,7
262,Jun,8,2,1,6
263,May,6,4,5,7
264,Jul,1,1,5,3
265,Feb,5,4,9,7
266,Jul,0,1,6,2
267,Jun,6,6,3,7
268,Apr,7,4,5,7
269,Jan,9,3,2,7
270,Jul,0,5,9,6
271,Sep,7,7,3,8
272,Jan,9,4,8,8
273,Oct,4,5,3,6
274,Jul,2,7,4,7
275,Sep,4,4,5,6
276,Jun,10,3,6,8
277,Feb,1,2,5,3
278,Oct,7,5,6,8
279,May,2,9,6,8
280,Sep,9,9,3,10
281,Aug,4,4,10,7
282,Apr,7,10,3,10
283,Apr,5,5,3,7
284,Aug,1,4,7,6
285,Feb,0,2,9,5
286,May,7,4,8,8
287,Oct,6,6,4,7
288,Jan,4,3,3,4
289,Feb,4,5,5,7
290,May,8,7,6,9
291,May,8,8,9,10
292,Jul,1,5,4,6
293,Jan,5,7,5,8
294,Apr,10,6,8,10
295,Mar,6,3,7,7
296,Jan,4,7,4,8
297,Jun,8,5,3,8
298,May,6,8,7,9
299,Oct,8,3,8,8
300,Jun,4,4,5,6
301,Jul,0,7,6,7
302,May,3,4,5,6
303,Jun,4,6,1,6
304,Apr,10,10,4,10
305,Apr,9,8,9,10
306,Jun,10,6,8,10
307,Sep,6,6,10,9
308,Feb,0,2,8,5
309,Sep,5,4,8,7
310,Jan,4,7,7,8
311,Jul,3,6,2,6
312,May,6,5,9,8
313,May,2,5,5,6
314,Apr,9,6,7,9
315,Jan,4,9,7,9
316,Aug,6,3,8,7
317,Sep,6,10,6,9
318,Feb,1,3,9,5
319,Oct,4,9,8,8
320,Jan,7,7,2,8
321,Jul,4,7,8,8
322,May,3,5,3,5
323,Jan,5,6,7,8
324,Apr,8,6,4,8
325,Apr,7,10,3,10
326,Feb,0,4,3,5
327,Oct,7,8,4,9
328,Sep,4,4,7,7
329,Oct,5,6,4,7
330,Jan,8,9,2,9
331,Jan,9,4,6,8
332,Apr,10,4,6,8
333,Apr,10,5,2,8
334,Sep,8,6,9,9
335,May,3,3,8,6
336,Mar,3,4,8,7
337,Jun,9,8,4,10
338,Jul,1,5,2,5
339,Jul,5,7,7,8
340,May,6,8,4,9
341,Jul,3,7,9,8
342,May,4,4,5,6
343,Jun,8,6,4,8
344,May,6,3,4,6
345,Feb,4,6,4,7
346,Jun,10,8,3,10
347,Feb,7,4,8,8
348,Jan,4,5,3,6
349,Sep,7,10,2,10
350,Sep,7,8,7,10
351,Mar,5,3,3,5
352,Jan,4,9,7,9
353,Aug,4,8,6,8
354,Feb,6,6,4,8
355,May,4,9,10,10
356,Jun,4,8,7,9
357,Sep,7,6,7,9
358,Aug,6,4,10,8
359,Jun,10,4,4,8
360,Jul,7,2,5,6
361,Sep,8,5,3,8
362,Oct,7,9,2,9
363,Jul,5,3,9,7
364,Feb,2,3,4,5
365,May,2,5,9,7
366,Mar,9,5,6,8
367,May,7,4,6,7
368,Jan,4,6,8,8
369,Sep,9,7,3,9
370,May,3,3,5,5
371,Aug,3,7,5,7
372,Jun,6,7,2,8
373,May,5,7,7,8
374,May,5,5,10,8
375,Oct,7,8,2,9
376,Mar,8,8,3,9
377,Sep,4,4,2,6
378,Aug,7,7,7,9
379,Oct,8,5,8,9
380,Jun,7,2,3,6
381,Mar,3,7,8,7
382,Jun,9,3,1,6
383,Oct,4,4,4,6
384,Jul,6,6,7,8
385,Aug,2,3,10,6
386,Jul,5,2,7,6
387,Aug,8,9,9,10
388,Oct,7,7,7,9
389,Feb,5,5,7,7
390,Jul,5,1,9,6
391,Feb,4,6,7,8
392,Aug,4,6,3,7
393,Mar,6,4,3,6
394,Oct,4,3,3,5
395,Apr,5,9,9,10
396,May,4,7,3,7
397,Jun,10,6,5,9
398,Mar,3,8,7,8
399,Aug,4,7,3,7
400,Feb,4,7,6,8
401,Aug,7,5,9,8
402,Jun,4,7,2,7
403,Oct,5,3,5,6
404,Aug,4,7,4,8
405,Jun,10,4,4,8
406,Feb,5,3,4,6
407,May,2,3,7,6
408,Apr,10,5,5,9
409,Sep,9,6,4,9
410,Aug,3,6,9,8
411,Feb,0,6,7,6
412,Jan,6,4,6,7
413,Oct,8,8,6,10
414,Sep,6,5,8,8
415,Apr,9,8,7,10
416,May,8,5,7,8
417,Jan,6,6,2,6
418,Jan,9,3,3,7
419,May,6,7,9,9
420,Sep,5,7,6,8
421,Aug,8,4,8,8
422,Oct,5,6,2,7
423,May,3,4,3,6
424,Oct,7,6,7,9
425,Oct,7,5,7,8
426,Aug,6,7,6,9
427,Mar,8,6,5,8
428,Mar,4,6,8,8
429,Sep,9,8,5,10
430,Aug,8,4,3,7
431,Jul,5,7,8,8
432,Sep,7,10,8,10
433,Sep,6,10,6,10
434,Jan,6,9,6,10
435,Apr,6,10,3,9
436,Sep,4,5,9,8
437,Jul,0,7,8,7
438,Apr,7,8,7,9
439,Aug,2,5,4,6
440,Apr,8,10,6,10
441,Apr,10,10,9,10
442,Feb,4,8,9,9
443,Jun,5,6,3,7
444,Sep,4,7,7,8
445,May,7,9,8,10
446,May,2,4,5,6
447,Apr,7,7,9,8
448,Sep,7,7,8,9
449,Jun,4,7,6,8
450,Jun,3,2,1,4
451,Jul,1,6,6,7
452,Apr,8,4,2,7
453,Apr,8,9,6,10
454,Jan,5,5,6,7
455,Jan,7,4,3,7
456,May,3,9,10,9
457,Aug,3,4,6,6
458,Feb,0,3,6,5
459,Feb,7,6,4,8
460,Jan,7,9,5,10
461,Jun,6,4,6,7
462,Jul,1,6,3,6
463,Jul,1,4,4,5
464,Jun,9,5,5,8
465,Mar,3,6,5,7
466,Oct,3,9,4,8
467,Jan,7,7,8,8
468,May,2,5,3,6
469,Apr,10,8,4,9
470,Apr,5,5,4,7
471,Sep,7,7,4,8
472,Mar,5,6,4,7
473,Oct,7,3,4,6
474,Oct,7,8,5,9
475,Sep,9,5,10,9
476,Jul,6,4,2,6
477,Feb,4,6,6,7
478,Mar,6,6,7,6
479,Jan,4,4,2,6
480,Jun,9,8,6,10
481,Oct,4,5,8,7
482,Feb,6,2,5,6
483,Aug,3,4,5,6
484,Feb,2,5,4,6
485,Oct,4,3,6,6
486,Jul,5,3,5,6
487,Aug,7,4,7,8
488,Sep,7,9,4,9
489,Aug,6,6,5,8
490,Feb,3,5,9,7
491,Jan,5,6,4,7
492,Jul,2,4,7,5
493,Jan,6,6,7,6
494,Aug,6,4,10,8
495,Oct,3,3,7,6
496,Feb,5,4,5,7
497,Aug,3,8,10,9
498,Jan,5,9,5,9
499,Jul,5,6,8,8
500,Jun,10,4,6,8
501,Jul,5,7,9,9
502,Aug,4,7,4,8
503,May,7,9,3,9
504,Jan,5,7,2,7
505,Feb,2,4,3,5
506,Mar,4,9,4,9
507,Jul,6,1,6,6
508,May,7,9,4,9
509,Jan,10,9,2,10
510,Jun,5,4,3,6
511,Jul,2,7,4,7
512,Apr,5,8,7,9
513,Jul,3,7,4,7
514,May,6,5,3,7
515,Jun,8,7,1,8
516,Jan,10,7,4,9
517,May,5,3,4,5
518,Jan,4,4,4,6
519,Mar,8,3,6,7
520,May,7,7,9,9
521,Apr,10,5,2,8
522,Feb,3,5,8,7
523,Feb,1,5,6,6
524,Jun,5,7,6,8
525,Mar,10,3,3,7
526,Jul,7,6,8,9
527,Jul,5,4,5,7
528,Aug,6,9,8,10
529,Aug,5,4,10,8
530,Sep,5,8,3,8
531,Aug,4,9,8,9
532,Apr,9,6,4,9
533,Jan,10,3,7,8
534,Aug,2,4,3,5
535,Jan,6,4,7,7
536,Feb,7,2,9,7
537,Apr,5,4,7,7
538,Apr,5,8,5,9
539,May,8,3,5,7
540,Oct,7,9,8,10
541,Jun,3,7,5,6
542,Jan,7,3,6,7
543,May,4,3,8,6
544,Feb,7,8,3,9
545,Jun,9,7,1,8
546,Sep,4,5,9,8
547,Oct,4,6,9,8
548,Sep,6,9,7,9
549,Mar,10,8,6,10
550,Jan,9,5,5,8
551,Jul,3,3,8,6
552,Mar,6,4,8,7
553,Apr,7,9,8,10
554,Sep,7,8,5,9
555,Jan,8,5,5,8
556,Oct,6,7,2,8
557,Jul,4,3,2,5
558,Aug,2,6,10,8
559,Apr,8,4,2,7
560,Jul,0,7,5,7
561,Apr,6,8,5,9
562,Jun,7,5,7,8
563,Jun,3,5,7,7
564,Jan,10,3,8,8
565,Jun,5,8,2,8
566,Jun,3,8,3,8
567,Jan,10,8,5,10
568,Jun,4,5,6,7
569,Feb,1,4,6,6
570,May,3,9,4,8
571,Oct,3,5,4,6
572,May,8,6,9,9
573,May,7,9,8,10
574,Jan,5,9,6,9
575,Sep,6,10,2,9
576,Jul,0,1,6,2
577,Apr,8,10,8,10
578,Jul,3,5,8,7
579,May,6,4,9,8
580,Oct,7,3,7,7
581,Sep,9,5,6,8
582,Mar,4,4,5,6
583,Feb,1,6,6,7
584,Aug,5,5,9,8
585,Oct,8,8,5,9
586,Feb,2,7,5,7
587,Jul,0,6,2,5
588,Feb,7,4,3,7
589,Sep,5,10,2,9
590,Feb,1,4,9,6
591,Apr,7,8,3,8
592,Mar,9,7,3,9
593,Jan,5,8,2,8
594,May,5,4,9,7
595,May,5,5,4,7
596,Sep,9,5,2,7
597,Jun,9,4,1,7
598,Jun,6,3,3,6
599,Aug,5,6,5,6
600,Jun,7,6,7,9
601,May,7,5,10,9
602,Apr,9,6,3,8
603,Apr,7,9,6,8
604,Aug,8,8,5,9
605,Aug,4,8,5,8
606,Jan,5,8,8,9
607,Sep,9,10,3,10
608,Mar,10,5,5,9
609,Jan,10,3,6,8
610,Jun,10,7,1,9
611,Aug,4,3,5,6
612,May,2,6,7,7
613,Mar,6,5,6,8
614,May,2,5,7,7
615,Jul,6,7,8,9
616,Sep,6,8,9,10
617,Aug,7,5,3,7
618,Feb,1,3,7,5
619,Sep,7,5,9,8
620,Mar,8,4,3,7
621,Feb,0,8,8,8
622,Sep,7,7,5,9
623,Jun,7,6,6,8
624,Mar,10,9,4,10
625,Aug,6,8,6,9
626,Mar,5,7,5,8
627,Apr,8,5,9,9
628,Jun,10,6,3,9
629,Jan,4,5,4,7
630,Jul,6,1,5,5
631,Jul,1,6,2,6
632,Feb,2,3,7,6
633,Aug,3,9,9,9
634,Sep,5,8,6,9
635,Sep,5,9,3,9
636,Sep,8,10,7,10
637,Jan,5,4,6,7
638,Mar,8,3,5,7
639,Feb,0,3,7,5
640,Sep,7,4,9,8
641,Sep,5,10,7,10
642,Jul,4,5,6,7
643,Jan,10,9,8,10
644,Aug,7,7,5,9
645,May,8,6,8,9
646,Sep,7,5,6,8
647,Aug,8,6,9,9
648,Oct,6,4,2,6
649,Aug,2,9,5,8
650,May,3,6,8,8
651,Feb,3,8,5,8
652,Mar,8,4,5,7
653,Sep,9,8,5,10
654,Aug,5,9,4,9
655,Sep,4,5,5,7
656,Jan,10,9,3,10
657,Apr,10,5,2,8
658,Jan,5,8,7,9
659,Jan,8,4,3,7
660,Aug,1,3,9,6
661,Jan,5,3,3,6
662,Feb,7,6,5,8
663,May,5,6,10,9
664,Jul,7,3,2,6
665,Apr,7,8,9,10
666,Mar,4,9,7,9
667,Sep,6,5,9,8
668,Sep,5,4,7,7
669,Oct,7,9,6,10
670,Jan,10,8,5,10
671,Sep,6,7,7,9
672,Jul,7,2,2,6
673,Mar,9,7,6,9
674,Mar,8,8,7,10
675,Jul,4,1,2,4
676,Aug,4,7,6,8
677,May,5,8,10,10
678,Oct,6,3,4,6
679,Aug,4,5,6,7
680,Mar,7,9,3,9
681,Feb,5,2,8,6
682,Apr,6,8,5,9
683,Feb,0,8,4,7
684,May,2,6,6,7
685,Apr,9,5,5,8
686,Aug,6,8,3,8
687,Mar,7,9,7,10
688,Apr,8,7,2,8
689,Feb,1,3,7,5
690,Jun,8,2,1,6
691,Jun,4,4,5,6
692,Sep,5,6,4,6
693,Jan,10,3,6,8
694,Aug,1,4,3,5
695,Feb,7,2,6,6
696,Aug,1,3,5,5
697,Oct,8,8,4,9
698,Jun,4,3,6,6
699,May,7,5,10,9
700,Mar,10,6,3,8
701,Aug,6,9,6,10
702,Aug,7,9,6,10
703,Apr,8,6,9,8
704,Oct,5,3,9,7
705,Jan,5,5,5,7
706,Jan,7,4,5,7
707,Aug,5,4,7,7
708,Feb,5,6,5,8
709,Aug,5,7,6,8
710,Jul,4,3,9,7
711,Jul,1,7,3,6
712,Jul,0,7,3,6
713,Jan,9,5,3,8
714,Jun,4,4,4,6
715,Jan,5,8,5,8
716,Jul,7,3,9,7
717,Oct,4,5,7,7
718,Jun,10,7,6,10
719,Jan,5,8,2,8
720,Aug,2,5,3,5
721,Aug,4,5,8,7
722,Mar,7,3,3,6
723,Mar,6,6,3,7
724,Jun,6,2,5,6
