sample,male,brand,performance,fuel_efficiency,design,recommend
1,1,Jan,2,7,3,3
2,1,Feb,6,4,7,5
3,0,Mar,2,3,3,3
4,0,Apr,3,4,5,4
5,0,May,4,3,5,3
6,0,Jun,2,2,6,3
7,1,Jul,5,4,6,5
8,1,Aug,4,6,2,5
9,1,Sep,5,3,2,3
10,0,Oct,6,3,5,5
11,1,Nov,7,4,7,7
12,1,Dec,6,5,7,6
13,1,Sun,7,4,5,4
14,1,Mon,2,4,6,3
15,0,Sat,6,1,7,4
16,0,Fri,6,7,7,6
17,0,Jan,4,6,3,5
18,1,Feb,5,4,4,5
19,1,Mar,1,4,5,3
20,1,Apr,3,2,1,3
21,0,May,5,1,7,5
22,0,Jun,3,6,7,3
23,1,Jul,6,5,5,5
24,1,Aug,4,6,7,6
25,0,Sep,5,5,6,5
26,1,Oct,4,5,7,4
27,0,Nov,6,4,3,5
28,1,Dec,7,6,7,6
29,1,Sun,7,3,5,4
30,0,Jan,1,5,1,1
31,1,Feb,4,3,4,5
32,0,Mar,4,5,2,3
33,0,Apr,4,4,7,5
34,0,May,5,4,1,3
35,1,Jun,4,2,3,4
36,1,Jul,4,5,2,5
37,0,Aug,3,4,1,3
38,0,Sep,3,5,2,4
39,0,Oct,2,3,2,3
40,0,Nov,7,4,7,5
41,1,Dec,7,3,3,6
42,1,Sun,4,2,1,3
43,0,Mon,5,6,6,5
44,0,Sat,4,2,1,2
45,0,Fri,5,6,6,5
46,0,Mon,4,7,5,4
47,1,Sat,7,4,2,5
48,1,Fri,3,4,5,4
49,0,Jan,3,5,5,3
50,0,Feb,3,3,5,3
51,0,Mar,5,3,5,5
52,0,Apr,2,4,2,2
53,1,May,5,3,6,5
54,0,Jun,3,2,1,1
55,1,Jul,6,6,4,6
56,0,Aug,2,4,2,2
57,0,Sep,3,3,6,2
58,0,Oct,3,4,5,2
59,0,Nov,7,4,3,4
60,0,Dec,7,5,5,7
61,1,Sun,7,2,1,5
62,1,Mon,3,5,7,3
63,0,Sat,4,2,2,2
64,0,Fri,4,5,5,4
65,1,Jan,6,6,5,7
66,1,Feb,6,6,1,6
67,0,Mar,4,4,1,2
68,0,Apr,2,4,7,4
69,1,May,6,4,5,4
70,0,Jun,5,4,3,5
71,1,Jul,3,5,7,5
72,0,Aug,3,3,7,4
73,1,Sep,2,6,4,3
74,0,Oct,4,2,1,3
75,1,Nov,6,5,5,5
76,1,Dec,6,4,7,6
77,1,Sun,6,3,2,4
78,0,Mon,4,6,7,4
79,0,Sat,4,5,1,4
80,0,Fri,4,2,5,3
81,0,Jan,2,6,7,3
82,1,Feb,4,6,7,5
83,1,Mar,3,4,1,4
84,1,Apr,5,2,1,4
85,1,Jan,4,6,1,5
86,1,Feb,4,6,2,4
87,0,Mar,4,5,3,3
88,0,Apr,5,5,3,5
89,0,May,4,1,7,2
90,0,Jun,5,2,2,3
91,0,Jul,5,5,4,5
92,1,Aug,3,3,2,4
93,0,Sep,4,6,6,6
94,0,Oct,2,3,7,2
95,1,Nov,7,4,7,6
96,0,Dec,7,4,7,7
97,1,Sun,6,4,6,6
98,0,Mon,3,4,6,5
99,1,Sat,6,4,4,4
100,1,Fri,4,3,5,5
101,1,Jan,1,6,7,3
102,1,Feb,3,6,1,2
103,0,Mar,3,5,5,4
104,1,Apr,3,5,5,3
105,0,May,5,2,7,4
106,0,Jun,2,5,5,4
107,0,Jul,5,5,2,5
108,1,Aug,4,4,5,5
109,1,Sep,7,5,3,5
110,1,Oct,5,4,7,6
111,1,Nov,6,6,5,7
112,1,Dec,4,5,7,5
113,0,Sun,7,5,1,4
114,1,Mon,3,4,4,4
115,1,Sat,4,2,7,4
116,1,Fri,2,3,5,2
117,0,Jan,5,6,1,4
118,0,Feb,2,4,7,4
119,1,Mar,3,2,5,4
120,0,Apr,4,5,7,6
121,1,May,3,4,6,5
122,1,Jun,1,2,5,3
123,1,Jul,7,4,1,4
124,0,Aug,3,7,2,4
125,0,Sep,3,3,7,3
126,1,Oct,6,2,6,4
127,1,Nov,6,4,5,5
128,0,Dec,4,1,3,3
129,0,Sun,7,2,7,5
130,1,Mon,1,5,2,2
131,1,Sat,7,5,2,5
132,0,Fri,4,4,2,5
133,1,Jan,4,4,2,5
134,1,Feb,5,7,7,6
135,0,Mar,2,5,7,4
136,0,Apr,5,4,3,4
137,0,May,6,5,6,4
138,1,Jun,5,2,5,4
139,1,Jul,5,4,6,6
140,1,Aug,4,4,5,5
141,0,Sep,4,7,2,3
142,1,Oct,3,6,7,5
143,0,Nov,4,4,5,3
144,0,Dec,5,3,5,5
145,1,Sun,7,2,1,5
146,0,Mon,4,5,1,3
147,1,Sat,5,3,3,5
148,0,Fri,5,6,3,5
149,0,Jan,5,4,3,4
150,1,Feb,5,6,3,5
151,0,Mar,6,6,4,6
152,0,Apr,6,4,2,6
153,1,May,3,1,6,2
154,0,Jun,5,4,3,3
155,0,Jul,6,4,5,4
156,0,Aug,4,5,6,3
157,1,Sep,7,3,5,5
158,1,Oct,6,6,3,5
159,0,Nov,4,6,5,6
160,0,Dec,3,2,7,3
161,0,Sun,4,2,4,3
162,1,Mon,4,4,1,3
163,1,Sat,3,3,7,3
164,0,Fri,4,4,5,4
165,1,Jan,5,5,1,3
166,0,Feb,6,5,4,5
167,1,Mar,4,5,7,5
168,1,Apr,2,2,6,3
169,1,May,5,4,7,5
170,0,Jun,2,5,1,4
171,0,Jul,6,3,4,4
172,1,Aug,2,6,6,5
173,0,Sep,4,6,4,4
174,1,Oct,3,4,7,4
175,0,Nov,5,6,5,4
176,1,Dec,4,4,2,4
177,0,Sun,4,3,6,4
178,0,Jan,4,4,4,5
179,0,Feb,5,6,7,5
180,1,Mar,3,5,6,5
181,0,Apr,5,3,2,4
182,1,May,5,2,6,4
183,1,Jun,5,2,2,3
184,0,Jul,5,6,2,4
185,0,Aug,2,7,3,5
186,1,Sep,4,5,7,4
187,1,Oct,6,2,6,5
188,0,Nov,5,5,1,4
189,1,Dec,7,2,3,6
190,0,Sun,5,4,4,5
191,1,Mon,3,5,6,3
192,1,Sat,6,2,4,4
193,0,Fri,6,3,5,4
194,0,Mon,4,7,4,4
195,0,Sat,5,4,4,5
196,0,Fri,3,5,1,3
197,1,Jan,4,3,3,3
198,1,Feb,5,7,2,5
199,0,Mar,3,7,7,6
200,1,Apr,4,4,5,4
201,0,May,5,4,4,5
202,1,Jun,3,3,5,2
203,1,Jul,4,5,7,5
204,1,Aug,3,4,7,5
205,0,Sep,5,2,1,2
206,0,Oct,2,6,7,4
207,0,Nov,3,6,6,4
