sample,male,brand,performance,fuel_efficiency,design,rebuy(1/0)
1,1,Jan,2,7,3,0
2,1,Feb,6,4,7,1
3,0,Mar,2,3,3,0
4,0,Apr,3,4,5,0
5,0,May,4,3,5,0
6,0,Jun,2,2,6,0
7,1,Jul,5,4,6,1
8,1,Aug,4,6,2,1
9,1,Sep,5,3,2,0
10,0,Oct,6,3,5,1
11,1,Nov,7,4,7,1
12,1,Dec,6,5,7,1
13,1,Sun,7,4,5,0
14,1,Mon,2,4,6,0
15,0,Sat,6,1,7,0
16,0,Fri,6,7,7,1
17,0,Jan,4,6,3,1
18,1,Feb,5,4,4,1
19,1,Mar,1,4,5,0
20,1,Apr,3,2,1,0
21,0,May,5,1,7,1
22,0,Jun,3,6,7,0
23,1,Jul,6,5,5,1
24,1,Aug,4,6,7,1
25,0,Sep,5,5,6,1
26,1,Oct,4,5,7,0
27,0,Nov,6,4,3,1
28,1,Dec,7,6,7,1
29,1,Sun,7,3,5,0
30,0,Jan,1,5,1,0
31,1,Feb,4,3,4,1
32,0,Mar,4,5,2,0
33,0,Apr,4,4,7,1
34,0,May,5,4,1,0
35,1,Jun,4,2,3,0
36,1,Jul,4,5,2,1
37,0,Aug,3,4,1,0
38,0,Sep,3,5,2,0
39,0,Oct,2,3,2,0
40,0,Nov,7,4,7,1
41,1,Dec,7,3,3,1
42,1,Sun,4,2,1,0
43,0,Mon,5,6,6,1
44,0,Sat,4,2,1,0
45,0,Fri,5,6,6,1
46,0,Mon,4,7,5,0
47,1,Sat,7,4,2,1
48,1,Fri,3,4,5,0
49,0,Jan,3,5,5,0
50,0,Feb,3,3,5,0
51,0,Mar,5,3,5,1
52,0,Apr,2,4,2,0
53,1,May,5,3,6,1
54,0,Jun,3,2,1,0
55,1,Jul,6,6,4,1
56,0,Aug,2,4,2,0
57,0,Sep,3,3,6,0
58,0,Oct,3,4,5,0
59,0,Nov,7,4,3,0
60,0,Dec,7,5,5,1
61,1,Sun,7,2,1,1
62,1,Mon,3,5,7,0
63,0,Sat,4,2,2,0
64,0,Fri,4,5,5,0
65,1,Jan,6,6,5,1
