id,avg_sales
1,17
2,27
3,35
4,32
5,17
6,39
7,40
8,42
9,36
10,49
11,50
12,22
13,42
14,28
15,37
16,27
17,37
18,40
19,10
20,22
21,14
22,27
23,50
24,27
25,27
26,18
27,38
28,38
29,27
30,31
31,46
32,10
33,40
34,38
35,40
36,47
37,32
38,41
39,33
40,26
41,39
42,35
43,34
44,16
45,12
46,34
47,11
48,25
49,47
50,41
51,19
52,27
53,11
54,30
55,43
56,17
57,24
58,39
59,15
60,24
61,18
62,45
63,19
64,49
65,30
66,26
67,41
68,26
69,18
70,43
71,31
72,10
73,42
74,36
75,18
76,27
77,31
78,38
79,47
80,27
81,40
82,29
83,24
84,31
85,49
86,23
87,29
88,34
89,18
90,23
91,17
92,22
93,34
94,27
95,16
96,17
97,42
98,40
99,32
100,33
