code,year,bank,y1,y2,y3,y4,y5,y6,x1,p1,p2,x2,w1,w2,
21,2008,CK저축은행,"71,812 ","54,243 ","47,825 ","1,737 ","67,978 ","64,681 ",24 ,433 ,300 ,"3,107 ",18.04 ,0.10 ,
22,2008,고려저축은행,"555,748 ","425,007 ","174,350 ","58,333 ","513,634 ","486,140 ",101 ,"1,850 ","1,398 ","4,831 ",18.32 ,0.29 ,
23,2008,국제저축은행,"178,790 ","147,585 ","83,434 ","3,216 ","171,524 ","165,081 ",24 ,534 ,490 ,"6,723 ",22.25 ,0.07 ,
24,2008,금화저축은행,"318,982 ","280,181 ","46,093 ","6,028 ","299,151 ","287,318 ",32 ,"1,141 ",709 ,"3,375 ",35.66 ,0.21 ,
25,2008,남양저축은행,"371,946 ","324,912 ","16,737 ","18,225 ","325,985 ","306,595 ",34 ,985 ,760 ,"6,046 ",28.97 ,0.13 ,
26,2008,대명상호저축은행,"128,629 ","94,159 ","68,972 ","4,254 ","116,950 ","112,136 ",33 ,631 ,329 ,"2,605 ",19.12 ,0.13 ,
27,2008,대백저축은행,"136,025 ","120,991 ","47,286 ","1,488 ","125,773 ","119,314 ",19 ,487 ,510 ,179 ,25.63 ,2.85 ,
28,2008,대신저축은행,,,,,,,,,,,,,
29,2008,대아상호저축은행,"80,422 ","42,810 ","30,382 ","1,269 ","75,935 ","72,196 ",29 ,593 ,298 ,"5,056 ",20.45 ,0.06 ,
30,2008,대원상호저축은행,"64,908 ","59,324 ","14,905 ","2,346 ","71,828 ","43,098 ",14 ,208 ,277 ,"2,649 ",14.86 ,0.10 ,
31,2008,대한저축은행,"207,767 ","154,017 ","34,299 ","19,357 ","190,514 ","181,180 ",30 ,637 ,413 ,"9,765 ",21.23 ,0.04 ,
32,2008,더블저축은행,"106,787 ","61,527 ","30,457 ","1,779 ","101,220 ","96,666 ",19 ,289 ,476 ,"10,322 ",15.21 ,0.05 ,
33,2008,더케이저축은행,"543,259 ","419,214 ","42,389 ","15,156 ","499,951 ","474,889 ",56 ,"1,434 ","1,247 ","9,676 ",25.61 ,0.13 ,
34,2008,동양저축은행,"182,370 ","167,506 ","13,044 ","2,516 ","153,150 ","145,285 ",21 ,313 ,421 ,"6,494 ",14.90 ,0.06 ,
35,2008,동원제일저축은행,"269,540 ","225,449 ","52,270 ","3,465 ","247,666 ","234,510 ",32 ,681 ,630 ,"9,110 ",21.28 ,0.07 ,
36,2008,드림저축은행,"186,041 ","133,049 ","9,763 ","1,233 ","165,274 ","157,427 ",38 ,957 ,932 ,"13,112 ",25.18 ,0.07 ,
