age,job,marital,education,balance,housing,loan,campaign,poutcome,deposit
30,management,single,tertiary,2,yes,yes,8,unknown,no
32,technician,married,tertiary,396,yes,no,3,unknown,no
27,student,single,secondary,89,yes,no,3,unknown,no
35,services,married,secondary,1417,yes,no,3,unknown,no
34,management,married,tertiary,186,yes,no,3,unknown,no
32,services,single,secondary,385,yes,no,2,unknown,no
51,entrepreneur,married,secondary,934,yes,yes,3,unknown,no
29,admin.,single,secondary,65,yes,no,6,unknown,no
38,management,divorced,tertiary,1149,yes,no,4,unknown,no
42,blue-collar,married,primary,1398,no,no,6,unknown,no
37,services,married,secondary,1140,yes,no,3,unknown,no
37,blue-collar,married,secondary,3269,yes,yes,2,unknown,no
28,blue-collar,married,primary,674,yes,no,4,unknown,no
30,blue-collar,married,secondary,2583,yes,no,3,unknown,no
35,blue-collar,single,primary,1284,yes,no,5,unknown,no
45,blue-collar,married,primary,528,yes,no,7,unknown,no
40,blue-collar,single,primary,2226,yes,no,7,unknown,no
34,services,single,secondary,183,yes,no,4,unknown,no
55,entrepreneur,divorced,tertiary,903,yes,no,3,unknown,no
40,services,divorced,secondary,131,yes,no,3,unknown,no
56,blue-collar,married,secondary,126,no,no,2,unknown,no
34,technician,divorced,secondary,175,yes,no,8,unknown,no
42,blue-collar,married,primary,325,yes,no,4,unknown,no
31,management,married,secondary,466,yes,no,1,unknown,no
49,services,married,tertiary,411,no,no,6,unknown,no
56,blue-collar,married,secondary,244,yes,no,3,unknown,no
43,blue-collar,married,secondary,1437,yes,no,1,unknown,no
43,blue-collar,single,secondary,276,yes,no,6,unknown,no
33,admin.,married,secondary,1521,yes,no,1,unknown,no
26,management,single,tertiary,3944,yes,no,2,unknown,yes
32,management,single,tertiary,469,yes,no,1,unknown,no
43,management,married,tertiary,1712,yes,no,11,unknown,no
35,technician,married,tertiary,-269,yes,yes,4,unknown,no
58,services,married,primary,2946,yes,no,1,unknown,yes
54,admin.,single,secondary,3344,yes,no,8,unknown,no
36,blue-collar,married,unknown,1336,yes,yes,7,unknown,no
35,blue-collar,married,secondary,257,yes,no,1,unknown,no
33,management,single,tertiary,283,yes,no,1,unknown,no
36,services,married,secondary,3988,yes,yes,1,unknown,no
44,blue-collar,married,secondary,-182,yes,yes,10,unknown,no
