sample_id,cost,service,reputation,expression,environment,buy
1,4,4,1,3,3,3
2,5,3,3,5,2,8
3,2,3,3,5,4,0
4,5,4,1,5,3,9
5,1,3,1,5,4,2
6,5,3,2,2,4,3
7,5,3,3,3,4,5
8,3,1,3,5,2,6
9,3,2,4,3,3,3
10,5,1,3,3,5,5
11,1,3,3,2,4,2
12,3,5,3,2,1,5
13,2,3,2,5,2,8
14,2,3,1,4,4,0
15,5,4,5,4,5,3
16,1,1,2,4,1,8
17,4,1,2,5,3,8
18,2,3,4,4,4,5
19,1,1,4,2,3,5
20,2,5,1,4,3,1
21,2,3,4,4,4,5
22,3,4,2,2,3,4
23,1,3,2,4,5,5
24,4,3,3,1,3,3
25,3,5,2,4,1,7
26,4,2,1,3,1,7
27,2,5,2,1,5,4
28,5,5,5,1,3,5
29,3,4,5,4,3,4
30,3,5,1,2,4,6
31,3,2,2,5,1,9
32,5,3,1,5,3,8
33,1,5,2,4,4,6
34,4,3,4,5,1,6
35,4,3,3,4,2,5
36,1,2,1,2,3,3
37,1,1,5,1,3,0
38,4,2,3,5,5,6
39,5,4,3,2,2,5
40,5,3,2,1,2,5
41,1,3,4,4,5,0
42,5,3,1,1,3,4
43,1,2,1,5,5,3
44,2,4,1,5,3,7
45,4,2,1,4,1,7
46,1,5,1,1,2,6
47,5,1,2,5,1,6
48,1,1,2,1,4,1
49,3,2,1,2,3,7
50,1,4,2,4,3,0
51,2,5,3,1,5,2
52,3,5,3,4,3,5
53,1,2,3,2,4,4
54,2,2,1,3,2,8
55,4,2,3,1,1,7
56,2,4,4,2,4,4
57,1,2,1,5,4,4
58,3,3,4,1,1,7
59,2,1,2,3,3,5
60,2,3,2,2,3,5
61,2,5,1,2,2,7
62,1,3,1,2,3,1
63,2,3,4,5,5,4
64,1,3,2,4,4,0
65,1,4,2,1,4,4
66,2,4,2,5,1,9
67,4,5,5,3,1,7
68,2,5,2,3,2,6
69,1,3,5,5,2,7
70,3,5,3,3,3,6
71,1,4,2,3,3,0
72,1,4,2,1,4,0
73,2,2,5,1,5,4
74,4,2,5,4,2,8
75,4,1,4,2,2,7
76,3,2,3,5,3,6
77,3,1,3,4,1,7
78,2,5,3,2,2,6
79,4,3,2,5,1,8
80,5,2,5,1,1,4
81,4,4,2,1,4,5
82,2,2,1,4,4,0
83,3,5,1,1,2,4
84,3,2,5,2,2,5
85,1,2,4,1,4,3
86,4,3,5,2,2,5
87,5,3,2,3,3,6
88,3,5,4,3,2,6
89,5,3,2,2,2,5
90,3,4,1,3,2,6
91,4,5,5,3,5,6
92,3,1,3,4,5,0
93,3,5,2,5,2,5
94,2,3,4,4,4,3
95,2,3,2,5,5,4
96,3,2,1,2,2,4
97,3,2,4,4,3,6
98,5,2,1,2,1,7
99,3,5,3,4,2,3
100,4,5,2,2,4,7
101,4,4,1,3,3,4
102,5,3,3,5,2,10
103,2,3,3,5,4,4
104,5,4,1,5,3,6
105,1,3,1,5,4,0
106,5,3,2,2,4,4
107,5,3,3,3,4,6
108,3,1,3,5,2,7
109,3,2,4,3,3,5
110,5,1,3,3,5,6
111,1,3,3,2,4,3
112,3,5,3,2,1,6
113,2,3,2,5,2,9
114,2,3,1,4,4,2
115,5,4,5,4,5,4
116,1,1,2,4,1,6
117,4,2,2,5,4,8
118,2,3,4,4,5,2
119,1,5,4,2,3,6
120,2,5,1,2,2,4
121,2,3,4,4,5,2
122,5,4,2,2,3,4
123,1,3,2,3,5,2
124,4,3,3,1,3,3
125,3,5,2,4,2,4
126,4,2,2,3,1,9
127,2,4,2,1,5,4
128,5,2,5,1,3,4
129,3,4,5,4,3,4
130,3,2,1,2,4,6
131,3,2,2,5,1,8
132,5,3,1,5,3,7
133,1,3,2,2,4,0
134,4,3,2,5,1,9
135,2,3,3,4,2,5
136,1,2,1,2,3,2
137,1,1,3,1,5,1
138,4,2,3,5,5,7
139,5,4,3,2,2,6
140,5,3,2,1,2,7
141,1,3,4,4,5,2
142,5,3,1,1,3,6
143,1,2,1,5,5,2
144,2,4,1,5,3,6
145,4,2,1,4,1,9
146,1,5,1,1,2,5
147,5,1,2,5,1,8
148,1,1,2,1,4,1
149,3,2,1,2,3,6
150,1,4,2,4,3,3
151,2,2,3,1,4,3
152,3,5,3,4,3,3
153,1,1,3,2,4,3
154,2,3,1,3,2,7
155,4,2,3,1,1,4
156,2,2,4,2,5,1
157,1,2,1,5,2,6
158,5,3,3,1,1,7
159,4,1,2,3,1,5
160,2,3,2,3,5,1
161,2,5,1,2,2,6
162,1,3,1,2,5,4
163,2,3,4,5,3,5
164,1,3,2,4,4,5
165,1,4,2,1,4,3
166,2,1,2,5,1,6
167,4,5,5,3,1,6
168,2,5,2,3,2,4
169,1,3,5,5,2,6
170,3,5,3,3,5,5
171,1,4,2,3,3,6
172,1,4,2,1,4,6
173,2,2,5,1,5,0
174,4,2,5,4,2,9
175,3,1,4,2,2,3
176,3,2,3,5,3,9
177,3,3,3,4,1,7
178,2,5,3,2,2,6
179,4,3,2,5,1,5
180,5,2,5,1,1,7
181,4,4,2,1,5,5
182,2,2,1,4,4,1
183,3,5,1,1,2,4
184,3,2,5,2,2,5
185,1,2,4,1,4,5
186,4,3,5,2,2,3
187,5,3,2,2,2,3
188,3,5,4,4,2,7
189,5,3,2,2,2,6
190,3,4,1,3,2,7
191,4,5,5,3,5,6
192,3,1,3,4,5,0
193,3,5,2,5,2,5
194,2,1,4,4,4,0
195,2,2,2,3,5,0
196,3,2,1,2,2,4
197,3,2,4,4,3,6
198,5,2,1,2,1,5
199,3,5,3,4,2,7
200,1,5,2,2,4,5
