v0,v1,theta,c0,c1,p0,p1
4638,3359,0.5,10,9,-416.1666667,436.1666667
4002,3467,0.5,8,10,-169.1666667,188.1666667
4692,3407,0.5,5,7,-422.1666667,435.1666667
4762,4077,0.5,9,6,-219.8333333,235.8333333
3491,3173,0.5,7,6,-98.83333333,112.8333333
3953,4871,0.5,7,7,313.5,-298.5
3128,3438,0.5,7,8,111.1666667,-95.16666667
3662,4409,0.5,5,9,255.8333333,-240.8333333
4755,4127,0.5,9,7,-200.5,217.5
4831,4436,0.5,9,8,-122.5,140.5
3325,3458,0.5,7,9,52.5,-35.5
3565,4969,0.5,6,6,474.5,-461.5
4669,4354,0.5,5,8,-98.5,112.5
4467,3381,0.5,5,9,-355.1666667,370.1666667
3520,4231,0.5,9,6,245.5,-229.5
4675,4309,0.5,9,5,-113.8333333,128.8333333
4693,4029,0.5,9,8,-212.1666667,230.1666667
4714,3138,0.5,7,7,-517.8333333,532.8333333
4998,3530,0.5,6,5,-483.1666667,495.1666667
3159,4774,0.5,6,5,544.5,-532.5
4997,3239,0.5,6,10,-578.1666667,595.1666667
4215,3778,0.5,10,10,-135.1666667,156.1666667
4619,3837,0.5,5,10,-253.5,269.5
4773,3949,0.5,10,6,-265.5,282.5
3204,3409,0.5,10,5,77.16666667,-61.16666667
3175,4157,0.5,6,6,333.8333333,-320.8333333
3166,3302,0.5,7,9,53.5,-36.5
4765,4500,0.5,10,6,-79.16666667,96.16666667
3635,4206,0.5,6,9,197.8333333,-181.8333333
3890,4201,0.5,5,6,109.5,-97.5
3238,3049,0.5,7,8,-55.16666667,71.16666667
4658,3748,0.5,10,7,-293.8333333,311.8333333
4064,3099,0.5,9,10,-311.8333333,331.8333333
4674,3472,0.5,6,10,-392.8333333,409.8333333
4395,4412,0.5,8,10,14.83333333,4.166666667
3066,3572,0.5,6,8,175.8333333,-160.8333333
4439,3219,0.5,7,10,-398.1666667,416.1666667
3548,3899,0.5,9,10,126.8333333,-106.8333333
3088,3438,0.5,10,9,126.8333333,-106.8333333
4520,4757,0.5,5,9,85.83333333,-70.83333333
4242,4006,0.5,6,5,-72.5,84.5
4647,3313,0.5,6,9,-437.1666667,453.1666667
4790,4736,0.5,7,7,-10.5,25.5
4701,3577,0.5,6,10,-366.8333333,383.8333333
3011,3514,0.5,7,9,175.8333333,-158.8333333
4421,3781,0.5,8,7,-205.1666667,221.1666667
3471,4133,0.5,7,5,227.5,-214.5
3161,3232,0.5,9,5,31.83333333,-16.83333333
4291,3395,0.5,10,5,-289.8333333,305.8333333
4023,3271,0.5,10,6,-241.5,258.5
3014,4202,0.5,9,7,404.8333333,-387.8333333
3609,4987,0.5,10,10,469.8333333,-448.8333333
4946,3800,0.5,5,6,-376.1666667,388.1666667
4436,4442,0.5,9,5,10.16666667,4.833333333
3758,4518,0.5,7,5,260.1666667,-247.1666667
3992,4060,0.5,9,5,30.83333333,-15.83333333
3583,3491,0.5,9,10,-20.83333333,40.83333333
3549,4286,0.5,6,8,252.8333333,-237.8333333
3677,4878,0.5,7,5,407.1666667,-394.1666667
3396,4398,0.5,7,9,342.1666667,-325.1666667
3603,3897,0.5,7,10,106.5,-88.5
3284,4628,0.5,9,7,456.8333333,-439.8333333
4389,4949,0.5,6,9,194.1666667,-178.1666667
4271,4842,0.5,10,8,200.1666667,-181.1666667
3668,4250,0.5,10,10,204.5,-183.5
4684,4352,0.5,8,10,-101.5,120.5
4222,3688,0.5,10,7,-168.5,186.5
4467,4127,0.5,8,6,-105.5,120.5
3766,3554,0.5,6,10,-62.83333333,79.83333333
4140,3587,0.5,6,9,-176.8333333,192.8333333
4887,3604,0.5,7,7,-420.1666667,435.1666667
3426,3211,0.5,6,10,-63.83333333,80.83333333
3651,4354,0.5,9,7,243.1666667,-226.1666667
4264,4702,0.5,7,6,153.1666667,-139.1666667
3145,3155,0.5,9,9,12.83333333,6.166666667
4624,3785,0.5,9,9,-270.1666667,289.1666667
4980,4082,0.5,9,6,-290.8333333,306.8333333
3590,3620,0.5,8,6,17.83333333,-2.833333333
3818,3418,0.5,10,10,-122.8333333,143.8333333
4338,4374,0.5,6,5,18.16666667,-6.166666667
4716,3861,0.5,9,6,-276.5,292.5
4250,3791,0.5,6,6,-146.5,159.5
4288,3259,0.5,7,6,-335.8333333,349.8333333
3757,4515,0.5,5,7,258.8333333,-245.8333333
4440,4010,0.5,7,9,-135.1666667,152.1666667
4543,4242,0.5,6,9,-92.83333333,108.8333333
4854,4768,0.5,6,7,-21.83333333,35.83333333
3715,3226,0.5,7,10,-154.5,172.5
3930,3715,0.5,10,5,-62.83333333,78.83333333
3885,3755,0.5,7,6,-36.16666667,50.16666667
3820,4361,0.5,7,7,187.8333333,-172.8333333
4370,4887,0.5,9,9,181.8333333,-162.8333333
4127,4036,0.5,7,8,-22.5,38.5
4334,3956,0.5,9,5,-117.8333333,132.8333333
3322,3659,0.5,10,10,122.8333333,-101.8333333
3636,4947,0.5,10,5,445.8333333,-429.8333333
4570,3128,0.5,10,6,-471.5,488.5
3567,4609,0.5,9,5,355.5,-340.5
4670,4111,0.5,9,7,-177.5,194.5
3362,3583,0.5,5,9,80.5,-65.5
4052,3608,0.5,8,7,-139.8333333,155.8333333
3774,4670,0.5,10,5,307.5,-291.5
4751,3532,0.5,6,10,-398.5,415.5
3556,4938,0.5,5,5,466.1666667,-455.1666667
4383,3452,0.5,9,8,-301.1666667,319.1666667
3451,3253,0.5,10,6,-56.83333333,73.83333333
3719,4719,0.5,8,5,340.8333333,-326.8333333
3223,4891,0.5,10,5,564.8333333,-548.8333333
4841,3499,0.5,7,9,-439.1666667,456.1666667
4293,4894,0.5,7,6,207.5,-193.5
4297,4204,0.5,6,9,-23.5,39.5
3444,4914,0.5,5,6,495.8333333,-483.8333333
4467,3762,0.5,5,10,-227.8333333,243.8333333
4445,4180,0.5,5,9,-81.5,96.5
4578,3764,0.5,9,5,-263.1666667,278.1666667
3589,4763,0.5,7,5,398.1666667,-385.1666667
4934,4593,0.5,5,8,-107.1666667,121.1666667
4551,4257,0.5,9,10,-88.16666667,108.1666667
4028,3542,0.5,10,5,-153.1666667,169.1666667
3319,4823,0.5,10,10,511.8333333,-490.8333333
3242,4563,0.5,7,8,448.1666667,-432.1666667
3733,4939,0.5,9,6,410.5,-394.5
3942,3102,0.5,5,5,-274.5,285.5
3415,3753,0.5,5,7,118.8333333,-105.8333333
3396,4006,0.5,9,9,212.8333333,-193.8333333
3544,4540,0.5,8,8,340.5,-323.5
3183,3204,0.5,6,6,13.5,-0.5
4444,3293,0.5,8,5,-376.1666667,390.1666667
4175,3766,0.5,5,5,-130.8333333,141.8333333
4833,4296,0.5,5,8,-172.5,186.5
4901,3484,0.5,6,9,-464.8333333,480.8333333
3191,3420,0.5,7,8,84.16666667,-68.16666667
3402,3978,0.5,6,6,198.5,-185.5
4237,3915,0.5,10,8,-97.5,116.5
4023,3385,0.5,10,7,-203.1666667,221.1666667
4579,3100,0.5,8,10,-483.8333333,502.8333333
4897,3551,0.5,9,6,-440.1666667,456.1666667
4700,4515,0.5,8,10,-52.5,71.5
4106,4459,0.5,9,10,127.5,-107.5
4045,3993,0.5,8,5,-9.833333333,23.83333333
4846,4319,0.5,6,10,-167.8333333,184.8333333
3197,4297,0.5,6,10,374.5,-357.5
3103,3175,0.5,6,7,30.83333333,-16.83333333
4054,4879,0.5,7,10,283.5,-265.5
3795,4674,0.5,5,10,300.1666667,-284.1666667
4575,4321,0.5,5,6,-78.83333333,90.83333333
4524,3488,0.5,9,10,-335.5,355.5
3399,4249,0.5,10,8,293.1666667,-274.1666667
4237,4429,0.5,5,7,70.16666667,-57.16666667
3602,4290,0.5,9,6,237.8333333,-221.8333333
4025,3658,0.5,8,8,-113.8333333,130.8333333
4713,3503,0.5,9,5,-395.1666667,410.1666667
4555,3966,0.5,8,9,-187.5,205.5
4102,3607,0.5,9,9,-155.5,174.5
4607,4077,0.5,7,8,-168.8333333,184.8333333
4926,4314,0.5,6,6,-197.5,210.5
4741,3733,0.5,6,10,-328.1666667,345.1666667
3825,3603,0.5,9,6,-65.5,81.5
3166,3069,0.5,5,7,-26.16666667,39.16666667
3243,4124,0.5,7,10,302.1666667,-284.1666667
3896,4275,0.5,7,6,133.5,-119.5
3578,3016,0.5,10,5,-178.5,194.5
3724,3009,0.5,9,6,-229.8333333,245.8333333
3488,4111,0.5,5,10,214.8333333,-198.8333333
4881,4544,0.5,10,8,-102.5,121.5
4351,4685,0.5,6,10,119.1666667,-102.1666667
3911,4214,0.5,8,7,109.1666667,-93.16666667
4264,4960,0.5,7,10,240.5,-222.5
3139,3815,0.5,6,5,231.5,-219.5
3776,3401,0.5,7,8,-117.1666667,133.1666667
3292,3311,0.5,8,7,14.5,1.5
3563,4732,0.5,10,9,399.8333333,-379.8333333
3953,4640,0.5,9,8,238.1666667,-220.1666667
4766,4105,0.5,5,6,-214.5,226.5
3488,4598,0.5,6,6,376.5,-363.5
3625,3276,0.5,10,7,-106.8333333,124.8333333
3171,3661,0.5,7,6,170.5,-156.5
3527,3614,0.5,10,7,38.5,-20.5
3345,3796,0.5,7,10,158.8333333,-140.8333333
3764,4249,0.5,10,10,172.1666667,-151.1666667
4108,4364,0.5,6,5,91.5,-79.5
3413,3092,0.5,10,5,-98.16666667,114.1666667
4065,4813,0.5,10,9,259.5,-239.5
4042,3452,0.5,10,10,-186.1666667,207.1666667
3974,3554,0.5,10,7,-130.5,148.5
4212,4600,0.5,6,9,136.8333333,-120.8333333
4199,3928,0.5,10,5,-81.5,97.5
4436,3010,0.5,8,7,-467.1666667,483.1666667
3492,3878,0.5,5,6,134.5,-122.5
4584,3054,0.5,5,8,-503.5,517.5
3931,4550,0.5,6,10,214.1666667,-197.1666667
4574,3652,0.5,5,10,-300.1666667,316.1666667
3455,4701,0.5,5,8,421.8333333,-407.8333333
4133,3211,0.5,8,9,-298.5,316.5
4472,3054,0.5,5,10,-465.5,481.5
3866,3881,0.5,6,5,11.16666667,0.833333333
4852,3159,0.5,5,10,-557.1666667,573.1666667
4988,3087,0.5,8,5,-626.1666667,640.1666667
4417,4033,0.5,6,6,-121.5,134.5
3195,4208,0.5,10,9,347.8333333,-327.8333333
3777,3763,0.5,7,6,2.5,11.5
3714,3482,0.5,7,6,-70.16666667,84.16666667
4475,3315,0.5,9,7,-377.8333333,394.8333333
3914,4354,0.5,5,10,153.8333333,-137.8333333
4893,3231,0.5,5,9,-547.1666667,562.1666667
4400,4754,0.5,9,10,127.8333333,-107.8333333
3261,3577,0.5,10,8,115.1666667,-96.16666667
3295,3532,0.5,7,10,87.5,-69.5
4912,3251,0.5,8,8,-545.1666667,562.1666667
4505,4456,0.5,10,5,-7.5,23.5
4149,4467,0.5,7,10,114.5,-96.5
4624,4446,0.5,6,9,-51.83333333,67.83333333
4312,3048,0.5,7,7,-413.8333333,428.8333333
4041,3907,0.5,6,7,-37.83333333,51.83333333
3914,4866,0.5,10,10,327.8333333,-306.8333333
3791,3396,0.5,10,10,-121.1666667,142.1666667
