id,segment,price_1,price_2,choice
1,B,95,90,0
2,B,95,100,0
3,A,95,100,0
4,A,95,95,0
5,A,95,80,2
6,A,95,85,2
7,A,100,100,0
8,A,90,80,2
9,B,95,95,0
10,B,90,95,0
11,B,95,100,0
12,B,100,85,2
13,B,95,80,2
14,B,90,90,0
15,B,85,90,1
16,B,95,90,0
17,A,95,100,0
18,B,90,95,0
19,B,95,85,2
20,B,95,85,2
21,A,100,95,0
22,A,95,100,0
23,B,90,90,0
24,A,95,80,2
25,A,100,80,2
26,A,95,80,2
27,B,95,90,0
28,A,100,95,0
29,A,90,100,0
30,A,100,85,2
31,A,100,100,0
32,B,95,90,0
33,A,85,80,2
34,B,90,80,2
35,B,90,85,2
36,A,85,95,1
37,A,85,80,2
38,A,85,90,1
39,A,85,80,2
40,B,90,85,2
41,B,100,100,0
42,B,100,90,0
43,B,95,100,0
44,A,85,100,1
45,A,85,90,1
46,B,90,80,2
47,B,85,80,2
48,B,100,95,0
49,A,90,90,0
50,A,85,100,1
51,B,95,100,0
52,A,90,80,2
53,B,100,80,2
54,B,100,95,0
55,A,85,90,1
56,A,95,95,0
57,B,90,95,0
58,A,100,95,0
59,B,90,100,0
60,A,90,100,0
61,B,85,85,2
62,A,80,80,2
63,B,85,80,2
64,A,95,100,0
65,B,95,90,0
66,A,85,80,2
67,B,100,85,2
68,B,100,85,2
69,A,95,100,0
70,B,90,90,0
71,A,95,85,2
72,A,100,95,0
73,A,85,85,2
74,B,95,100,0
75,B,95,90,0
76,A,80,100,1
77,B,90,95,0
78,B,90,90,0
79,B,100,90,0
80,A,95,100,0
81,A,90,80,2
82,A,80,80,2
83,A,95,90,0
84,A,80,85,1
85,A,90,90,0
86,A,95,85,2
87,B,100,100,0
88,A,100,80,2
89,B,95,85,2
90,A,95,80,2
91,B,95,85,2
92,B,90,100,0
93,A,95,80,2
94,B,100,80,2
95,A,85,85,2
96,A,85,85,2
97,A,80,85,1
98,A,85,85,2
99,B,95,85,2
100,B,90,80,2
101,B,80,90,1
102,A,80,100,1
103,A,80,100,1
104,B,80,85,1
105,A,95,80,2
106,A,90,95,0
107,B,90,85,2
108,A,80,100,1
109,B,100,90,0
110,A,80,80,2
111,A,100,90,0
112,B,85,100,1
113,A,100,90,0
114,B,80,80,2
115,B,85,90,1
116,B,80,95,1
117,A,95,95,0
118,B,80,90,1
119,A,90,100,0
120,A,85,95,1
121,A,90,90,0
122,A,90,85,2
