consumer_id,segment,card_set,choice
1,1,1,Left
2,2,2,Left
3,2,3,Left
4,1,4,Right
5,1,5,Left
6,2,6,Right
7,1,7,Right
8,1,8,Left
9,2,9,Right
10,2,10,Right
11,2,1,Right
12,2,2,Left
13,1,3,Left
14,1,4,Left
15,1,5,Right
16,2,6,Right
17,2,7,Right
18,2,8,None
19,1,9,Right
20,1,10,Left
21,1,1,Left
22,1,2,Right
23,2,3,Right
24,1,4,None
25,2,5,Left
26,1,6,Right
27,1,7,Left
28,1,8,Left
29,1,9,Left
30,1,10,Left
31,2,1,Right
32,1,2,Left
33,2,3,None
34,2,4,None
35,1,5,Left
36,1,6,Right
37,2,7,None
38,1,8,Left
39,2,9,Right
40,2,10,Left
41,1,1,Left
42,1,2,Left
43,1,3,Right
44,2,4,Right
45,1,5,Left
46,2,6,None
47,2,7,None
48,1,8,Left
49,1,9,Right
50,1,10,Right
51,1,1,Left
52,1,2,Right
53,2,3,Right
54,2,4,Right
55,2,5,Left
56,1,6,Right
57,2,7,Left
58,2,8,None
59,2,9,None
60,1,10,Right
61,2,1,Right
62,1,2,Left
63,1,3,Left
64,1,4,Right
65,1,5,None
66,2,6,Right
67,1,7,Right
68,1,8,Left
69,2,9,Right
70,1,10,Left
71,2,1,Right
72,1,2,Right
73,2,3,Right
74,2,4,None
75,2,5,Left
76,2,6,Right
77,1,7,Right
78,2,8,Left
79,2,9,Left
80,2,10,Right
81,2,1,Left
82,2,2,Left
83,1,3,Left
84,2,4,Left
85,2,5,None
86,1,6,Right
87,1,7,Right
88,1,8,Left
89,1,9,None
90,1,10,Left
91,1,1,Left
92,1,2,Right
93,2,3,Right
94,1,4,None
95,1,5,Left
96,2,6,Left
97,2,7,Left
98,2,8,Right
99,2,9,Right
100,2,10,None
101,2,1,Left
102,1,2,Left
103,2,3,Right
104,2,4,Right
105,2,5,Left
106,1,6,Right
107,2,7,Left
108,1,8,Left
109,2,9,Left
110,2,10,Right
111,2,1,Left
112,2,2,Right
113,2,3,Left
114,1,4,Left
115,2,5,Left
116,2,6,None
117,1,7,Right
118,2,8,None
119,1,9,Right
120,1,10,None
121,1,1,Left
122,2,2,Right
123,2,3,Right
124,1,4,Right
125,2,5,Left
126,2,6,Right
127,1,7,Right
128,1,8,Right
129,2,9,Left
130,1,10,Left
131,1,1,None
132,1,2,None
133,1,3,Left
134,2,4,Right
135,2,5,Left
136,2,6,Right
137,2,7,Right
138,1,8,Left
139,1,9,Right
140,1,10,Right
141,1,1,Left
142,2,2,Left
143,1,3,Left
144,2,4,Left
145,2,5,Left
146,2,6,Right
147,1,7,Right
148,1,8,Left
149,1,9,Right
150,1,10,None
151,1,1,Left
152,2,2,Left
153,2,3,Left
154,1,4,Right
155,1,5,Left
156,1,6,Right
157,1,7,Left
158,1,8,Right
159,1,9,Left
160,2,10,None
161,1,1,None
162,2,2,Left
163,2,3,Left
164,2,4,Left
165,2,5,Left
166,2,6,Left
167,2,7,None
168,1,8,Left
169,2,9,Right
170,1,10,Right
171,1,1,Left
172,1,2,Right
173,2,3,Right
174,1,4,Right
175,1,5,Left
176,2,6,Right
177,1,7,Right
178,2,8,Left
179,2,9,Left
180,1,10,None
181,2,1,None
182,2,2,Right
183,2,3,Left
184,1,4,None
185,2,5,Left
186,1,6,Left
187,2,7,Left
188,2,8,Left
189,1,9,Right
190,1,10,Left
191,1,1,Left
192,1,2,Right
193,2,3,Right
194,1,4,Right
195,1,5,Left
196,2,6,None
197,1,7,None
198,2,8,Left
199,1,9,Right
200,1,10,Left
201,1,1,Left
202,2,2,Left
203,2,3,Right
204,1,4,Right
205,1,5,Left
206,2,6,Right
207,1,7,Right
208,1,8,Left
209,1,9,Right
210,1,10,None
211,2,1,Left
212,2,2,Left
213,1,3,Left
214,2,4,Right
215,1,5,None
216,2,6,Right
217,1,7,Right
218,2,8,Left
219,2,9,Right
220,1,10,None
221,2,1,Left
222,1,2,None
223,1,3,Right
224,1,4,Right
225,2,5,Left
226,1,6,Right
227,1,7,Right
228,2,8,Left
229,2,9,Right
230,2,10,Left
231,2,1,Right
232,1,2,Left
233,2,3,Left
234,1,4,Left
235,1,5,Left
236,1,6,Right
237,2,7,Left
238,1,8,Left
239,2,9,Right
240,2,10,None
241,2,1,Left
242,2,2,Left
243,2,3,Left
244,1,4,None
245,2,5,Right
246,1,6,Left
247,2,7,None
248,1,8,Left
249,2,9,Right
250,2,10,Left
251,2,1,Left
252,1,2,Left
253,2,3,Right
254,1,4,Right
255,1,5,Left
256,2,6,Right
257,1,7,Right
258,2,8,Left
259,1,9,Right
260,1,10,Left
261,1,1,Left
262,2,2,Left
263,2,3,Left
264,2,4,Right
265,1,5,Left
266,2,6,Right
267,1,7,Right
268,2,8,Left
269,2,9,Right
270,2,10,None
271,1,1,Left
272,1,2,Left
273,1,3,Left
274,2,4,Right
275,2,5,Left
276,1,6,Right
277,1,7,Right
278,1,8,Left
279,1,9,Right
280,1,10,None
281,2,1,Left
282,1,2,Left
283,1,3,Left
284,1,4,None
285,1,5,Left
286,2,6,Right
287,2,7,Right
288,2,8,Left
289,1,9,Right
290,1,10,Right
291,1,1,Left
292,1,2,Right
293,2,3,Right
294,2,4,Right
295,2,5,Left
296,1,6,Right
297,2,7,Right
298,1,8,Left
299,1,9,Right
300,2,10,None
301,1,1,Left
302,2,2,Left
303,2,3,Right
304,1,4,Right
305,1,5,Left
306,1,6,Right
307,1,7,Right
308,2,8,Left
309,1,9,Right
310,2,10,Left
311,2,1,Left
312,1,2,Left
313,2,3,Left
314,1,4,Right
315,2,5,Left
316,1,6,Right
317,2,7,Right
318,1,8,Left
319,1,9,Right
320,2,10,Right
321,1,1,Left
322,1,2,Right
323,2,3,Right
324,2,4,Right
325,2,5,Left
326,2,6,None
327,2,7,Right
328,1,8,Left
329,1,9,Right
330,2,10,None
331,2,1,Left
332,2,2,Left
333,1,3,Left
334,2,4,Left
335,2,5,Left
336,2,6,Right
337,2,7,Right
338,2,8,Left
339,1,9,Right
340,1,10,None
341,2,1,Left
342,1,2,Left
343,2,3,Left
344,1,4,None
345,1,5,Left
346,2,6,Right
347,2,7,Right
348,1,8,Left
349,2,9,Right
350,1,10,Right
351,2,1,Left
