consumer_id,card_set,choose
1,2,Left
2,1,Right
3,8,None
4,3,Right
5,9,Left
6,4,Left
7,10,Right
8,5,Left
9,3,Left
10,4,Left
11,3,Left
12,3,Right
13,1,None
14,6,Right
15,5,None
16,6,Left
17,2,None
18,7,Left
19,10,None
20,9,None
21,6,Left
22,8,None
23,4,Left
24,5,Left
25,5,Right
26,6,Right
27,1,None
28,10,Left
29,9,Right
30,9,Left
31,10,Left
32,3,None
33,2,None
34,9,Left
35,10,Left
36,9,Left
37,9,Right
38,5,Left
39,10,Right
40,10,None
41,9,Right
42,3,None
43,2,None
44,2,None
45,3,None
46,9,Left
47,2,Left
48,6,None
49,10,Right
50,10,Right
51,5,Left
52,7,None
53,8,None
54,4,Left
55,4,Left
56,10,Left
57,7,Left
58,7,Left
59,10,None
60,8,None
61,7,None
62,4,None
63,9,Left
64,5,None
65,7,None
66,4,Left
67,3,None
68,7,None
69,9,None
70,9,Right
71,3,Left
72,4,None
73,3,Right
74,7,Right
75,6,Right
76,1,Right
77,8,Right
78,9,Left
79,1,Right
80,5,Right
81,9,None
82,8,None
83,5,None
84,4,Left
85,9,Left
86,4,Right
87,1,Right
88,1,Left
89,4,None
90,10,Right
91,8,Right
92,6,None
93,10,Left
94,3,None
95,2,Right
96,7,None
97,8,Left
98,9,Left
99,10,Right
100,5,Left
101,5,Left
102,1,Left
103,7,Left
104,5,Left
105,2,Right
106,8,Left
107,3,None
108,1,Left
109,5,Left
110,5,Left
111,9,Left
112,6,Left
113,3,None
114,6,Right
115,3,Left
116,6,Right
117,2,Right
118,3,None
119,7,None
120,2,Right
121,6,Left
122,8,Right
123,9,Right
124,9,None
125,8,Left
126,3,Right
127,3,Left
128,10,None
129,9,Left
130,2,Right
131,8,None
132,5,Left
133,7,None
134,6,None
135,1,None
136,9,Right
137,9,Left
138,10,None
139,1,Right
140,3,Left
141,4,Right
142,3,Right
143,9,Left
144,9,Left
145,1,Left
146,7,Left
147,10,None
148,8,Right
149,5,None
150,10,None
151,2,Left
152,4,Right
153,10,Left
154,8,Right
155,6,None
156,2,Left
157,3,None
158,6,Right
159,10,None
160,3,Left
161,2,None
162,2,Right
163,6,Left
164,6,Right
165,2,Right
166,3,None
167,5,Left
168,4,Right
169,8,None
170,3,None
171,7,None
172,10,Left
173,8,Right
174,2,Right
175,2,Left
176,6,Right
177,4,Left
178,2,Left
179,6,None
180,6,Right
181,2,Right
182,9,None
183,6,Right
184,3,None
185,7,None
186,6,Right
187,10,Right
188,8,Left
189,7,Left
190,7,None
191,9,None
192,2,Right
193,6,None
194,2,None
195,9,Left
196,10,None
197,5,Left
198,4,Left
199,9,None
200,2,Right
201,3,Right
202,5,Right
203,4,Left
204,9,Right
205,6,Left
206,8,Left
207,8,None
208,3,Left
209,3,Left
210,6,None
211,5,None
212,8,Right
213,1,Right
214,4,None
215,7,Left
216,10,None
217,7,None
218,1,Left
219,1,None
220,7,Left
221,6,Left
222,7,None
223,10,Left
224,5,Left
225,1,Left
226,5,Left
227,7,Right
228,1,Right
229,3,Left
230,6,None
231,8,Left
232,8,Left
233,6,Left
234,6,Left
235,1,None
236,7,Right
237,7,None
238,1,None
239,1,None
240,5,Right
241,8,Left
242,10,Left
243,6,Left
244,7,None
245,9,Left
246,1,None
247,4,Left
248,8,Left
249,9,Left
250,3,Right
251,8,Right
252,8,Right
253,7,None
254,5,None
255,8,Left
256,9,Right
257,9,None
258,9,Left
259,7,Left
260,1,None
261,4,Right
262,3,None
263,2,None
264,9,None
265,8,Right
266,8,None
267,10,Right
268,9,None
269,4,Left
270,2,Right
271,5,None
272,10,Right
273,8,Left
274,3,None
275,9,Left
276,5,None
277,8,Right
278,10,Right
279,1,Left
280,1,None
281,4,None
282,7,None
283,5,Left
284,1,Left
285,1,Left
286,4,None
287,3,Left
288,8,None
289,7,None
290,9,None
291,9,Right
292,2,Right
293,7,Left
294,9,None
295,3,None
296,6,None
297,3,Left
298,1,Right
299,8,None
300,2,None
301,8,None
302,2,Left
303,1,Left
304,9,None
305,4,Left
306,5,None
307,8,None
308,2,Left
309,4,Left
310,6,None
311,10,Left
312,9,Left
313,4,Right
314,1,Right
315,4,Left
316,5,Left
317,1,Right
318,8,None
319,7,Right
320,10,Right
321,4,Left
322,1,None
323,2,Left
324,2,None
325,4,Right
326,4,None
327,7,Right
328,9,Left
329,2,Left
330,1,Left
331,1,None
332,8,Right
333,10,Right
334,6,Left
335,10,Left
336,7,None
337,3,Right
338,10,Right
339,7,Left
340,2,Left
341,7,Left
342,10,Right
343,7,None
344,1,Right
345,9,Right
346,10,Left
347,8,Left
348,8,Left
349,8,Right
350,4,None
351,10,Left
352,3,Left
353,5,Right
354,7,None
355,1,Left
356,10,None
357,5,Left
358,8,Left
359,6,Left
360,6,None
361,3,Left
362,6,Right
363,7,Right
364,1,Left
365,9,None
366,3,None
367,8,Right
368,10,None
369,5,Right
370,8,Left
371,3,Left
372,1,Right
373,7,Left
374,8,Right
375,1,Right
376,9,Right
377,10,Left
378,7,None
379,3,Right
380,2,None
381,9,None
382,1,Left
383,6,None
384,5,None
385,3,Right
386,4,Left
387,9,Right
388,3,Right
389,5,None
390,4,Right
391,1,None
392,5,Right
393,3,None
394,1,Left
395,1,None
396,2,Left
397,7,Left
398,8,Right
399,2,Left
400,2,None
401,9,None
402,2,None
403,7,None
404,2,Left
405,7,Left
406,2,Left
407,1,Right
408,2,Left
409,9,None
410,6,Right
411,10,Left
412,3,None
413,10,Right
414,5,None
415,6,Right
416,5,Left
417,6,None
418,6,None
419,4,None
420,10,Left
421,2,Right
422,6,Left
423,8,Right
424,5,None
425,2,Left
426,6,None
427,10,Left
428,7,Left
429,2,Right
430,1,None
431,8,Left
432,7,None
433,2,None
434,9,Left
435,7,Left
436,7,Left
437,10,Right
438,4,Left
439,10,Right
440,8,Left
441,6,Left
442,3,Right
443,3,Left
444,1,None
445,3,None
446,2,Right
447,7,Left
448,9,Left
449,5,None
450,5,None
451,4,Left
452,7,Left
453,8,Left
454,3,None
455,8,None
456,5,Right
457,7,None
458,6,Left
459,4,Left
460,7,Left
461,9,None
462,8,Right
463,7,Right
464,6,Right
465,5,None
466,10,Left
467,6,None
468,8,Right
469,1,None
470,1,None
471,6,None
472,8,Right
473,3,Left
474,3,Left
475,1,Right
476,1,Left
477,5,Left
478,6,Right
479,7,Right
480,8,Right
481,7,Right
482,6,Left
483,5,Left
484,6,Left
485,4,Left
486,6,None
487,4,Left
488,5,Right
489,4,Right
490,4,Right
491,6,Right
492,2,Right
493,9,Left
494,1,None
495,1,None
496,1,Right
497,5,Left
498,3,Right
499,8,None
500,6,Left
501,10,None
502,3,Right
503,3,Right
504,3,Left
505,2,None
506,6,None
507,6,None
508,1,None
509,4,Left
510,6,None
511,1,None
512,9,Left
513,9,Left
514,9,Left
515,8,None
516,4,None
517,9,Left
518,1,None
519,6,Left
520,4,Right
521,5,Left
522,10,None
523,4,None
524,8,None
525,4,Left
526,5,Right
527,5,None
528,2,Right
529,2,Right
530,5,Right
531,8,None
532,6,None
533,8,Right
534,5,Left
535,5,Right
536,6,Right
537,5,None
538,5,None
539,4,Left
540,3,Left
541,3,Left
542,7,Left
543,5,None
544,3,Left
545,9,Right
546,5,Right
547,4,Left
548,3,Left
549,5,Right
550,1,None
551,9,Right
552,5,Left
553,9,Right
554,7,None
555,2,Left
556,8,Right
557,1,None
558,4,Left
559,10,Left
560,10,None
561,9,None
562,2,None
563,4,Right
564,2,Left
565,5,Left
566,7,None
567,2,Left
568,2,None
569,2,Right
570,7,Left
571,10,Right
572,4,Left
573,3,Left
574,8,Left
575,3,Left
576,9,Left
577,3,Right
578,9,Right
579,6,Right
580,1,Right
581,9,None
582,5,Left
583,5,Left
584,4,Right
585,9,Right
586,7,Right
587,9,Right
588,4,Right
589,9,Left
590,5,Left
591,3,Left
592,6,Left
593,1,None
594,7,None
595,10,Left
596,1,Left
597,6,Right
598,6,Right
599,7,Left
600,4,None
601,1,Right
602,1,Left
603,8,None
604,1,None
605,1,Left
606,9,None
607,4,Right
608,2,Left
609,9,Right
610,8,None
611,5,None
612,7,Left
613,3,Left
614,10,Left
615,6,Left
616,9,Left
617,3,Right
618,3,None
619,4,Right
620,7,Right
621,3,Right
622,4,Left
623,5,Left
624,10,Left
625,5,Right
626,3,None
627,6,Left
628,8,Left
629,4,None
630,4,Right
631,1,None
632,1,None
633,3,None
634,3,Left
635,7,Left
636,3,None
637,8,Left
638,1,Left
639,4,Right
640,4,Right
641,1,Right
642,2,None
643,2,None
644,8,None
645,3,Left
646,3,None
647,8,None
648,8,Right
649,7,Left
650,7,Left
651,4,Left
652,9,Right
653,2,Right
654,2,None
655,8,Right
656,4,Right
657,1,Left
658,6,Left
659,5,Left
660,3,Right
661,1,None
662,10,Left
663,8,None
664,9,None
665,1,Left
666,3,Right
667,6,Left
668,5,Left
669,4,None
670,3,None
671,2,Right
672,4,None
673,3,Right
674,3,Right
675,9,Left
676,6,None
677,3,Right
678,9,Left
679,6,Left
680,3,Right
681,3,None
682,3,Left
683,7,None
684,10,None
685,6,Right
686,10,Right
687,2,Left
688,3,Left
689,3,Left
690,8,None
691,5,Left
692,6,None
693,7,None
694,5,Left
695,2,Right
696,6,Left
697,9,None
698,8,None
699,7,None
700,6,Left
701,6,None
702,8,None
703,9,Right
704,9,None
705,7,None
706,10,Left
707,4,Right
708,8,Left
709,10,Right
710,3,None
711,10,None
712,3,None
713,6,None
714,5,None
715,5,Left
716,4,Right
717,3,None
718,1,Left
719,7,None
720,6,Right
721,1,Left
722,7,Right
723,2,Right
724,6,Left
725,4,Left
726,2,Left
727,5,Left
728,6,None
729,10,None
730,6,Left
731,2,Right
732,4,Left
733,1,Left
734,3,Left
735,2,None
736,1,None
737,3,None
738,2,Right
739,8,Left
740,1,None
741,1,Right
742,6,Left
743,6,Left
744,7,None
745,2,Right
746,4,None
747,8,None
748,7,None
749,5,Right
750,6,Left
751,1,None
752,3,None
753,9,None
754,8,Left
755,9,Right
756,4,Right
757,6,Right
758,2,Right
759,5,Left
760,3,None
761,9,Left
762,6,Right
763,4,Left
764,10,Left
765,9,Left
766,7,Left
767,4,Left
768,6,Left
769,10,None
770,7,Left
771,8,None
772,5,None
773,5,Left
774,5,None
775,3,Left
776,6,Left
777,6,Right
778,4,None
779,9,Left
780,7,None
781,10,None
782,9,None
783,6,None
784,6,Right
785,5,None
786,2,None
787,9,Right
788,2,Right
789,3,Left
790,3,Left
791,4,Right
792,8,Right
793,2,Right
794,5,None
795,5,Left
796,4,Left
797,3,None
798,5,Right
799,2,Right
800,8,None
801,9,Left
802,9,Left
803,10,Right
804,3,Right
805,10,None
806,8,Left
807,3,Right
808,9,Right
809,3,Right
810,3,Left
811,6,Left
