consumer_id,segment,choice,LG_Left,60_Left,80_Left,price_Left,LG_Right,60_Right,80_Right,price_Right
1,0,Left,1,0,0,100,0,0,0,100
2,1,Left,1,1,0,130,0,0,0,100
3,1,Left,0,1,0,120,0,0,1,170
4,0,Right,0,0,1,180,1,1,0,170
5,0,Left,1,0,0,100,0,1,0,130
6,1,Right,1,1,0,150,1,0,1,200
7,0,Right,0,0,1,190,1,1,0,170
8,0,Left,1,1,0,150,0,0,1,190
9,1,Right,1,0,1,200,0,1,0,130
10,1,Right,0,0,0,120,1,1,0,150
11,1,Right,1,0,0,100,0,0,0,100
12,1,Left,1,1,0,130,0,0,0,100
13,0,Left,0,1,0,120,0,0,1,170
14,0,Left,0,0,1,180,1,1,0,170
15,0,Right,1,0,0,100,0,1,0,130
16,1,Right,1,1,0,150,1,0,1,200
17,1,Right,0,0,1,190,1,1,0,170
18,1,None,1,1,0,150,0,0,1,190
19,0,Right,1,0,1,200,0,1,0,130
20,0,Left,0,0,0,120,1,1,0,150
21,0,Left,1,0,0,100,0,0,0,100
22,0,Right,1,1,0,130,0,0,0,100
23,1,Right,0,1,0,120,0,0,1,170
24,0,None,0,0,1,180,1,1,0,170
25,1,Left,1,0,0,100,0,1,0,130
26,0,Right,1,1,0,150,1,0,1,200
27,0,Left,0,0,1,190,1,1,0,170
28,0,Left,1,1,0,150,0,0,1,190
29,0,Left,1,0,1,200,0,1,0,130
30,0,Left,0,0,0,120,1,1,0,150
31,1,Right,1,0,0,100,0,0,0,100
32,0,Left,1,1,0,130,0,0,0,100
33,1,None,0,1,0,120,0,0,1,170
34,1,None,0,0,1,180,1,1,0,170
35,0,Left,1,0,0,100,0,1,0,130
36,0,Right,1,1,0,150,1,0,1,200
37,1,None,0,0,1,190,1,1,0,170
38,0,Left,1,1,0,150,0,0,1,190
39,1,Right,1,0,1,200,0,1,0,130
40,1,Left,0,0,0,120,1,1,0,150
41,0,Left,1,0,0,100,0,0,0,100
42,0,Left,1,1,0,130,0,0,0,100
43,0,Right,0,1,0,120,0,0,1,170
44,1,Right,0,0,1,180,1,1,0,170
45,0,Left,1,0,0,100,0,1,0,130
46,1,None,1,1,0,150,1,0,1,200
47,1,None,0,0,1,190,1,1,0,170
48,0,Left,1,1,0,150,0,0,1,190
49,0,Right,1,0,1,200,0,1,0,130
50,0,Right,0,0,0,120,1,1,0,150
51,0,Left,1,0,0,100,0,0,0,100
52,0,Right,1,1,0,130,0,0,0,100
53,1,Right,0,1,0,120,0,0,1,170
54,1,Right,0,0,1,180,1,1,0,170
55,1,Left,1,0,0,100,0,1,0,130
56,0,Right,1,1,0,150,1,0,1,200
57,1,Left,0,0,1,190,1,1,0,170
58,1,None,1,1,0,150,0,0,1,190
59,1,None,1,0,1,200,0,1,0,130
60,0,Right,0,0,0,120,1,1,0,150
61,1,Right,1,0,0,100,0,0,0,100
62,0,Left,1,1,0,130,0,0,0,100
63,0,Left,0,1,0,120,0,0,1,170
64,0,Right,0,0,1,180,1,1,0,170
65,0,None,1,0,0,100,0,1,0,130
66,1,Right,1,1,0,150,1,0,1,200
67,0,Right,0,0,1,190,1,1,0,170
68,0,Left,1,1,0,150,0,0,1,190
