id,age,number_accounts,price,Extra_content,ads,accept
1,51,5,25,0,0,1
2,51,4,20,Disney,0,0
3,52,2,15,0,one_per_show,0
4,45,5,25,0,one_per_day,0
5,41,4,15,0,0,1
6,31,5,20,0,one_per_show,0
7,42,1,20,Disney,0,0
8,21,5,15,Disney,0,1
9,31,5,25,Disney,0,0
10,36,3,20,Disney,one_per_day,0
11,49,5,15,Marble,one_per_show,1
12,21,2,25,0,one_per_day,1
13,32,1,25,ESPN,one_per_day,0
14,49,2,10,Marble,one_per_day,0
15,31,4,15,Marble,one_per_show,0
16,29,3,10,ESPN,one_per_show,0
17,46,4,10,ESPN,one_per_show,1
18,46,3,15,0,one_per_day,0
19,53,2,25,ESPN,one_per_day,0
20,28,3,20,Disney,one_per_show,0
21,39,3,20,Marble,0,0
22,45,2,20,Marble,one_per_day,1
23,40,5,20,Marble,one_per_show,0
24,24,1,20,Disney,one_per_day,1
25,41,2,20,ESPN,one_per_day,1
26,28,1,20,Marble,one_per_show,0
27,45,5,10,Marble,0,1
28,52,1,15,0,0,0
29,37,1,20,0,one_per_show,0
30,43,2,25,Disney,one_per_show,0
31,26,3,20,Disney,0,1
32,51,2,15,0,0,0
33,49,3,20,0,one_per_day,0
34,42,4,20,ESPN,one_per_show,0
35,25,2,25,ESPN,0,0
36,41,1,15,Marble,one_per_day,0
37,35,4,25,0,one_per_show,0
38,34,5,10,0,0,1
39,29,5,15,Marble,one_per_show,1
40,38,4,20,ESPN,0,1
41,38,4,25,0,0,0
42,28,2,10,0,one_per_day,0
43,39,1,20,Marble,0,0
44,40,5,10,Marble,0,1
45,50,4,20,ESPN,one_per_day,0
46,24,3,10,Disney,one_per_show,0
47,45,3,25,Disney,one_per_day,0
48,27,5,10,Marble,one_per_day,0
49,29,3,25,Marble,one_per_day,0
50,46,3,10,0,one_per_show,0
51,43,2,15,Marble,one_per_day,1
52,34,5,15,ESPN,one_per_day,1
53,50,2,10,Marble,one_per_day,0
54,45,1,25,Marble,one_per_day,0
55,29,5,15,Disney,one_per_show,1
56,45,2,15,ESPN,0,0
57,44,2,15,Disney,one_per_show,0
58,34,2,10,0,0,0
59,33,2,10,Marble,0,0
60,49,5,20,ESPN,one_per_day,1
61,35,3,20,Marble,0,0
62,35,3,10,Marble,0,1
63,50,3,15,Marble,one_per_show,0
64,45,5,25,Disney,one_per_show,1
65,48,1,10,Marble,one_per_show,0
66,38,5,15,Disney,one_per_show,1
67,45,4,15,Marble,one_per_day,1
68,24,4,20,ESPN,one_per_day,0
69,32,4,15,0,one_per_show,0
70,45,5,25,0,one_per_show,0
71,40,2,10,Marble,one_per_day,0
72,22,2,25,Disney,one_per_show,1
73,53,2,10,ESPN,one_per_day,0
74,38,3,10,ESPN,one_per_day,0
75,24,2,10,Marble,0,0
76,35,5,20,Disney,one_per_show,1
77,41,3,20,ESPN,one_per_show,0
78,47,3,15,Disney,one_per_show,0
79,47,2,25,0,one_per_show,1
80,43,2,10,Marble,one_per_show,0
81,29,4,20,0,one_per_show,0
