sample,male,brand,C1,C2,C3,D1,D2,D3
1,1,C2,3,2,2,6,7,7
2,1,C3,5,6,6,4,4,4
3,0,C1,2,1,2,3,2,3
4,0,C4,3,3,4,5,4,3
5,0,C5,4,4,4,3,2,3
6,0,C6,3,2,2,1,3,1
7,1,C7,5,5,6,5,4,4
8,1,C8,4,5,4,6,6,5
9,1,C9,4,5,6,3,3,2
10,0,C10,6,6,6,2,3,4
11,1,C11,6,7,7,5,4,4
12,1,C12,7,6,6,5,5,6
13,1,C13,7,7,7,4,5,4
14,1,C14,1,2,2,5,4,3
15,0,C15,6,6,7,2,1,1
16,0,C16,5,6,6,7,8,7
17,0,C2,5,4,3,6,7,6
18,1,C3,5,5,6,4,4,4
19,1,C1,1,1,2,4,4,5
20,1,C4,4,3,2,3,2,1
21,0,C5,4,5,5,1,2,1
22,0,C6,4,3,3,5,6,7
23,1,C7,6,5,6,5,6,5
24,1,C8,4,4,3,7,6,5
25,0,C9,5,5,6,5,5,5
26,1,C10,4,4,5,6,5,4
27,0,C11,7,6,6,4,4,4
28,1,C12,7,7,6,5,6,7
29,1,C13,7,6,7,3,3,3
30,0,C2,1,2,1,5,5,4
31,1,C3,3,4,4,3,3,4
32,0,C1,5,4,4,4,5,5
33,0,C4,4,4,4,4,5,4
34,0,C5,5,5,6,4,3,4
35,1,C6,4,4,4,1,2,2
36,1,C7,3,4,4,5,5,4
37,0,C8,4,3,3,5,4,4
38,0,C9,3,3,2,5,5,4
39,0,C10,3,2,1,4,3,3
40,0,C11,6,7,8,4,4,3
41,1,C12,7,7,7,3,3,3
42,1,C13,4,3,4,3,2,1
43,0,C14,5,6,5,6,6,5
44,0,C15,4,4,3,2,3,2
45,0,C16,5,5,6,5,6,7
46,0,C14,4,3,4,6,7,7
47,1,C15,7,7,8,5,4,4
48,1,C16,2,3,3,5,4,4
49,0,C2,2,3,3,6,5,5
50,0,C3,3,3,3,3,3,2
51,0,C1,5,5,4,3,2,3
52,0,C4,2,2,1,4,3,4
53,1,C5,4,5,5,2,3,4
54,0,C6,3,3,2,2,3,2
55,1,C7,6,5,6,5,6,7
56,0,C8,2,2,1,3,4,5
57,0,C9,4,3,2,3,4,3
58,0,C10,2,3,4,4,4,5
59,0,C11,7,7,7,4,4,3
60,0,C12,6,7,7,5,5,4
61,1,C13,7,7,6,3,2,1
62,1,C14,3,3,2,4,5,6
63,0,C15,4,3,4,3,2,2
64,0,C16,5,4,3,5,5,4
65,1,C2,5,6,6,5,6,7
66,1,C3,6,6,6,6,7,7
67,0,C1,4,3,4,4,4,4
68,0,C4,2,2,2,4,3,4
69,1,C5,6,7,6,3,4,5
70,0,C6,4,5,6,4,4,4
71,1,C7,4,3,2,5,5,6
72,0,C8,4,3,2,3,3,3
73,1,C9,3,2,1,6,6,5
74,0,C10,4,5,4,1,2,2
75,1,C11,6,6,7,5,4,5
76,1,C12,7,6,6,3,4,5
77,1,C13,5,6,7,3,2,3
78,0,C14,4,3,4,5,6,6
79,0,C15,5,4,4,5,5,4
80,0,C16,4,3,4,3,2,2
81,0,C2,2,2,3,6,6,6
82,1,C3,4,5,4,5,6,7
83,1,C1,3,3,2,4,4,3
84,1,C4,5,6,5,2,1,2
85,1,C2,4,4,5,6,7,8
86,1,C3,3,4,5,6,7,6
87,0,C1,3,4,4,4,5,6
88,0,C4,5,4,5,5,6,5
89,0,C5,5,4,4,2,1,1
90,0,C6,4,5,5,3,2,2
91,0,C7,5,5,6,5,6,5
92,1,C8,3,3,4,3,3,4
93,0,C9,3,4,4,5,6,7
94,0,C10,2,1,2,3,3,3
95,1,C11,7,7,8,4,3,4
96,0,C12,7,8,8,4,4,3
97,1,C13,6,6,7,3,4,4
98,0,C14,3,3,3,4,4,4
99,1,C15,5,6,6,4,4,3
100,1,C16,3,4,4,3,2,3
101,1,C2,2,1,1,6,6,7
102,1,C3,3,3,3,5,6,7
103,0,C1,3,3,3,4,5,5
104,1,C4,3,4,3,4,5,6
105,0,C5,5,5,6,2,2,1
106,0,C6,2,3,2,5,5,5
107,0,C7,6,5,5,5,5,4
108,1,C8,3,4,4,5,4,4
109,1,C9,7,7,8,4,5,6
110,1,C10,5,4,5,3,4,5
111,1,C11,6,7,6,7,6,6
112,1,C12,4,5,4,5,5,6
113,0,C13,6,7,7,5,5,6
114,1,C14,4,3,3,5,4,4
115,1,C15,4,5,4,1,3,2
116,1,C16,2,1,2,4,3,2
117,0,C2,4,5,6,6,6,6
118,0,C3,3,2,2,3,4,5
119,1,C1,4,3,2,3,2,1
120,0,C4,3,4,4,5,5,5
121,1,C5,4,3,3,5,4,3
122,1,C6,2,1,1,2,2,2
123,1,C7,6,7,7,4,5,4
124,0,C8,3,2,3,7,6,7
125,0,C9,4,3,3,3,4,3
126,1,C10,6,6,5,2,2,2
127,1,C11,6,5,6,4,5,4
128,0,C12,4,4,5,2,1,1
129,0,C13,7,8,9,2,1,3
130,1,C14,1,2,1,5,4,5
131,1,C15,6,7,7,4,5,5
132,0,C16,4,4,3,4,4,5
133,1,C2,4,4,5,4,4,5
134,1,C3,4,5,6,7,8,8
135,0,C1,2,1,2,4,5,5
136,0,C4,5,5,4,4,3,4
137,0,C5,6,6,6,4,5,5
138,1,C6,5,6,5,2,1,2
139,1,C7,5,5,5,4,5,4
140,1,C8,3,4,4,4,5,4
141,0,C9,4,3,4,6,7,8
142,1,C10,4,3,2,6,6,5
143,0,C11,4,4,5,4,4,3
144,0,C12,6,5,5,3,4,3
145,1,C13,7,7,7,2,2,2
146,0,C14,4,5,4,5,5,4
147,1,C15,4,5,5,3,3,3
148,0,C16,5,5,5,5,6,7
149,0,C2,4,5,6,5,4,3
150,1,C3,5,6,5,6,6,7
151,0,C1,5,6,6,6,5,6
152,0,C4,5,6,7,4,5,4
153,1,C5,4,3,2,1,1,2
154,0,C6,4,5,5,4,5,4
155,0,C7,6,7,6,5,4,3
156,0,C8,3,4,5,4,5,5
157,1,C9,7,7,6,2,3,4
158,1,C10,5,6,7,6,6,7
159,0,C11,4,5,4,7,8,8
160,0,C12,4,3,2,1,1,3
161,0,C13,4,4,5,2,2,3
162,1,C14,4,4,5,4,4,5
163,1,C15,4,3,3,4,3,2
164,0,C16,4,4,4,4,5,4
165,1,C2,4,5,5,5,5,6
166,0,C3,6,6,6,5,4,5
167,1,C1,4,5,4,5,5,4
168,1,C4,3,2,2,3,2,2
169,1,C5,4,5,6,5,4,4
170,0,C6,3,2,1,5,5,6
171,0,C7,6,7,6,4,3,2
172,1,C8,2,2,2,5,6,7
173,0,C9,4,5,4,6,6,6
174,1,C10,3,3,2,4,4,3
175,0,C11,6,5,5,6,5,6
176,1,C12,4,5,4,5,4,3
177,0,C13,4,4,4,4,3,3
178,0,C2,3,4,4,4,4,3
179,0,C3,5,6,5,7,6,6
180,1,C1,4,3,3,4,5,5
181,0,C4,5,5,6,2,3,3
182,1,C5,6,5,5,3,2,1
183,1,C6,5,5,4,2,2,2
184,0,C7,6,5,5,5,6,7
185,0,C8,2,3,2,7,8,9
186,1,C9,3,4,4,5,5,4
187,1,C10,6,6,7,2,2,2
188,0,C11,6,5,4,5,4,5
189,1,C12,7,7,6,1,2,2
190,0,C13,5,5,6,3,4,4
191,1,C14,3,3,3,4,5,6
192,1,C15,7,6,6,1,2,3
193,0,C16,5,6,7,3,3,3
194,0,C14,3,4,4,7,7,6
195,0,C15,5,5,6,3,4,5
196,0,C16,3,4,3,5,5,5
197,1,C2,5,4,4,3,4,3
198,1,C3,4,5,6,7,7,8
199,0,C1,3,4,3,6,7,7
200,1,C4,4,4,4,5,4,4
201,0,C5,6,5,5,4,5,4
202,1,C6,3,3,3,3,2,3
203,1,C7,4,3,4,5,5,6
204,1,C8,4,3,3,4,3,4
205,0,C9,6,5,4,2,3,2
206,0,C10,2,2,1,6,5,6
207,0,C11,4,3,2,7,6,6
208,0,C12,6,7,6,3,2,2
209,1,C13,4,5,5,4,4,4
210,0,C14,4,5,6,7,6,5
211,0,C15,6,5,5,2,1,1
212,1,C16,3,4,3,3,4,5
213,1,C2,2,1,1,6,6,7
214,1,C3,4,4,3,5,4,4
215,0,C1,4,4,4,4,3,4
216,0,C4,2,1,2,4,3,2
217,1,C5,4,5,6,4,3,4
218,0,C6,2,2,1,1,2,3
219,1,C7,5,5,4,5,5,5
220,0,C8,3,3,3,3,3,2
221,0,C9,7,8,7,3,3,3
222,0,C10,2,2,2,2,3,4
223,1,C11,4,5,4,5,4,4
