age,male,heavy,price1,price2,price3,ad1,ad2,ad3,disp1,disp2,disp3,buy
63,0,0,1.75,1.3,1.73,1,1,1,0,1,1,2
29,1,1,1.65,1.43,1.66,1,1,1,0,0,1,3
30,1,1,1.62,1.53,1.76,0,0,0,1,0,0,1
53,1,1,1.52,1.53,1.76,1,0,1,1,1,1,3
55,0,0,1.83,1.62,1.67,1,0,1,0,0,0,3
57,0,0,1.86,1.63,1.72,1,0,0,0,1,1,1
31,0,1,1.64,1.85,1.62,0,0,1,1,1,0,1
30,1,0,1.75,1.67,1.78,1,1,1,0,0,1,3
37,1,1,1.87,1.37,1.77,1,1,0,1,1,1,2
44,1,0,1.76,1.9,1.74,0,0,1,0,1,0,1
26,1,1,1.67,1.39,1.65,0,0,1,1,1,1,3
32,1,0,1.84,1.3,1.65,0,0,0,0,0,1,1
48,0,0,1.55,1.81,1.72,0,1,0,0,1,0,2
44,0,0,1.68,1.48,1.71,0,0,0,1,1,0,1
41,0,0,1.72,1.33,1.72,1,1,1,1,1,0,2
43,0,1,1.92,1.51,1.65,1,0,0,0,1,0,1
30,0,1,1.92,1.81,1.63,1,1,1,0,1,1,3
43,0,0,1.51,1.67,1.79,1,0,0,0,1,1,1
59,0,1,1.6,1.89,1.69,0,0,0,0,1,0,1
26,0,0,1.93,1.82,1.78,0,1,1,0,1,0,2
63,0,0,1.93,1.31,1.73,0,0,1,0,1,0,1
64,1,1,1.75,1.49,1.61,1,0,1,1,0,1,3
60,1,1,1.67,1.49,1.78,1,1,1,0,0,1,3
30,0,1,1.67,1.83,1.78,1,1,0,0,0,1,2
49,0,0,1.56,1.56,1.75,1,1,0,0,1,0,2
65,1,1,1.61,1.75,1.72,1,1,1,1,1,0,2
61,0,1,1.71,1.33,1.7,1,1,1,1,1,0,2
34,0,1,1.5,1.48,1.77,0,0,1,0,1,0,1
55,1,1,1.84,1.87,1.75,1,1,0,0,1,0,2
59,0,1,1.84,1.56,1.7,1,0,1,1,0,1,3
38,1,0,1.86,1.7,1.79,1,0,1,1,0,1,1
34,0,1,1.94,1.75,1.61,1,0,1,1,0,1,1
59,1,0,1.59,1.5,1.71,0,0,0,0,1,1,1
26,0,1,2,1.38,1.74,0,0,0,0,0,0,1
54,0,0,1.9,1.61,1.66,1,1,1,1,1,1,1
36,0,0,1.87,1.73,1.65,0,1,1,1,1,1,1
52,0,0,1.81,1.56,1.61,0,0,0,1,1,0,1
56,0,1,1.68,1.87,1.7,1,0,0,1,1,1,1
33,1,1,1.5,1.69,1.66,1,0,1,0,0,0,3
33,0,0,1.88,1.77,1.7,1,0,1,0,1,1,3
39,1,1,1.83,1.36,1.6,1,1,0,0,1,0,2
26,0,0,1.99,1.46,1.75,0,1,1,0,1,0,2
58,1,0,1.86,1.58,1.7,1,1,0,1,1,1,2
44,0,0,1.74,1.47,1.77,0,0,0,1,1,0,1
58,0,1,1.76,1.6,1.72,0,1,1,0,1,0,1
31,0,1,1.64,1.71,1.71,1,0,0,1,1,1,1
62,0,0,1.89,1.55,1.61,0,1,1,0,0,0,1
60,1,1,1.55,1.38,1.79,1,1,1,0,1,0,2
36,0,1,1.86,1.59,1.73,1,0,1,0,1,0,3
39,0,0,1.81,1.75,1.7,1,0,1,0,1,0,1
45,0,0,1.92,1.82,1.63,1,1,0,1,1,1,2
35,0,1,1.71,1.32,1.6,1,1,0,1,1,0,2
53,0,0,1.75,1.74,1.73,1,0,0,1,1,1,1
59,0,0,1.62,1.75,1.62,1,1,0,0,1,0,2
56,1,1,1.92,1.53,1.76,0,0,1,0,1,1,1
58,0,1,1.91,1.8,1.68,0,1,1,1,1,1,1
45,0,0,1.5,1.85,1.62,1,0,0,0,1,0,1
32,0,1,1.96,1.35,1.65,0,1,1,1,1,1,1
57,1,0,1.7,1.3,1.75,1,0,0,0,1,1,2
34,1,0,1.8,1.87,1.76,1,1,1,0,1,1,3
59,1,0,1.92,1.47,1.67,0,0,1,1,1,1,1
38,0,1,1.81,1.38,1.68,0,1,1,1,1,1,1
56,0,1,1.79,1.44,1.78,0,1,1,1,0,0,1
56,0,1,1.68,1.57,1.78,1,0,0,0,1,1,1
65,1,0,1.58,1.7,1.69,1,0,1,1,1,1,3
30,0,0,1.5,1.7,1.64,0,1,1,1,0,0,1
47,1,1,1.63,1.77,1.75,1,1,0,0,1,1,2
57,1,1,1.9,1.39,1.72,1,0,0,1,0,1,1
57,1,1,1.79,1.49,1.67,1,1,0,0,0,1,2
50,0,1,1.73,1.44,1.64,1,1,1,1,1,1,2
46,1,1,1.51,1.71,1.75,1,0,0,0,1,1,2
41,0,1,1.61,1.38,1.74,0,0,1,1,0,0,1
58,0,0,1.69,1.78,1.61,1,0,1,0,0,1,3
28,1,0,2,1.73,1.75,0,0,0,1,1,0,1
