brand,sic,city,gu,dong,address,zip,lon,lat,d250,d50,land,sales
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로103길 9,6173,127.0638782,37.51003785,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 108,6038,127.0206347,37.5161838,7,1,1,4416
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 513,6164,127.0571003,37.5129394,3,2,1,3888
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 도곡로 408,6278,127.0552134,37.4966152,2,2,1,4032
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 학동로 506,6084,127.0514396,37.51868785,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 선릉로 669,6099,127.0412398,37.51660516,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 역삼로 123,6243,127.0330005,37.49412876,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2936,6291,127.0619041,37.49334362,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성로 605,6095,127.0527047,37.51347189,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,수서동,서울특별시 강남구 밤고개로1길 10,6349,127.1018421,37.48801336,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 언주로 650,6098,127.0357413,37.51491147,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 134,6235,127.0337924,37.49937038,7,1,1.2,5299.2
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 142,6236,127.0349412,37.49974019,7,1,1,4416
Starbucks,I56220,서울특별시,강남구,신사동,서울특별시 강남구 논현로175길 94,6028,127.0216293,37.52318421,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 도산대로 532,6071,127.0515717,37.52433852,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,개포4동,서울특별시 강남구 논현로 88,6307,127.0451163,37.47781003,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 704,6052,127.0307455,37.51460026,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 삼성로86길 7,6178,127.0579257,37.50576457,6,2,1,3456
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로 508,6141,127.0372774,37.50188574,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 테헤란로 334,6212,127.0485159,37.5039411,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,신사동,서울특별시 강남구 논현로 841,6031,127.0278969,37.52404691,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로78길 14,6242,127.0305366,37.49489249,10,1,1.2,4608
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 223,6142,127.0406526,37.50239076,4,1,1.2,5990.4
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 456,6123,127.0255555,37.5031322,8,1,1.2,5068.8
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 211,6141,127.0392228,37.50187455,7,1,1,4416
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 305,6152,127.0437621,37.50333505,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,압구정동,서울특별시 강남구 압구정로42길 32,6017,127.0347168,37.52683303,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로87길 22,6164,127.0594268,37.50962404,7,2,1,3312
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로104길 9,6174,127.065231,37.50858885,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 134,6039,127.0233685,37.51734176,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로 401,6247,127.0388807,37.49591579,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,도곡2동,서울특별시 강남구 언주로30길 57,6293,127.0541634,37.48929922,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로2길 27,6241,127.0296792,37.49648032,12,1,1,3456
Starbucks,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 테헤란로64길 18,6192,127.0511761,37.50376427,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2909,6280,127.0573953,37.4921724,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 역삼로 310,6217,127.0484061,37.49922769,1,1,1.2,6681.6
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 203,6141,127.0377338,37.50157409,7,1,1.2,5299.2
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성로 518,6168,127.056219,37.50836401,5,2,1.2,4320
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 308,6253,127.0318013,37.49065888,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,일원본동,서울특별시 강남구 일원로 81,6351,127.0895788,37.49033434,2,2,1,4032
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 테헤란로 443,6158,127.0555809,37.50694425,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 752,6047,127.0286278,37.5191512,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로96길 8,6173,127.063193,37.51056404,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 513,6164,127.0591391,37.51182033,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 선릉로64길 18,6206,127.0537151,37.49794579,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 408,6134,127.0275177,37.49921076,13,3,1,1632
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성로 646,6084,127.051147,37.51767632,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 648,6106,127.032255,37.5115851,3,2,1,3888
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 도산대로57길 24,6016,127.0418193,37.52525095,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 학동로 419,6069,127.045958,37.5183013,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,도곡1동,서울특별시 강남구 남부순환로 2621,6267,127.036609,37.48524679,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 봉은사로 446,6153,127.048501,37.51135667,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,압구정동,서울특별시 강남구 언주로 861,6023,127.0330918,37.5273874,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2947,6280,127.0626465,37.49456594,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로 518,6180,127.0605609,37.50757866,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 봉은사로2길 39,6123,127.0266434,37.50209594,6,1,1,4608
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 328,6252,127.0306939,37.4923528,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 390,6232,127.0285648,37.49783175,9,2,1,3024
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 봉은사로 304,6143,127.0403528,37.50902009,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 논현로 648,6106,127.032255,37.5115851,3,2,1,3888
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 삼성로 402,6185,127.0588155,37.50335683,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 도곡로 457,6209,127.0601595,37.49899741,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 도곡로 511,6191,127.0622213,37.49962651,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,도곡1동,서울특별시 강남구 강남대로 282,6258,127.032473,37.48855591,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 영동대로86길 12,6174,127.0651728,37.50781348,4,1,1.2,5990.4
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로87길 33,6167,127.0579087,37.50981919,6,1,1.2,5529.6
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 선릉로93길 22,6148,127.046716,37.50495379,7,1,1.2,5299.2
Starbucks,I56220,서울특별시,강남구,삼성2동,서울특별시 강남구 봉은사로 407,6097,127.0445494,37.51077512,4,1,1,4992
Starbucks,I56220,서울특별시,강남구,신사동,서울특별시 강남구 압구정로12길 32,6028,127.022506,37.52188494,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,압구정동,서울특별시 강남구 언주로174길 29,6017,127.03642,37.52810841,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 선릉로 836,6014,127.0405131,37.52653786,7,2,1,3312
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 선릉로 836,6014,127.0405131,37.52653786,7,2,1,3312
Starbucks,I56220,서울특별시,강남구,압구정동,서울특별시 강남구 압구정로30길 17,6022,127.0295417,37.52632207,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 도곡로 183,6257,127.0393917,37.49222561,3,2,1,3888
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 도곡로 183,6257,127.0393917,37.49222561,3,2,1,3888
Starbucks,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 145,6132,127.0351776,37.50070625,8,3,1,2112
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 봉은사로 213,6109,127.0353547,37.50804228,5,2,1,3600
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 봉은사로 213,6109,127.0353547,37.50804228,5,2,1,3600
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 도산대로 458,6062,127.0468501,37.52375987,2,1,1,5376
Starbucks,I56220,서울특별시,강남구,청담동,서울특별시 강남구 영동대로 720,6075,127.056441,37.52217895,1,1,1,5568
Starbucks,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 도산대로 328,6055,127.0379529,37.52239022,5,1,1,4800
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로 616,6081,127.0601934,37.51524372,3,1,1,5184
Starbucks,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로 505,6168,127.0574281,37.50756271,7,1,1,4416
Starbucks,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 영동대로 215,6283,127.0685071,37.49799127,3,1,1,5184
Ediya,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로87길 37,6166,127.0577002,37.51020498,7,2,1,2760
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로63길 16,6257,127.0390991,37.49299814,3,1,1,4320
Ediya,I56220,서울특별시,강남구,일원1동,서울특별시 강남구 양재대로27길 20,6343,127.0816058,37.49039878,2,2,1,3360
Ediya,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로107길 11,6173,127.0650384,37.51042548,6,1,1,3840
Ediya,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 삼성로85길 38,6194,127.0541861,37.50453628,5,2,1,3000
Ediya,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 선릉로 661,6099,127.0415697,37.51558063,2,1,1,4480
Ediya,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로88길 10,6179,127.0594504,37.50683997,6,2,1,2880
Ediya,I56220,서울특별시,강남구,신사동,서울특별시 강남구 압구정로2길 62,6035,127.0214285,37.51776722,6,1,1,3840
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로25길 17,6131,127.0352202,37.50178786,6,2,1.2,3456
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로4길 46,6241,127.0300538,37.49550124,11,1,1.2,3648
Ediya,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로104길 8,6174,127.0647899,37.50858536,6,1,1.2,4608
Ediya,I56220,서울특별시,강남구,일원2동,서울특별시 강남구 개포로109길 34,6336,127.0776351,37.49419735,1,1,1,4640
Ediya,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 언주로148길 14,6057,127.036143,37.52061841,1,1,1,4640
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로25길 17,6131,127.0352202,37.50178786,6,2,1,2880
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로43길 18,6151,127.0440422,37.50442759,4,1,1,4160
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로66길 14,6253,127.0318328,37.49172239,4,1,1,4160
Ediya,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 선릉로86길 6-6,6198,127.0504086,37.50273991,5,1,1,4000
Ediya,I56220,서울특별시,강남구,개포4동,서울특별시 강남구 개포로 218,6307,127.0466001,37.4784888,2,1,1,4480
Ediya,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 언주로130길 18,6098,127.0370636,37.51500335,2,1,1.2,5376
Ediya,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 테헤란로 212,6220,127.0395812,37.50126475,5,2,1.2,3600
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 논현로94길 19,6140,127.0377866,37.50274589,6,1,1.2,4608
Ediya,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 테헤란로87길 37,6166,127.0577002,37.51020498,7,2,1.2,3312
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로7길 22,6130,127.0307215,37.50071482,3,1,1,4320
Ediya,I56220,서울특별시,강남구,개포2동,서울특별시 강남구 개포로82길 11,6329,127.0674257,37.48854865,1,1,1,4640
Ediya,I56220,서울특별시,강남구,신사동,서울특별시 강남구 논현로167길 16,6030,127.0268805,37.5247774,4,1,1,4160
Ediya,I56220,서울특별시,강남구,대치2동,서울특별시 강남구 테헤란로88길 10,6179,127.0594504,37.50683997,6,2,1,2880
Ediya,I56220,서울특별시,강남구,도곡2동,서울특별시 강남구 논현로 142,6301,127.0430112,37.48240642,3,1,1,4320
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 테헤란로 125,6133,127.0316633,37.49959623,3,1,1,4320
Ediya,I56220,서울특별시,강남구,대치4동,서울특별시 강남구 선릉로86길 15,6192,127.0508173,37.5035181,5,3,1,2000
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 선릉로 519,6149,127.0479938,37.50586515,5,2,1,3000
Ediya,I56220,서울특별시,강남구,청담동,서울특별시 강남구 학동로87길 7,6074,127.0519834,37.51952119,3,1,1,4320
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 선릉로 577,6143,127.0435765,37.50990224,5,1,1,4000
Ediya,I56220,서울특별시,강남구,삼성1동,서울특별시 강남구 영동대로106길 9,6170,127.0618328,37.51349969,2,1,1,4480
Ediya,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 언주로 711,6050,127.0334059,37.51707293,2,1,1,4480
Ediya,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 언주로81길 8,6222,127.0428615,37.50034526,2,1,1,4480
Ediya,I56220,서울특별시,강남구,대치1동,서울특별시 강남구 남부순환로 2937,6280,127.0616008,37.49408008,3,1,1,4320
Ediya,I56220,서울특별시,강남구,청담동,서울특별시 강남구 학동로 508,6084,127.0520222,37.51913405,4,1,1,4160
Ediya,I56220,서울특별시,강남구,역삼2동,서울특별시 강남구 논현로72길 13,6227,127.0405329,37.4958301,2,1,1,4480
Ediya,I56220,서울특별시,강남구,세곡동,서울특별시 강남구 헌릉로569길 9,6376,127.1007621,37.46678511,1,1,1,4640
Ediya,I56220,서울특별시,강남구,논현1동,서울특별시 강남구 도산대로 118,6038,127.0218065,37.51654492,7,1,1,3680
Ediya,I56220,서울특별시,강남구,논현2동,서울특별시 강남구 도산대로30길 7,6047,127.0294167,37.51938295,2,1,1,4480
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 390,6232,127.0285648,37.49783175,9,2,1,2520
Ediya,I56220,서울특별시,강남구,역삼1동,서울특별시 강남구 강남대로 432,6129,127.0266094,37.50123065,11,1,1,3040
Ediya,I56220,서울특별시,강남구,세곡동,서울특별시 강남구 자곡로 180,6373,127.1033474,37.47370691,1,1,1,4640
