sample,segment,profile,cpu,ram,as_year,ssd,wtp
1,2,19,intel,32GB,2년,512GB,127
1,2,16,amd,32GB,1년,512GB,108
1,2,23,intel,32GB,3년,512GB,112
2,2,11,intel,32GB,3년,none,114
2,2,22,amd,16GB,3년,512GB,99
2,2,5,intel,16GB,2년,none,90
3,2,12,amd,32GB,3년,none,123
3,2,8,amd,32GB,2년,none,90
3,2,21,intel,16GB,3년,512GB,90
4,1,10,amd,16GB,3년,none,109
4,1,11,intel,32GB,3년,none,134
4,1,16,amd,32GB,1년,512GB,108
5,1,9,intel,16GB,3년,none,120
5,1,18,amd,16GB,2년,512GB,106
5,1,22,amd,16GB,3년,512GB,135
6,1,3,intel,32GB,1년,none,104
6,1,9,intel,16GB,3년,none,123
6,1,14,amd,16GB,1년,512GB,105
7,1,6,amd,16GB,2년,none,98
7,1,7,intel,32GB,2년,none,123
7,1,24,amd,32GB,3년,512GB,147
8,1,3,intel,32GB,1년,none,122
8,1,13,intel,16GB,1년,512GB,130
8,1,6,amd,16GB,2년,none,119
9,2,13,intel,16GB,1년,512GB,83
9,2,17,intel,16GB,2년,512GB,108
9,2,1,intel,16GB,1년,none,80
10,2,20,amd,32GB,2년,512GB,117
10,2,12,amd,32GB,3년,none,114
10,2,17,intel,16GB,2년,512GB,91
11,1,10,amd,16GB,3년,none,107
11,1,22,amd,16GB,3년,512GB,119
11,1,5,intel,16GB,2년,none,119
12,1,1,intel,16GB,1년,none,96
12,1,4,amd,32GB,1년,none,117
12,1,6,amd,16GB,2년,none,112
13,2,9,intel,16GB,3년,none,105
13,2,2,amd,16GB,1년,none,77
13,2,20,amd,32GB,2년,512GB,113
14,2,12,amd,32GB,3년,none,109
14,2,9,intel,16GB,3년,none,92
14,2,18,amd,16GB,2년,512GB,93
15,2,17,intel,16GB,2년,512GB,96
15,2,9,intel,16GB,3년,none,92
15,2,9,intel,16GB,3년,none,77
16,2,11,intel,32GB,3년,none,116
16,2,9,intel,16GB,3년,none,94
16,2,13,intel,16GB,1년,512GB,108
17,2,11,intel,32GB,3년,none,90
17,2,9,intel,16GB,3년,none,88
17,2,9,intel,16GB,3년,none,94
18,1,6,amd,16GB,2년,none,104
18,1,2,amd,16GB,1년,none,88
18,1,20,amd,32GB,2년,512GB,122
19,1,1,intel,16GB,1년,none,103
19,1,4,amd,32GB,1년,none,124
