userid,version,item_sales,retention_1,retention_7
116,B,0,FALSE,FALSE
337,B,0,TRUE,TRUE
377,A,0,TRUE,FALSE
483,A,0,FALSE,FALSE
488,A,28,TRUE,TRUE
540,A,83,TRUE,TRUE
1066,B,0,FALSE,TRUE
1444,A,0,FALSE,FALSE
1574,A,145,TRUE,TRUE
1587,A,59,TRUE,FALSE
1842,A,0,FALSE,TRUE
2101,B,0,FALSE,FALSE
2132,A,0,TRUE,FALSE
2179,B,161,TRUE,FALSE
2218,B,23,TRUE,TRUE
2382,B,150,TRUE,TRUE
2392,B,0,TRUE,FALSE
2451,B,157,TRUE,TRUE
2482,B,0,TRUE,TRUE
2502,A,0,FALSE,FALSE
2530,A,0,TRUE,FALSE
2534,B,0,TRUE,TRUE
2695,A,132,TRUE,FALSE
2729,B,92,FALSE,TRUE
2829,B,0,FALSE,FALSE
2963,B,0,FALSE,FALSE
3095,B,0,FALSE,FALSE
3132,A,0,TRUE,TRUE
3186,A,0,FALSE,FALSE
3199,B,0,FALSE,FALSE
3204,A,103,TRUE,TRUE
3413,B,103,TRUE,TRUE
3690,B,0,TRUE,FALSE
3696,B,0,FALSE,FALSE
3993,A,0,TRUE,TRUE
4076,A,0,FALSE,FALSE
4162,B,0,FALSE,FALSE
4176,B,0,FALSE,FALSE
4283,B,36,TRUE,TRUE
4594,B,0,FALSE,FALSE
4653,A,0,FALSE,FALSE
4881,B,0,FALSE,FALSE
4902,A,0,FALSE,FALSE
4916,A,95,TRUE,FALSE
4918,B,0,TRUE,FALSE
4929,B,76,TRUE,TRUE
4945,A,0,TRUE,FALSE
5066,B,0,FALSE,FALSE
5215,B,0,TRUE,FALSE
5286,B,0,TRUE,FALSE
5345,A,0,FALSE,FALSE
5479,B,0,TRUE,TRUE
5550,B,0,TRUE,FALSE
5661,B,37,TRUE,FALSE
5712,B,65,TRUE,TRUE
5920,A,0,TRUE,FALSE
5943,A,0,FALSE,FALSE
6099,A,144,FALSE,FALSE
6123,B,0,FALSE,FALSE
6151,B,0,TRUE,TRUE
6156,A,0,FALSE,FALSE
6492,B,0,FALSE,FALSE
6664,A,0,TRUE,FALSE
6695,A,146,TRUE,FALSE
6833,A,0,FALSE,FALSE
6842,A,0,FALSE,FALSE
6924,B,0,TRUE,TRUE
6930,A,90,TRUE,TRUE
7124,A,145,TRUE,TRUE
7253,B,0,TRUE,FALSE
7321,A,82,FALSE,FALSE
7509,A,0,FALSE,FALSE
7527,B,168,TRUE,TRUE
7564,B,0,FALSE,FALSE
7582,A,0,FALSE,FALSE
7767,B,137,TRUE,TRUE
7866,B,0,FALSE,FALSE
8063,B,158,TRUE,TRUE
8254,A,0,FALSE,FALSE
8256,A,0,FALSE,FALSE
8288,B,0,FALSE,FALSE
8317,A,0,FALSE,FALSE
8379,B,0,FALSE,FALSE
8464,B,0,FALSE,FALSE
8465,A,0,FALSE,FALSE
8494,B,0,TRUE,TRUE
8644,B,0,FALSE,FALSE
8679,B,0,FALSE,FALSE
8692,B,0,TRUE,FALSE
8753,A,0,TRUE,FALSE
8788,B,0,FALSE,TRUE
8801,A,0,FALSE,FALSE
8885,A,0,FALSE,FALSE
9001,A,0,TRUE,FALSE
9308,A,66,TRUE,FALSE
9443,A,0,FALSE,FALSE
9589,B,0,TRUE,FALSE
9699,A,0,FALSE,FALSE
9828,A,0,FALSE,FALSE
9831,A,0,FALSE,FALSE
9849,A,0,FALSE,FALSE
10112,B,0,FALSE,FALSE
10200,A,79,FALSE,TRUE
10218,B,0,TRUE,FALSE
10276,A,0,FALSE,FALSE
10336,B,0,FALSE,FALSE
10476,A,0,FALSE,FALSE
10533,A,0,FALSE,FALSE
10598,A,0,FALSE,FALSE
10636,B,151,TRUE,TRUE
10637,A,0,FALSE,FALSE
10676,A,0,FALSE,FALSE
10756,B,0,TRUE,TRUE
10884,A,0,TRUE,FALSE
11093,A,37,TRUE,TRUE
11127,B,54,TRUE,TRUE
11297,B,0,FALSE,FALSE
11411,B,122,TRUE,TRUE
11420,B,142,TRUE,FALSE
11599,B,0,FALSE,FALSE
11675,A,0,FALSE,FALSE
11747,B,0,TRUE,FALSE
11840,B,0,FALSE,FALSE
11886,B,0,FALSE,FALSE
12053,B,0,TRUE,TRUE
12067,A,0,FALSE,FALSE
12163,B,0,TRUE,FALSE
12393,A,0,FALSE,FALSE
12461,A,0,FALSE,FALSE
12523,B,0,TRUE,FALSE
12558,B,0,TRUE,TRUE
12574,B,0,TRUE,FALSE
12749,B,0,TRUE,FALSE
12905,A,0,FALSE,FALSE
12951,A,0,FALSE,FALSE
12967,B,0,TRUE,TRUE
12979,B,0,FALSE,FALSE
13133,A,0,FALSE,FALSE
13216,B,0,TRUE,FALSE
13228,A,0,FALSE,FALSE
13320,A,0,FALSE,FALSE
13321,A,123,FALSE,FALSE
13376,A,0,TRUE,FALSE
13429,B,84,FALSE,TRUE
13494,A,0,TRUE,FALSE
13633,B,165,FALSE,FALSE
13664,B,73,TRUE,TRUE
13721,A,133,TRUE,FALSE
13758,B,0,FALSE,FALSE
13806,B,0,FALSE,FALSE
13856,B,0,FALSE,FALSE
13872,B,0,FALSE,FALSE
13893,A,0,FALSE,FALSE
13969,A,40,FALSE,FALSE
14143,B,0,TRUE,TRUE
14218,B,48,FALSE,TRUE
14290,A,0,TRUE,FALSE
14296,B,0,FALSE,FALSE
14381,A,0,FALSE,FALSE
14592,B,0,FALSE,FALSE
14644,A,0,FALSE,FALSE
14834,B,0,TRUE,TRUE
15157,A,0,FALSE,FALSE
15173,B,0,FALSE,FALSE
15294,B,100,TRUE,TRUE
15489,B,0,FALSE,FALSE
15597,A,0,FALSE,FALSE
15962,B,0,FALSE,FALSE
15970,A,0,TRUE,FALSE
16096,A,0,FALSE,FALSE
16145,A,0,FALSE,FALSE
16180,B,0,FALSE,FALSE
16224,A,0,FALSE,FALSE
16454,A,0,FALSE,FALSE
16504,A,0,FALSE,FALSE
16506,B,0,TRUE,FALSE
16638,A,139,TRUE,FALSE
16696,A,0,FALSE,FALSE
17085,A,78,FALSE,FALSE
17167,B,0,TRUE,TRUE
17270,B,154,TRUE,FALSE
17422,A,0,FALSE,FALSE
17461,B,0,FALSE,FALSE
17477,B,63,TRUE,TRUE
17506,A,0,TRUE,TRUE
17554,B,0,FALSE,FALSE
17814,B,0,FALSE,FALSE
17903,A,0,FALSE,FALSE
17947,B,0,TRUE,TRUE
17995,B,0,FALSE,FALSE
18013,A,0,TRUE,FALSE
18213,A,0,TRUE,FALSE
18235,B,0,TRUE,TRUE
18374,A,101,TRUE,FALSE
18731,B,0,FALSE,FALSE
18756,B,122,TRUE,TRUE
18778,B,0,FALSE,FALSE
18827,B,0,TRUE,TRUE
18849,A,56,TRUE,TRUE
18993,A,0,TRUE,FALSE
19077,B,0,FALSE,FALSE
19091,A,0,FALSE,FALSE
19474,A,0,FALSE,FALSE
19490,B,0,TRUE,FALSE
19529,A,0,FALSE,FALSE
19537,A,0,FALSE,FALSE
19593,A,0,FALSE,FALSE
19673,A,0,FALSE,FALSE
19721,A,0,FALSE,FALSE
19728,A,39,TRUE,TRUE
19746,B,22,TRUE,TRUE
19896,A,0,TRUE,FALSE
19993,B,0,TRUE,FALSE
20005,B,0,FALSE,FALSE
20052,B,0,FALSE,FALSE
20136,B,0,FALSE,FALSE
20358,A,0,FALSE,TRUE
20365,A,0,FALSE,FALSE
20465,B,0,TRUE,TRUE
20489,A,0,FALSE,FALSE
20587,A,0,FALSE,FALSE
20591,A,0,TRUE,FALSE
20721,A,0,FALSE,TRUE
20763,B,0,FALSE,FALSE
20790,A,0,TRUE,FALSE
20832,B,0,TRUE,FALSE
20940,A,0,FALSE,FALSE
21072,A,0,FALSE,FALSE
21130,A,0,FALSE,FALSE
21137,A,117,TRUE,FALSE
21228,A,65,TRUE,TRUE
21408,B,0,TRUE,TRUE
21442,A,92,TRUE,FALSE
21755,A,0,FALSE,TRUE
22069,A,0,FALSE,FALSE
22082,A,0,FALSE,FALSE
22167,A,145,TRUE,TRUE
22299,A,0,TRUE,TRUE
22398,B,0,FALSE,FALSE
22486,A,0,FALSE,FALSE
22676,A,0,FALSE,FALSE
22919,A,0,FALSE,FALSE
22935,B,0,TRUE,TRUE
22972,B,0,FALSE,FALSE
23023,A,0,FALSE,TRUE
23026,A,0,FALSE,FALSE
23084,A,0,TRUE,TRUE
23094,A,0,FALSE,FALSE
23126,A,0,FALSE,FALSE
23270,B,0,FALSE,FALSE
23333,B,0,FALSE,FALSE
23374,B,0,TRUE,FALSE
23525,A,0,TRUE,TRUE
23702,A,60,TRUE,FALSE
23748,A,92,TRUE,FALSE
24036,A,0,FALSE,FALSE
24222,B,99,TRUE,TRUE
24302,A,0,TRUE,FALSE
24328,B,0,FALSE,FALSE
24382,B,0,TRUE,FALSE
24397,B,0,FALSE,FALSE
24981,A,0,FALSE,FALSE
25047,B,0,FALSE,FALSE
25281,B,0,FALSE,FALSE
25293,A,0,FALSE,FALSE
25332,B,0,TRUE,TRUE
25466,A,0,FALSE,FALSE
25903,B,0,TRUE,TRUE
25941,A,0,TRUE,FALSE
25958,B,0,FALSE,FALSE
26083,B,63,TRUE,TRUE
26243,A,21,TRUE,TRUE
26253,B,0,FALSE,FALSE
26466,A,0,TRUE,FALSE
26502,B,0,TRUE,TRUE
26586,B,34,TRUE,TRUE
27135,B,0,FALSE,FALSE
27163,A,0,FALSE,FALSE
27605,B,0,TRUE,FALSE
27693,B,0,FALSE,FALSE
27754,B,0,FALSE,FALSE
27759,B,0,TRUE,TRUE
27849,A,75,TRUE,FALSE
27851,A,0,TRUE,FALSE
27979,B,0,FALSE,FALSE
28025,B,50,TRUE,FALSE
28091,B,58,TRUE,FALSE
28123,B,0,FALSE,FALSE
