id,age,mall,satis
25,41,DD,4
89,25,DD,4
279,23,AA,4
315,22,CC,2
342,26,AA,5
343,21,DD,2
418,27,AA,1
422,47,DD,4
474,45,BB,4
476,22,BB,4
499,23,AA,4
5,25,CC,4
109,40,AA,4
127,35,AA,1
160,48,BB,3
177,46,BB,3
257,36,BB,3
455,20,BB,3
69,38,CC,4
103,20,BB,2
170,20,AA,3
223,20,AA,4
225,20,AA,4
226,20,DD,4
231,20,DD,3
261,20,CC,4
264,20,DD,4
414,20,AA,5
462,20,CC,4
2,21,CC,3
190,21,BB,2
211,21,BB,4
213,21,DD,3
292,21,CC,3
326,21,CC,4
413,21,AA,4
437,21,BB,3
457,21,CC,5
1,22,BB,4
74,22,DD,3
104,22,DD,3
144,22,DD,3
185,22,DD,3
232,22,AA,2
302,22,BB,2
317,22,BB,3
318,22,DD,3
366,22,CC,4
383,22,DD,3
389,22,BB,2
443,22,DD,3
222,23,AA,3
271,23,BB,3
285,23,CC,4
307,23,DD,3
349,23,AA,3
402,23,BB,3
408,23,AA,3
431,23,DD,3
434,23,AA,3
445,23,CC,3
56,24,DD,4
82,24,AA,2
106,24,AA,1
116,24,AA,5
152,24,DD,4
176,24,BB,4
201,24,BB,3
244,24,BB,3
260,24,AA,3
334,24,CC,3
337,24,BB,2
360,24,CC,3
363,24,BB,4
372,24,DD,3
397,24,BB,5
412,24,BB,4
421,24,CC,4
433,24,AA,4
480,24,CC,3
15,25,BB,4
21,25,AA,4
22,25,AA,2
32,25,BB,3
44,25,BB,2
57,25,BB,3
110,25,BB,3
118,25,DD,5
129,25,CC,2
145,25,BB,3
156,25,DD,3
240,25,AA,3
242,25,CC,4
294,25,CC,5
344,25,AA,4
357,25,DD,5
375,25,DD,5
377,25,BB,3
388,25,BB,4
393,25,BB,3
466,25,DD,4
35,26,AA,2
49,26,AA,4
66,26,BB,1
102,26,BB,3
182,26,CC,4
202,26,BB,3
208,26,BB,3
209,26,AA,3
236,26,DD,4
265,26,DD,3
301,26,BB,4
324,26,AA,3
427,26,DD,3
4,27,DD,3
36,27,DD,1
126,27,CC,5
133,27,BB,4
139,27,BB,2
153,27,BB,5
181,27,AA,2
186,27,BB,2
196,27,AA,3
215,27,BB,4
218,27,BB,4
227,27,CC,4
255,27,DD,3
310,27,BB,3
352,27,CC,4
355,27,BB,4
384,27,CC,4
400,27,DD,4
409,27,DD,4
426,27,BB,5
20,28,AA,3
64,28,DD,1
87,28,DD,5
113,28,AA,2
146,28,BB,4
171,28,AA,5
221,28,BB,3
248,28,AA,3
254,28,BB,5
258,28,DD,4
266,28,DD,2
314,28,AA,4
24,29,AA,3
48,29,AA,5
52,29,BB,4
79,29,DD,3
114,29,CC,2
132,29,DD,3
142,29,BB,3
151,29,BB,1
159,29,AA,4
166,29,BB,4
235,29,AA,3
243,29,DD,3
311,29,CC,5
320,29,BB,2
331,29,CC,4
367,29,DD,3
463,29,BB,4
483,29,CC,3
9,30,AA,3
38,30,AA,3
54,30,AA,4
63,30,AA,4
99,30,CC,4
120,30,BB,3
194,30,AA,3
219,30,CC,3
251,30,BB,3
282,30,AA,4
288,30,CC,4
290,30,DD,4
325,30,DD,4
338,30,DD,4
340,30,BB,2
415,30,CC,4
456,30,BB,3
498,30,AA,4
7,31,AA,3
26,31,AA,4
80,31,BB,4
94,31,CC,3
112,31,AA,3
134,31,AA,5
162,31,DD,2
164,31,BB,4
192,31,DD,2
212,31,BB,5
220,31,BB,5
284,31,DD,4
351,31,CC,3
369,31,DD,3
376,31,DD,3
406,31,DD,3
472,31,BB,4
473,31,DD,3
12,32,CC,4
17,32,BB,3
124,32,DD,2
158,32,BB,5
184,32,DD,1
188,32,AA,3
217,32,DD,4
252,32,CC,3
269,32,BB,5
327,32,DD,4
335,32,CC,2
336,32,BB,4
365,32,DD,3
378,32,AA,3
423,32,CC,3
448,32,CC,4
458,32,BB,4
464,32,DD,2
495,32,CC,4
496,32,AA,4
29,33,BB,2
30,33,BB,4
33,33,BB,4
72,33,DD,4
108,33,BB,4
115,33,BB,4
121,33,BB,4
123,33,CC,2
169,33,DD,3
193,33,BB,4
241,33,AA,4
250,33,CC,4
262,33,CC,3
299,33,AA,4
316,33,BB,4
333,33,DD,2
371,33,CC,4
374,33,AA,4
411,33,BB,3
453,33,DD,4
491,33,DD,3
13,34,CC,1
136,34,AA,4
137,34,DD,2
179,34,BB,3
205,34,DD,4
207,34,DD,2
256,34,BB,3
329,34,BB,5
364,34,DD,5
370,34,DD,3
419,34,DD,4
428,34,DD,3
452,34,CC,3
461,34,BB,3
477,34,AA,3
500,34,CC,3
34,35,DD,4
43,35,CC,4
67,35,DD,1
77,35,CC,3
96,35,CC,4
122,35,DD,3
131,35,DD,2
148,35,DD,3
154,35,AA,4
195,35,DD,4
245,35,DD,3
259,35,DD,4
263,35,DD,3
273,35,BB,2
380,35,DD,4
446,35,AA,4
447,35,DD,3
451,35,CC,3
460,35,DD,3
53,36,AA,1
78,36,BB,3
163,36,BB,3
198,36,BB,4
296,36,AA,5
323,36,DD,3
354,36,BB,4
401,36,BB,3
430,36,DD,5
6,37,BB,2
39,37,AA,3
85,37,DD,4
98,37,BB,5
135,37,DD,2
138,37,BB,4
168,37,AA,5
206,37,DD,3
247,37,DD,4
270,37,CC,4
332,37,AA,3
339,37,AA,4
345,37,DD,2
368,37,AA,2
403,37,AA,3
416,37,AA,3
440,37,CC,3
449,37,DD,3
493,37,AA,3
47,38,CC,4
50,38,AA,2
55,38,AA,3
65,38,AA,2
100,38,CC,3
200,38,AA,4
230,38,DD,4
253,38,BB,3
286,38,BB,4
313,38,DD,3
187,39,CC,3
246,39,AA,4
289,39,DD,4
348,39,CC,2
350,39,AA,2
394,39,DD,3
16,40,BB,4
40,40,DD,3
149,40,BB,4
183,40,DD,3
189,40,CC,2
191,40,DD,2
276,40,AA,5
277,40,BB,4
280,40,AA,4
295,40,CC,3
305,40,BB,2
306,40,BB,4
308,40,AA,4
341,40,BB,4
385,40,AA,4
444,40,DD,3
454,40,BB,3
459,40,DD,4
76,41,BB,4
88,41,CC,1
92,41,CC,4
101,41,CC,4
172,41,BB,3
180,41,AA,3
197,41,DD,3
268,41,CC,3
300,41,DD,3
346,41,CC,4
361,41,AA,3
386,41,AA,4
390,41,BB,3
398,41,AA,4
399,41,CC,4
468,41,AA,3
471,41,AA,4
492,41,CC,4
18,42,AA,3
42,42,AA,5
111,42,AA,3
141,42,AA,5
143,42,AA,2
147,42,DD,2
214,42,CC,4
239,42,AA,3
303,42,CC,3
304,42,AA,4
309,42,CC,4
379,42,BB,3
441,42,CC,4
442,42,AA,4
481,42,AA,3
486,42,DD,4
41,43,CC,4
70,43,AA,5
75,43,AA,3
86,43,DD,2
95,43,DD,3
107,43,BB,2
140,43,DD,4
174,43,CC,3
175,43,CC,3
204,43,DD,4
356,43,BB,4
362,43,BB,4
404,43,CC,4
410,43,CC,3
465,43,DD,4
469,43,CC,3
14,44,AA,5
27,44,AA,3
37,44,DD,3
91,44,CC,4
97,44,DD,4
161,44,BB,4
167,44,DD,3
283,44,AA,4
291,44,BB,4
319,44,DD,4
330,44,DD,3
387,44,AA,3
395,44,CC,5
425,44,BB,3
432,44,AA,3
450,44,CC,5
3,45,AA,3
8,45,AA,4
10,45,CC,2
23,45,AA,2
45,45,CC,2
62,45,BB,4
73,45,BB,2
105,45,BB,6
125,45,DD,1
128,45,AA,4
228,45,AA,3
229,45,AA,3
249,45,AA,4
278,45,AA,4
281,45,CC,3
298,45,AA,5
436,45,CC,3
475,45,BB,5
484,45,CC,4
487,45,CC,3
497,45,DD,3
68,46,AA,4
71,46,BB,5
90,46,BB,3
178,46,AA,4
234,46,AA,3
272,46,CC,3
328,46,AA,5
353,46,DD,3
424,46,DD,3
467,46,DD,3
478,46,AA,3
479,46,DD,4
490,46,DD,4
11,47,BB,4
28,47,CC,3
31,47,AA,2
51,47,CC,3
58,47,CC,4
93,47,BB,2
150,47,DD,2
173,47,AA,5
203,47,BB,5
224,47,AA,5
233,47,DD,3
238,47,AA,3
293,47,DD,4
382,47,BB,2
391,47,BB,4
417,47,AA,5
439,47,BB,3
489,47,CC,3
46,48,CC,3
81,48,BB,2
119,48,CC,3
157,48,BB,4
267,48,DD,3
275,48,BB,1
312,48,DD,5
358,48,CC,5
373,48,DD,3
396,48,DD,4
435,48,DD,4
488,48,AA,4
494,48,CC,3
19,49,BB,4
59,49,BB,3
60,49,AA,2
61,49,DD,4
83,49,CC,2
117,49,AA,2
165,49,CC,4
199,49,DD,3
237,49,AA,3
274,49,AA,3
321,49,BB,4
322,49,BB,3
359,49,BB,4
392,49,CC,5
405,49,AA,5
407,49,BB,3
420,49,BB,2
429,49,CC,4
482,49,CC,2
84,36,CC,3
130,39,AA,1
155,38,CC,3
210,48,CC,4
216,45,CC,4
287,38,DD,4
297,48,AA,5
347,45,CC,3
381,37,BB,4
438,36,BB,4
470,43,AA,4
485,49,CC,5
