pid,d20wt,d20wt2,d20wt_org,d20wt_org2,KMPS10,d20CB7,d20CB8,d20CB60,d20CB61,d20CB62,d20M_fre39
10001,0.136185547,0.183347554,0.274957723,1.907603667, ,0,0,11,0,0,0
10001,0.136185547,0.183347554,0.274957723,1.907603667, ,0,0,0,0,0,0
10001,0.136185547,0.183347554,0.274957723,1.907603667, ,0,0,0,0,0,0
10002,0.129019172,0.161045602,0.224794277,1.258894053, ,0,0,0,0,0,0
10002,0.129019172,0.161045602,0.224794277,1.258894053, ,0,0,0,0,0,0
10002,0.129019172,0.161045602,0.224794277,1.258894053, ,0,0,0,0,0,0
10003,0.166529757, ,0.424264874, , ,0,0,0,0,0,0
10003,0.166529757, ,0.424264874, , ,0,0,0,0,0,0
10003,0.166529757, ,0.424264874, , ,0,0,0,0,0,0
10004,0.189377175, ,0.482883287, , ,0,0,0,0,0,0
10004,0.189377175, ,0.482883287, , ,0,0,10,0,0,0
10004,0.189377175, ,0.482883287, , ,0,0,0,0,0,0
20001,1.582599054,1.826189498,0.189836454, , ,0,0,0,0,0,0
20001,1.582599054,1.826189498,0.189836454, , ,0,0,0,0,0,0
20001,1.582599054,1.826189498,0.189836454, , ,0,0,0,0,0,0
20002,1.374715496, ,0.175136551, , ,0,0,0,0,0,0
20002,1.374715496, ,0.175136551, , ,0,0,0,0,0,0
20002,1.374715496, ,0.175136551, , ,0,0,0,0,0,0
20003,2.20073381, ,0.333392531, , ,0,0,10,10,0,0
20003,2.20073381, ,0.333392531, , ,0,0,0,0,0,0
20003,2.20073381, ,0.333392531, , ,0,0,0,0,0,0
30001,1.257104733,1.343792261,2.653770424, , ,0,0,0,0,0,0
30001,1.257104733,1.343792261,2.653770424, , ,0,0,0,0,0,0
30001,1.257104733,1.343792261,2.653770424, , ,0,0,0,0,0,0
30002,1.17058669,1.27079424,2.282673408,3.998906201, ,0,0,0,0,8,0
30002,1.17058669,1.27079424,2.282673408,3.998906201, ,0,0,0,0,0,0
30002,1.17058669,1.27079424,2.282673408,3.998906201, ,0,0,0,8,0,0
30003,1.336973157,1.389581039,2.318585784,9.049248304, ,0,0,0,0,0,0
30003,1.336973157,1.389581039,2.318585784,9.049248304, ,0,0,0,0,0,0
30003,1.336973157,1.389581039,2.318585784,9.049248304, ,0,0,0,11,0,0
30004,1.732102141,2.00066557,4.412000369, , ,0,0,0,0,0,0
30004,1.732102141,2.00066557,4.412000369, , ,0,0,0,0,0,0
30004,1.732102141,2.00066557,4.412000369, , ,0,0,0,0,0,0
40001,0.890242525, ,1.370911352, , ,0,0,10,0,0,0
40001,0.890242525, ,1.370911352, , ,0,0,10,10,10,0
40001,0.890242525, ,1.370911352, , ,0,0,10,0,0,0
40002,0.828973134,0.87258611,1.179206332,3.370273285, ,0,0,0,0,0,0
40002,0.828973134,0.87258611,1.179206332,3.370273285, ,0,0,0,0,0,0
40002,0.828973134,0.87258611,1.179206332,3.370273285, ,0,0,0,0,0,0
40003,0.946802862,0.956991974,1.197758308, , ,0,0,0,0,0,0
40003,0.946802862,0.956991974,1.197758308, , ,0,0,0,0,0,0
40003,0.946802862,0.956991974,1.197758308, , ,0,0,0,0,0,0
40004,0.914715891,1.359749137,1.211226243, , ,0,0,0,0,0,0
40004,0.914715891,1.359749137,1.211226243, , ,0,0,0,0,0,0
40004,0.914715891,1.359749137,1.211226243, , ,0,0,0,0,0,0
50001,0.810749887,0.869814024,1.288558098, , ,0,0,0,7,0,0
50001,0.810749887,0.869814024,1.288558098, , ,0,0,11,0,7,0
50001,0.810749887,0.869814024,1.288558098, , ,0,0,0,0,0,0
50002,0.754951438,0.833509654,1.108369164,3.167814556, ,0,0,0,0,0,0
50002,0.754951438,0.833509654,1.108369164,3.167814556, ,0,0,0,0,0,0
50002,0.754951438,0.833509654,1.108369164,3.167814556, ,0,0,0,0,0,0
50003,0.833037947,0.870069624,1.138465578, , ,0,0,19,0,19,0
50003,0.833037947,0.870069624,1.138465578, , ,0,0,19,19,0,0
50003,0.833037947,0.870069624,1.138465578, , ,0,0,19,0,0,0
50004,0.833037947,1.299329184,1.138465578, , ,0,0,0,0,0,0
50004,0.833037947,1.299329184,1.138465578, , ,0,0,0,0,0,0
50004,0.833037947,1.299329184,1.138465578, , ,0,0,19,0,0,0
60001,0.370662437,0.528504295,0.930372652, , ,0,0,0,0,8,0
60001,0.370662437,0.528504295,0.930372652, , ,0,0,11,11,8,0
60001,0.370662437,0.528504295,0.930372652, , ,0,0,0,11,11,0
60002,0.314697541,0.443730913,0.7482924,3.986388468, ,0,0,0,0,0,0
60002,0.314697541,0.443730913,0.7482924,3.986388468, ,0,0,8,0,0,0
60002,0.314697541,0.443730913,0.7482924,3.986388468, ,0,0,0,0,0,0
60003,0.347247492,0.469037538,0.768611368, , ,0,0,0,0,0,0
60003,0.347247492,0.469037538,0.768611368, , ,11,11,11,0,0,0
60003,0.347247492,0.469037538,0.768611368, , ,0,0,0,0,0,0
60004,0.347247492,0.469037538,0.768611368, , ,0,0,0,0,0,0
60004,0.347247492,0.469037538,0.768611368, , ,0,0,0,0,0,0
60004,0.347247492,0.469037538,0.768611368, , ,0,0,0,0,0,0
80001,5.735746153,5.922256009,3.688058802,8.484764496, ,0,0,0,0,0,0
80001,5.735746153,5.922256009,3.688058802,8.484764496, ,0,0,0,0,0,0
80001,5.735746153,5.922256009,3.688058802,8.484764496, ,0,0,0,0,0,0
90001,2.816880607,3.137024134,4.044564373,6.594071786, ,0,0,0,0,0,0
90001,2.816880607,3.137024134,4.044564373,6.594071786, ,0,0,0,0,0,0
90001,2.816880607,3.137024134,4.044564373,6.594071786, ,0,0,0,0,0,0
100001,2.025606597,2.111289896,2.799646935,8.650147908, ,0,0,0,0,0,0
100001,2.025606597,2.111289896,2.799646935,8.650147908, ,0,0,0,0,0,0
100001,2.025606597,2.111289896,2.799646935,8.650147908, ,0,0,0,0,0,0
100002,1.886197751,1.995137687,2.408150891,5.115257509, ,0,0,0,0,0,0
100002,1.886197751,1.995137687,2.408150891,5.115257509, ,0,0,0,0,0,0
100002,1.886197751,1.995137687,2.408150891,5.115257509, ,0,0,0,0,0,0
100003,2.790982668,3.150383985,4.654525952, , ,0,0,0,0,0,0
100003,2.790982668,3.150383985,4.654525952, , ,0,0,0,0,0,0
100003,2.790982668,3.150383985,4.654525952, , ,0,0,0,0,0,0
130001,0.935547331,1.061199284,0.139724197, , ,0,0,0,0,0,0
130001,0.935547331,1.061199284,0.139724197, , ,0,0,0,0,0,0
130001,0.935547331,1.061199284,0.139724197, , ,0,0,0,0,0,0
130002,0.88539164,0.931061601,0.123497238, , ,0,0,0,0,0,0
130002,0.88539164,0.931061601,0.123497238, , ,0,0,0,0,0,0
130002,0.88539164,0.931061601,0.123497238, , ,0,0,0,0,0,0
140001,2.877975265,2.914582799,0.37142874, , ,0,0,0,0,0,0
140001,2.877975265,2.914582799,0.37142874, , ,0,0,0,0,0,0
140001,2.877975265,2.914582799,0.37142874, , ,0,0,0,0,0,0
160001,1.376394692,1.485659968,1.981231091,4.315277716, ,0,0,0,0,0,0
160001,1.376394692,1.485659968,1.981231091,4.315277716, ,0,0,0,0,0,0
160001,1.376394692,1.485659968,1.981231091,4.315277716, ,0,0,0,0,0,0
160002,1.346071449,1.479807528,1.82771151,2.947883827, ,0,0,0,0,0,0
160002,1.346071449,1.479807528,1.82771151,2.947883827, ,0,0,0,0,0,0
160002,1.346071449,1.479807528,1.82771151,2.947883827, ,0,0,0,0,0,0
180001,5.847871714,5.922256009,6.827117582,9.441947507, ,0,0,0,0,0,0
