Date,Nickname,Movie_score,Title,Content,Is_spoiler,Helpful_vote_count,Not_helpful_vote_count,Total_vote_count
2019-10-23,zulfikaralarakhia,10,Fantastic movie,After T2 TDF is one the best terminator movie must watch,X,24,69,93
2019-10-23,imdb-ikysmoviedatabase,5,Okay movie,It was a okay watch better then the terminator genisys and salvation but I think the idea has expired of the terminator movies but really good action scenes in this film,X,32,55,87
2019-10-23,p-essu,10,Ignore negative reviews this one is a must watch,Seriously this is a genuine sequel to what we know terminator was ignore negative reviews .Goosebumps all the way now how it is called to put back life in a series that was going to die now handle with care the future sequel bring it on and don't take years as long as it is fresh complete the series.,X,122,212,334
2019-10-23,pardsingh,10,"Good Watch - Best Terminator since T2,","I went in not expecting much at all, After all the last few Terminators have not been great,

But i was pleasantly surprised, the move was fast, intense and characters were interesting. Arnold and Linda Hamiton were great, Davis was amazing.

Its a nice close off and finally we have a Good Terminator sequel to T2.",X,90,155,245
2019-10-23,law-93354,9,Wow a great terminator film,"At last a great terminator movie, t2 is one of my favourite film and after the last few terminators film I was hugely disappointed. Great to see linda Hamilton back . Worth a watch",X,91,127,218
2019-10-23,terminator-29098,10,Guys dont listen anyone best movie ever 10/10,After so many years we finally take the best movie ever TERMINATOR DARK FATE 😍😍😍,X,46,152,198
2019-10-23,samuelwhitacre,10,The Best Terminator Film in the Series Since Terminator 2: Judgment Day,"You know what? I wouldn't try to be upset or anything, but... who the hell's the man? It's actually a really damn good Terminator movie. One of the best in the franchise. Linda Hamilton returns to her character as Sarah Connor. The new villain in the series is called Rev-9 played by Gabriel Luna who hunts down Dani and a soldier-assassin cyborg from the future known as Grace (Mackenzie Davis). T-800 (Arnold Schwarzenegger) is named Carl as he recruits Sarah and Grace to help her change the future in order to defeat Rev-9.",O,46,120,166
2019-10-23,singhamitabh-08783,10,"Much better then anticpated, a true sequel to T2",It seems Terminator has made a return from the dead. A series that was possibly washed away has been revived.,X,27,97,124
2019-10-23,adrenilinmatt-56062,10,wow... it's actually good.,"Not nearly as good as t2, but compared to the trash we've had since, this is a really good little movie. It feels like terminator again rather than some horrific cg fest. The action is competent and its super cool to have Sarah back.

Still, I wish they'd stop trying so hard with the ""new"" terminator types. Trying to be too clever and it just doesn't pay off. There's nothing more scary than the normal terminators, they are the stuff of nightmares. We don't need this duplicating or nanotechnology to be cool.

Great movie, though.",X,65,126,191
2019-10-23,lindamerrel,10,Hes back,"Arnold is back as terminator, obviously this will never be as good as the originals but i really enioyed it.",X,29,100,129
2019-10-23,fuwipuj,10,Best Terminator Since Terminator 2,"Dark Fate maybe not good as the original Terminator & Terminator 2. But it is way better than Rise of the Machine, Salvation & Genesys. The action is great and CGI is better in the movie than than the trailers and promo. It's good to have Sarah Connor back. Don't listen to the negative reviews. Dark Fate is highly entertaining and the best terminator movie since terminator 2.",X,32,111,143
2019-10-23,rahmansadikur,1,Worst terminator movie of all time,"* Text: In the beginning of the movie without spoiling to much let's just say the people was right

He came the day after judgment day by the name carl AKA T800 Terminator the last of SKYNET kind. * * Till it got replace by the name of LEGION got its USB type of a thing and took skynet memory that don't even make sense it's like a virus took over another virus so they got a new resistance leader dani Ramos don't even make sense such terrible acting I'm not even mad about that, I'm so mad how they totally Mess it up this franchised even more such terrible writing even you got Linda Hamilton back as Connor back huge fan of her's by the way but even she couldn't save this franchise and that grace character trying to act tougher than Linda Hamilton that she never be so don't try it!!! * * As for James Cameron he just didn't care enough to show up on the set to busy with his avatar movies he was one of six writers so other people wrote the film to it's like he didn't care enough to consult the movie properly just gave a draft and said you sort it out and I come back and produce it. James Cameron made an alternate ending to Terminator 2 he should add that to the movie and totally disregard the other terminator movies like banned it. * * Arnold Schwarzenegger was good at T1 and T2 but he will always come to another terminator movie as long there's a pay check don't matter how bad that movie maybe he gone from a horror looking terminator to a saviour and sacrifice mankind to a delirious terminator to outright outer joke come on really you work for a curtain company that makes me laugh. * * I would say they got the right looking villain REV 9 kinda reminds me of a Hugh jackman they certainly got the right villain but let's face you never be a Robert Patrick T-100 top 100 villain that says a lot HOLLYWOOD has gone HOLLYWERID stop with rebooting old movies have some originality. * * I don't have a problem with female action hero's when it comes to existing story don't force it into our throats you have to do it organically I knew before the movie that you will kill off one it's main characters just to compliment the female actors and wipe out the main source SKYNET just for it to be replaced lol

I should of been the writer I could of done it much better so lazily done bad acting at times especially from dani Ramos especially somebody give her milk so she can bulk up like Linda Hamilton a totally Bad A warrior * * I'm not impressed with this movie hopefully they don't make that much money so they can stop it making it once it for all as a Terminator fan I find it quite exhausting. * Summary: The worst terminator movie of all time",O,64,54,118
2019-10-23,nowweplaythewaitinggame,9,For John,"I've just watched it and it's far better than trolls would have you believe, of course its not going to surpass T2 , but no confusing plot holes , all out violent action throughout , Linda is back, And the sequence at the start with a younger Sarah and John cgi was spot on and looked a lot better than the marvel younger versions of characters , if you're a fan go watch it you won't be disappointed coming from someone who has been let down by Genisis, salvation and rise of machines - Dark Fate has outdone them all",X,23,41,64
