Name,Win,Loss,Game,IP,K/9,BB/9,HR/9,ERA,FIP,WAR
Zack Wheeler,65,35,146,908,10.32,2.02,0.87,2.9,2.95,26.7
Logan Webb,64,46,158,963,8.44,1.98,0.61,3.21,2.92,22.9
Kevin Gausman,62,47,157,922,9.91,2.31,0.93,3.32,3.12,22.6
Dylan Cease,56,47,161,879,11.24,3.68,0.96,3.73,3.38,20.3
Corbin Burnes,51,32,136,821.1,10.09,2.47,0.89,2.91,3.15,20.1
Tarik Skubal,53,33,129,734.2,10.44,1.97,0.99,2.96,3.03,19.4
Max Fried,65,30,132,791.1,8.6,2.24,0.69,2.88,3.11,18.4
Aaron Nola,50,49,145,865,9.83,1.99,1.29,4.2,3.6,18.3
Framber Valdez,67,41,142,895.1,8.7,3.05,0.69,3.22,3.41,18.1
Sonny Gray,50,39,141,780,9.83,2.49,0.96,3.65,3.3,17.6
Carlos Rod?n,63,39,133,739.1,10.7,2.98,1.12,3.43,3.52,15.9
Gerrit Cole,52,25,113,686,10.77,2.2,1.15,3.15,3.26,15.7
Luis Castillo,51,51,152,883.2,9.22,2.74,1.09,3.53,3.72,15.5
Nathan Eovaldi,52,28,128,736.1,8.86,2.02,1.03,3.4,3.47,15.5
Ranger Su?rez,46,33,142,690,8.44,2.84,0.76,3.23,3.42,15.3
Sandy Alcantara,40,48,123,786.2,7.99,2.32,0.92,3.64,3.62,15
Pablo L?pez,46,37,130,737.2,9.69,2.29,1.07,3.61,3.48,14.9
Freddy Peralta,54,34,140,736.1,10.9,3.31,1.12,3.3,3.64,14.9
Logan Gilbert,47,36,145,830.1,9.53,1.95,1.19,3.58,3.52,14.8
Zac Gallen,60,43,148,851,9.3,2.75,1.05,3.69,3.64,14.7
Blake Snell,39,32,113,596,11.88,4.35,0.77,3.08,3.15,14.6
George Kirby,45,33,111,632.2,8.69,1.31,1.01,3.58,3.26,13.6
Chris Bassitt,64,44,153,880.1,8.65,2.75,1.04,3.66,3.89,13.5
Max Scherzer,46,23,105,600.2,10.49,2.07,1.33,3.21,3.6,12.9
Chris Sale,35,15,80,448.2,11.29,2.23,0.82,2.97,2.82,12.9
Shohei Ohtani,35,17,88,475.1,11.44,2.88,0.95,2.84,3.1,12.8
Cristopher S?nchez,30,21,103,530,8.51,2.17,0.76,3.28,3.18,12.6
Clayton Kershaw,47,20,96,516,9.05,2.22,0.94,3.02,3.33,12.6
Justin Verlander,39,29,100,573.2,8.36,2.38,0.93,3.29,3.56,12.4
Merrill Kelly,49,37,135,793.2,8.21,2.7,1.09,3.66,3.87,12.3
Brady Singer,46,50,146,787.1,8.48,2.86,1.05,4.23,3.95,12.3
Jacob deGrom,26,14,64,365,11.93,1.48,1.06,2.47,2.57,12.3
Michael Wacha,50,32,135,719.2,7.69,2.4,1.1,3.76,3.93,12
Brandon Woodruff,34,17,80,464.1,10.82,2.21,1.05,2.77,3.12,11.5
Jes?s Luzardo,37,39,118,617.2,10.05,3.16,1.12,4.3,3.7,11.5
Nick Pivetta,48,46,160,804.2,10.01,3.06,1.39,4,4.04,11.3
Tyler Glasnow,28,18,76,436,11.68,2.95,1.01,3.26,3.06,11.3
Garrett Crochet,26,24,130,410.1,11.73,2.61,0.99,3.05,2.92,11.3
Mitch Keller,40,59,148,804.2,8.39,2.91,1.03,4.41,3.97,11.2
Spencer Strider,39,23,89,449,12.45,3.17,1.02,3.73,3.07,11.1
Joe Ryan,46,35,114,636.1,10.04,2.08,1.41,3.8,3.83,11.1
Yu Darvish,43,37,114,646,9.46,2.27,1.28,3.97,3.85,11
Zach Eflin,39,34,111,595.2,8.07,1.39,1.24,4,3.72,11
Jordan Montgomery,33,31,119,641.1,7.98,2.51,1.01,3.99,3.78,10.9
Shane Bieber,31,20,76,472,9.4,2.08,0.93,3.17,3.18,10.7
Paul Skenes,21,13,54,314.2,10.84,2.12,0.6,2,2.43,10.4
Jos? Berr?os,60,44,158,910,8.16,2.47,1.31,3.99,4.25,10.4
Justin Steele,32,22,102,506.2,9.18,2.75,0.91,3.3,3.49,10.3
Trevor Rogers,23,34,94,489,8.82,3.29,0.74,3.61,3.47,10.2
Joe Musgrove,37,24,98,559.1,9.41,2.25,1.09,3.2,3.68,10.2
Charlie Morton,54,45,156,827,10,3.7,1.13,4.21,4.1,10
Hunter Brown,36,30,99,526.1,9.92,3.03,1.04,3.45,3.61,10
Hunter Greene,25,29,90,489.2,11.21,3.25,1.29,3.66,3.86,9.9
Julio Ur?as,48,18,84,478,9,1.94,1.24,3.07,3.72,9.6
Emmanuel Clase,19,23,345,336.2,8.77,1.71,0.35,1.84,2.37,9.6
Eduardo Rodriguez,43,34,113,599.2,8.76,3.11,1.14,4.34,3.96,9.4
Drew Rasmussen,29,17,117,443,8.21,2.19,0.77,2.8,3.23,9.3
Michael King,30,27,150,463.1,10.28,3.09,0.93,3.01,3.41,9.3
Jameson Taillon,52,36,141,765,7.6,2.06,1.42,4.01,4.29,9.2
Marcus Stroman,39,40,124,648,7.43,2.89,0.93,3.82,3.94,9.1
Cole Ragans,21,20,82,379.2,10.74,3.39,0.83,3.7,3.2,9.1
Miles Mikolas,41,50,139,771.1,6.29,1.75,1.27,4.48,4.29,8.9
Yusei Kikuchi,39,43,157,774.1,9.79,3.31,1.45,4.23,4.29,8.8
Tyler Anderson,40,45,145,802.1,7.15,2.98,1.27,4.09,4.51,8.8
Sean Manaea,40,35,144,694.2,9.5,2.67,1.31,4.26,3.99,8.8
Lucas Giolito,40,37,120,669.2,9.45,3.25,1.46,4.21,4.35,8.7
Seth Lugo,39,28,193,609.2,8.41,2.6,1.14,3.51,3.92,8.7
Patrick Sandoval,18,36,88,460,8.88,4.01,0.76,3.8,3.75,8.7
Bailey Ober,30,30,114,611.2,8.81,1.94,1.52,4.12,4.16,8.6
Kyle Freeland,32,57,134,721,6.68,2.45,1.39,4.82,4.62,8.5
Tyler Mahle,26,20,79,420.2,9.33,3.08,1.07,3.64,3.75,8.5
Jack Flaherty,40,33,113,577.1,10.01,3.29,1.23,4.08,4,8.5
Kyle Gibson,43,37,129,723.2,7.67,3.01,1.17,4.64,4.28,8.4
Nestor Cortes,30,23,101,523.1,9.01,2.44,1.34,3.53,3.98,8.3
Alex Cobb,24,19,77,410.2,8.55,2.54,0.75,3.75,3.29,8.3
MacKenzie Gore,26,41,105,532.1,9.96,3.77,1.17,4.19,4.02,8.1
