ERA,HR9,BB9,SO9
5.49,1.8,4.1,7.3
4.14,1.3,4.6,10
2.72,1.2,3.7,13.4
2.68,0.9,3.6,11.2
6.28,0.6,3.8,11.3
3.45,2.3,0,6.3
6.85,0.8,2.7,10.3
6.46,2.3,4.7,7
4.7,1,2.6,7.6
3.04,0.3,2,5.1
4.5,1.6,1,9
3.21,0.8,3.3,9.5
4.65,1.1,3.5,8.6
1.38,0.7,3.1,13.5
2.51,0.6,1.5,10
6.08,2.1,3,6.5
6.63,2.3,3.1,6.8
5.2,1,2.3,8.5
3.06,0.8,2.3,9.2
5.17,1,4,7.6
0.76,0.4,1.9,9.5
5.77,1.3,3.7,6.3
3.8,1.1,4.2,7
3.18,0,5.8,7.4
3.83,0.7,5.2,10.8
1.38,1.4,2.8,6.2
6.43,1.3,6.4,7.7
5.61,1.8,2.1,8.8
2.02,0.5,6.8,8.1
4.66,1.9,1.9,5.6
4.89,0.8,4.9,11.6
5.48,0.8,4.2,8.4
3.64,1.5,2.6,7.3
4.95,1.4,4.1,8.6
3.92,1.3,2.7,8.3
3.69,0.8,5.1,9.7
0.94,0.6,3.6,17.4
3.06,1.1,2.2,6.8
1.15,0.2,2.1,10.8
6.27,1,4.6,9.6
5.06,1.1,5.6,9.6
3.6,1.3,2.4,7.8
2.48,0.6,2.2,9.6
3.39,1,2.6,8.6
3.04,0.8,3.1,9.2
5.26,1.1,5.3,10.5
3.77,1.1,2.5,7.3
3.46,1.4,3.6,6.9
4.03,0.5,2.9,8.4
5.06,0.9,3.4,9.2
4.7,2.3,4.7,9.4
5.09,1.6,1.6,5.5
4.05,1.4,0,9.5
5.52,1.8,5.5,8
5.45,1.4,3.2,9.3
4.78,1.7,2.3,8.2
3.05,0.8,2.3,8.5
5.29,1.6,2.8,12.1
3.57,0.2,3.8,15.6
5.03,0.5,3.7,7.7
7.29,0.9,3.9,7.7
1.38,0,3.5,7.6
3.72,0.7,3.9,9.1
3.14,0.6,3.1,11.3
5.16,1.8,3.9,10
4.7,1.4,3.7,6.1
4.03,1.6,4,8.1
4.26,1,3,10.7
3.22,0.8,2,6.9
6.82,0,4.5,11.3
2.77,1.2,1.4,6.9
3.49,1,3.1,9.3
9.58,4.4,5.2,8.7
4.5,1.3,5.5,11.3
5.06,1.7,5.1,10.7
4.52,1.7,2.8,9.4
1.51,0.4,1.1,7.7
7.06,1.2,4.6,5.8
4.35,0.9,2.6,7.8
5.35,1.8,4,6.6
3.04,1.4,2.3,10.1
3.83,1.1,3.4,7.2
4.04,1,3.7,10.9
2.97,0.8,4.1,12.4
2.04,0,5.1,16
2.45,0,6.1,16.3
3.51,0.7,3.5,7
1.55,0.3,2.8,11.2
4.02,1.4,2.9,4.5
7.4,2.6,3,5.2
3.89,1.2,3.4,10
2.71,0.7,2.6,7
6.15,1.8,4,10.1
3.15,0.4,2.4,8.3
3,1.5,4.5,10.5
3.88,1.3,3.7,7.6
3.15,0.7,2.4,8.2
2.78,0.9,2.5,10
11.7,1.8,9.9,9.9
6.59,1.4,4.2,7.2
4.89,1.4,2.7,6.3
3.86,0.6,2.8,9.4
5.16,1.5,2.9,8.9
2.08,0.7,2.8,8
2.91,0.8,1.9,10.9
5.48,2,2.3,7
5.68,1.4,2.4,7.1
3.63,0.4,4.8,8.1
4.04,1.5,2.1,8.7
3.6,0.9,9.9,8.1
4.89,0.9,4.4,12.3
3.99,1.2,4.5,11.3
2.86,0.9,2,6.1
4.08,1.5,3.1,5.6
4.36,1,3.1,9.7
6.54,0.6,3.1,8.8
7.38,1.1,4.2,7.2
4.67,1,2.6,8.8
2.66,0.4,3.5,7.7
3.31,0,5.5,7.2
4.72,1.3,1.7,7.3
4.38,1,3.4,11.4
5.08,1.3,2.4,8.8
2.01,0.4,3.8,13.5
4.22,0.8,7.3,11
7.94,0.8,10.3,8.7
2.18,0.9,5.7,12.2
4.33,1,3.7,9.3
2.4,0.4,3.6,11.8
2.77,1.4,6.2,6.9
3.18,0.8,2.4,5.6
2.06,0.7,3.4,11.9
3.69,0.3,4.8,6.8
3.36,0.9,1.3,9.1
3.31,0.9,2.9,7
5.46,1.9,2.7,6.6
2.69,0.6,2.5,8.1
5.28,0,5.3,13.3
2.08,0.9,4.4,10.8
6.75,3.4,10.1,11
2.08,0.4,3.7,10
6.39,1.4,9.2,6.4
3.91,1.5,3,7.8
4.91,0.8,4.5,8.2
2.48,0.5,3.5,10.4
3.24,1.3,3,8.6
4.39,0.8,4.5,8.8
