Date,Sentiment,Sales
2023-01-01,0.52,349.19
2023-01-02,0.52,359.26
2023-01-03,0.59,364.37
2023-01-04,0.66,353.15
2023-01-05,0.6,356.72
2023-01-06,0.62,331.91
2023-01-07,0.72,384
2023-01-08,0.69,388.34
2023-01-09,0.63,444.41
2023-01-10,0.67,400.7
2023-01-11,0.61,420.38
2023-01-12,0.59,459.79
2023-01-13,0.6,428.12
2023-01-14,0.47,416.41
2023-01-15,0.44,433.95
2023-01-16,0.47,417.41
2023-01-17,0.42,395.47
2023-01-18,0.45,405.01
2023-01-19,0.37,349.27
2023-01-20,0.32,323.3
2023-01-21,0.44,332.2
2023-01-22,0.35,305.65
2023-01-23,0.35,336.94
2023-01-24,0.28,296.09
2023-01-25,0.33,268.99
2023-01-26,0.38,307.83
2023-01-27,0.33,271.26
2023-01-28,0.43,259.73
2023-01-29,0.41,257.5
2023-01-30,0.45,266.61
2023-01-31,0.47,302.04
2023-02-01,0.62,281.43
2023-02-02,0.56,310.05
2023-02-03,0.54,299.79
2023-02-04,0.65,335.35
2023-02-05,0.57,342.35
2023-02-06,0.65,425.07
2023-02-07,0.55,374.92
2023-02-08,0.58,364.54
2023-02-09,0.65,434.38
2023-02-10,0.67,382.38
2023-02-11,0.62,428
2023-02-12,0.58,384.05
2023-02-13,0.55,414.25
2023-02-14,0.46,435.59
2023-02-15,0.46,441.21
2023-02-16,0.45,397.69
2023-02-17,0.49,371.01
2023-02-18,0.43,351.12
2023-02-19,0.3,322.23
2023-02-20,0.39,357.85
2023-02-21,0.34,319.66
2023-02-22,0.32,349.83
2023-02-23,0.38,299.89
2023-02-24,0.41,237.13
2023-02-25,0.42,289.78
2023-02-26,0.35,264.84
2023-02-27,0.4,280.05
2023-02-28,0.46,318.69
2023-03-01,0.52,289.24
2023-03-02,0.48,300.16
2023-03-03,0.52,267.18
2023-03-04,0.51,304.73
2023-03-05,0.53,326.38
2023-03-06,0.65,369.61
2023-03-07,0.7,339.45
2023-03-08,0.64,353.26
2023-03-09,0.7,366.31
2023-03-10,0.67,339.59
2023-03-11,0.61,444.97
2023-03-12,0.65,459.61
2023-03-13,0.69,437.7
2023-03-14,0.59,468.78
2023-03-15,0.64,439.09
2023-03-16,0.4,408.48
2023-03-17,0.54,416.1
2023-03-18,0.47,445.7
2023-03-19,0.42,396.7
2023-03-20,0.42,421.84
2023-03-21,0.29,305.09
2023-03-22,0.36,369.04
2023-03-23,0.38,346
2023-03-24,0.42,300.2
2023-03-25,0.32,285.42
2023-03-26,0.32,252.74
2023-03-27,0.35,306.77
2023-03-28,0.43,309.38
2023-03-29,0.43,315.01
2023-03-30,0.41,246.65
2023-03-31,0.49,251.82
2023-04-01,0.5,267.59
2023-04-02,0.58,312.01
2023-04-03,0.53,332.06
2023-04-04,0.57,339.12
2023-04-05,0.59,358.5
2023-04-06,0.56,354.44
2023-04-07,0.66,375.49
2023-04-08,0.66,373.96
2023-04-09,0.65,390.04
