월,시간대,기온,습도,풍속,자외선,강우량,강설량,임대_건수
01월,1시,-3.2,40,0.5,0,0,0,90
01월,2시,-3.3,41,0.7,0,0,0,54
01월,3시,-3.7,42,0.9,0,0,0,41
01월,4시,-4,44,1,0,0,0,43
01월,5시,-4.2,53,1.1,0,0,0,73
01월,6시,-4.4,54,0.8,0,0,0,100
01월,7시,-4.5,51,1.1,0,0,0,108
01월,8시,-4.7,56,1.1,0,0,0,115
01월,9시,-5,55,1,0,0,0,126
01월,10시,-4.3,39,0.7,0.15,0,0,154
01월,11시,-1.6,32,0.8,0.53,0,0,164
01월,12시,0.1,27,2.2,0.84,0,0,145
01월,13시,1.5,20,2.8,1.03,0,0,145
01월,14시,2.4,22,2.3,1.1,0,0,142
01월,15시,3.7,24,2.1,1.01,0,0,150
01월,16시,3,27,2.9,0.78,0,0,134
01월,17시,3,28,2.5,0.51,0,0,135
01월,18시,1.8,33,3.3,0.18,0,0,132
01월,19시,0.8,34,1.9,0.01,0,0,152
01월,20시,-0.1,39,1.3,0,0,0,144
01월,21시,-0.3,40,1.2,0,0,0,134
01월,22시,-0.9,44,1.2,0,0,0,123
01월,23시,-1.3,48,0.8,0,0,0,109
01월,24시,-1.6,51,0.7,0,0,0,109
01월,1시,-1.8,54,1.1,0,0,0,60
01월,2시,-2.1,56,0.8,0,0,0,43
01월,3시,-2.3,62,0.9,0,0,0,32
01월,4시,-2.5,62,0.4,0,0,0,41
01월,5시,-2.7,67,0.5,0,0,0,78
01월,6시,-3.1,67,0.6,0,0,0,95
01월,7시,-3.2,67,0.4,0,0,0,112
01월,8시,-3.2,69,0.5,0,0,0,122
01월,9시,-3.4,71,0.8,0,0,0,128
01월,10시,-3.1,66,0.2,0.12,0,0,153
01월,11시,-1.4,50,1.9,0.38,0,0,141
01월,12시,-0.4,40,2.3,0.66,0,0,132
01월,13시,0.9,29,1.9,0.88,0,0,146
01월,14시,1.5,23,3.6,0.95,0,0,116
