day,visitors,weekday
2020-01-01,455,4
2020-01-02,450,5
2020-01-03,458,6
2020-01-04,567,7
2020-01-05,550,1
2020-01-06,451,2
2020-01-07,469,3
2020-01-08,462,4
2020-01-09,450,5
2020-01-10,461,6
2020-01-11,551,7
2020-01-12,551,1
2020-01-13,459,2
2020-01-14,438,3
2020-01-15,440,4
2020-01-16,453,5
2020-01-17,449,6
2020-01-18,562,7
2020-01-19,551,1
2020-01-20,446,2
2020-01-21,475,3
2020-01-22,459,4
2020-01-23,462,5
2020-01-24,448,6
2020-01-25,557,7
2020-01-26,564,1
2020-01-27,452,2
2020-01-28,468,3
2020-01-29,458,4
2020-01-30,462,5
2020-01-31,459,6
2020-02-01,584,7
2020-02-02,566,1
2020-02-03,456,2
2020-02-04,475,3
2020-02-05,455,4
2020-02-06,470,5
2020-02-07,449,6
2020-02-08,555,7
2020-02-09,571,1
2020-02-10,477,2
2020-02-11,472,3
2020-02-12,469,4
2020-02-13,468,5
2020-02-14,456,6
2020-02-15,564,7
2020-02-16,567,1
2020-02-17,483,2
2020-02-18,476,3
2020-02-19,455,4
2020-02-20,476,5
2020-02-21,470,6
2020-02-22,567,7
2020-02-23,580,1
2020-02-24,485,2
2020-02-25,484,3
2020-02-26,467,4
2020-02-27,472,5
2020-02-28,479,6
2020-02-29,586,7
2020-03-01,571,1
2020-03-02,474,2
2020-03-03,465,3
2020-03-04,465,4
2020-03-05,485,5
2020-03-06,491,6
2020-03-07,577,7
2020-03-08,588,1
2020-03-09,481,2
2020-03-10,472,3
2020-03-11,482,4
2020-03-12,494,5
2020-03-13,478,6
2020-03-14,594,7
2020-03-15,553,1
2020-03-16,487,2
2020-03-17,480,3
2020-03-18,476,4
2020-03-19,480,5
2020-03-20,460,6
2020-03-21,577,7
2020-03-22,583,1
2020-03-23,494,2
2020-03-24,475,3
2020-03-25,472,4
2020-03-26,475,5
2020-03-27,489,6
2020-03-28,583,7
2020-03-29,575,1
2020-03-30,485,2
2020-03-31,481,3
2020-04-01,490,4
2020-04-02,473,5
