max_speed,fourball,strikeout,era
158,5,7,3.37
149,5,4,3.01
153,7,0,3.83
136,5,6,3.44
140,7,4,4.16
135,2,0,4.01
161,3,1,3.68
145,5,0,4.05
162,7,0,4.04
139,3,5,3.1
139,1,8,2.69
146,2,9,2.55
145,4,7,2.82
139,0,2,3.91
152,2,1,3.79
164,1,4,3.34
155,6,9,2.48
138,3,10,2.36
163,3,6,3.51
155,3,4,2.69
153,2,9,2.98
156,7,9,2.35
156,1,1,2.87
146,0,6,2.94
155,0,2,2.55
135,2,9,1.86
157,7,0,3.49
157,0,4,3.23
158,1,3,3.85
159,6,9,2.84
151,6,9,2.42
146,2,8,2.6
140,3,1,4.29
152,4,8,2.5
145,1,7,2.08
136,4,4,3.96
152,4,4,3.1
165,0,4,3.45
135,6,5,3.98
156,5,4,3.44
158,2,5,2.23
156,4,2,3.06
135,7,0,5.01
159,1,7,1.94
148,2,3,3.83
160,0,10,2.1
151,1,5,2.72
165,7,2,4.41
163,0,3,3.72
153,7,7,3.18
142,0,1,3.43
136,6,6,3.52
145,3,0,4.59
144,7,6,3.92
151,2,9,2.9
140,0,2,2.5
135,6,0,3.63
139,4,6,2.93
136,0,9,2.69
157,6,1,3.56
164,7,6,3.12
156,3,3,3.33
153,1,5,2.5
144,5,5,2.41
139,7,5,3.12
165,5,4,3.05
140,5,3,4.25
152,3,0,3.02
155,4,9,2.52
152,3,9,1.67
153,0,9,2.82
149,4,9,1.68
162,7,2,3.24
144,7,9,2.37
152,7,10,2.14
159,0,2,2.71
152,2,3,2.39
165,4,7,2.92
165,3,5,2.14
141,4,4,3.11
152,1,8,2.36
159,2,9,2.32
142,6,5,3.41
148,2,2,3.38
159,7,2,3.97
150,2,8,1.96
157,7,6,3.09
152,4,3,2.65
158,5,5,2.27
162,5,5,3.53
148,1,8,1.8
147,5,5,2.88
138,7,0,3.88
148,6,9,2.05
138,1,0,3.3
144,5,7,2.71
151,5,3,3.64
164,4,3,3.73
148,7,2,3.98
146,7,8,2.9
