date,weekday,price,q_sales
2021-02-05,Fri,25,65
2021-02-06,Sat,25,72
2021-02-07,Sun,22,78
2021-02-08,Mon,22,73
2021-02-09,Tue,22,70
2021-02-10,Wed,22,68
2021-02-11,Thu,24,65
2021-02-12,Fri,24,63
2021-02-13,Sat,24,77
2021-02-14,Sun,25,74
2021-02-15,Mon,25,64
2021-02-16,Tue,25,62
2021-02-17,Wed,20,76
2021-02-18,Thu,20,75
2021-02-19,Fri,20,75
2021-02-20,Sat,21,80
2021-02-21,Sun,21,83
2021-02-22,Mon,21,75
2021-02-23,Tue,20,77
2021-02-24,Wed,20,77
2021-02-25,Thu,24,62
2021-02-26,Fri,24,67
2021-02-27,Sat,24,73
2021-02-28,Sun,25,75
2021-03-01,Mon,25,63
2021-03-02,Tue,25,64
2021-03-03,Wed,22,69
2021-03-04,Thu,22,71
2021-03-05,Fri,22,70
2021-03-06,Sat,24,73
