obs,p1,p2,q1,q2
1,18,20,695,35
2,21,13,87,643
3,15,17,695,35
4,19,13,196,534
5,22,13,55,675
6,24,14,35,695
7,16,11,276,454
8,23,19,365,365
9,16,18,695,35
10,17,11,196,534
11,19,17,534,196
12,21,11,35,695
13,19,11,87,643
14,25,17,87,643
15,23,21,534,196
16,19,19,643,87
17,24,11,8,722
18,23,17,196,534
19,17,17,643,87
20,19,15,365,365
21,19,12,133,597
22,20,13,133,597
23,24,19,276,454
24,15,11,365,365
25,17,16,597,133
26,24,19,276,454
27,21,12,55,675
28,16,15,597,133
29,25,21,365,365
30,25,13,13,717
31,16,12,365,365
32,21,21,643,87
33,20,19,597,133
34,20,20,643,87
35,25,19,196,534
36,24,18,196,534
37,17,11,196,534
38,24,13,21,709
39,24,17,133,597
40,20,13,133,597
41,20,14,196,534
42,18,21,709,21
43,17,19,695,35
44,25,12,8,722
45,22,18,365,365
46,21,15,196,534
47,16,21,722,8
48,20,21,675,55
49,19,15,365,365
50,18,19,675,55
51,20,19,597,133
52,19,15,365,365
53,15,11,365,365
54,22,16,196,534
55,18,16,534,196
56,16,18,695,35
57,16,13,454,276
58,25,21,365,365
59,25,12,8,722
60,15,17,695,35
61,22,20,534,196
62,24,18,196,534
63,16,11,276,454
64,16,14,534,196
65,20,18,534,196
66,19,16,454,276
67,25,17,87,643
68,18,18,643,87
69,18,17,597,133
70,16,17,675,55
71,22,13,55,675
72,21,19,534,196
73,20,11,55,675
74,15,20,722,8
75,23,14,55,675
76,18,16,534,196
77,18,14,365,365
78,23,14,55,675
79,19,17,534,196
80,25,16,55,675
81,24,21,454,276
82,22,11,21,709
83,16,15,597,133
84,25,16,55,675
85,21,21,643,87
86,21,20,597,133
87,17,12,276,454
88,25,13,13,717
89,16,13,454,276
90,16,15,597,133
91,19,14,276,454
92,16,19,709,21
93,21,19,534,196
94,22,11,21,709
95,17,16,597,133
96,25,17,87,643
97,15,16,675,55
98,24,11,8,722
99,19,14,276,454
100,19,17,534,196
101,19,21,695,35
102,15,12,454,276
103,16,15,597,133
104,16,16,643,87
105,20,13,133,597
106,23,12,21,709
107,25,11,5,725
108,23,14,55,675
109,20,12,87,643
110,18,12,196,534
111,15,20,722,8
112,15,19,717,13
113,21,19,534,196
114,21,19,534,196
115,16,14,534,196
116,19,18,597,133
117,25,13,13,717
118,24,13,21,709
119,15,15,643,87
120,17,18,675,55
121,19,19,643,87
122,16,14,534,196
123,19,18,597,133
124,25,13,13,717
125,19,21,695,35
126,15,13,534,196
127,22,20,534,196
128,19,13,196,534
129,16,14,534,196
130,19,16,454,276
131,20,20,643,87
132,19,18,597,133
133,21,16,276,454
134,24,19,276,454
135,15,18,709,21
136,23,16,133,597
137,17,19,695,35
138,18,20,695,35
139,24,17,133,597
140,15,19,717,13
141,23,21,534,196
142,18,19,675,55
143,21,17,365,365
144,17,20,709,21
145,17,16,597,133
146,16,15,597,133
147,15,11,365,365
148,23,19,365,365
149,18,14,365,365
150,25,21,365,365
151,18,12,196,534
152,20,11,55,675
153,17,17,643,87
154,18,21,709,21
155,15,14,597,133
156,20,21,675,55
157,24,18,196,534
158,21,13,87,643
159,18,16,534,196
160,17,13,365,365
161,18,15,454,276
162,15,14,597,133
163,21,12,55,675
164,16,20,717,13
165,21,21,643,87
166,20,14,196,534
167,20,18,534,196
168,20,20,643,87
169,24,17,133,597
170,19,11,87,643
171,22,12,35,695
172,21,15,196,534
173,25,20,276,454
174,22,16,196,534
175,21,16,276,454
176,19,14,276,454
177,15,15,643,87
178,18,18,643,87
179,21,18,454,276
180,15,12,454,276
181,21,11,35,695
182,21,14,133,597
183,20,16,365,365
184,24,13,21,709
185,17,17,643,87
186,23,14,55,675
187,16,15,597,133
188,22,15,133,597
189,22,16,196,534
190,15,13,534,196
191,23,11,13,717
192,21,17,365,365
193,25,19,196,534
194,16,13,454,276
195,23,16,133,597
196,25,13,13,717
197,23,20,454,276
198,18,15,454,276
199,24,18,196,534
200,24,19,276,454
201,18,17,597,133
202,25,13,13,717
203,19,12,133,597
204,19,17,534,196
205,20,11,55,675
206,17,17,643,87
207,18,17,597,133
208,23,16,133,597
209,15,16,675,55
210,17,13,365,365
211,20,15,276,454
212,23,12,21,709
213,23,14,55,675
214,19,14,276,454
215,22,21,597,133
216,20,18,534,196
217,19,21,695,35
218,16,18,695,35
219,17,11,196,534
220,16,13,454,276
221,16,14,534,196
222,16,17,675,55
223,16,15,597,133
224,24,15,55,675
225,20,11,55,675
226,24,12,13,717
227,22,12,35,695
228,25,12,8,722
229,22,15,133,597
230,19,17,534,196
231,15,17,695,35
232,19,14,276,454
233,16,11,276,454
234,17,13,365,365
235,22,17,276,454
236,22,18,365,365
237,21,14,133,597
238,25,17,87,643
239,24,21,454,276
240,22,20,534,196
241,20,15,276,454
242,23,21,534,196
243,17,14,454,276
244,16,17,675,55
245,24,14,35,695
246,21,20,597,133
247,22,18,365,365
248,16,13,454,276
249,16,12,365,365
250,20,15,276,454
251,15,20,722,8
252,16,12,365,365
253,24,15,55,675
254,16,17,675,55
255,19,15,365,365
256,20,12,87,643
257,25,14,21,709
258,20,20,643,87
259,15,21,725,5
260,25,21,365,365
261,18,20,695,35
262,25,12,8,722
263,16,18,695,35
264,25,20,276,454
265,21,11,35,695
266,20,21,675,55
267,15,14,597,133
268,18,18,643,87
269,17,12,276,454
270,25,21,365,365
271,17,19,695,35
272,24,20,365,365
273,24,12,13,717
274,15,12,454,276
275,22,15,133,597
276,19,11,87,643
277,18,17,597,133
278,25,20,276,454
279,15,18,709,21
280,15,12,454,276
281,20,17,454,276
282,23,21,534,196
283,19,17,534,196
284,21,17,365,365
285,25,11,5,725
286,22,12,35,695
287,17,17,643,87
288,18,17,597,133
289,22,21,597,133
290,22,14,87,643
291,24,11,8,722
292,25,14,21,709
293,22,11,21,709
294,25,12,8,722
295,20,19,597,133
296,16,18,695,35
297,17,18,675,55
298,25,20,276,454
299,21,14,133,597
300,25,17,87,643
301,21,19,534,196
302,23,11,13,717
303,17,17,643,87
304,17,14,454,276
305,15,11,365,365
306,17,12,276,454
307,22,12,35,695
308,21,20,597,133
309,20,14,196,534
310,17,12,276,454
311,20,21,675,55
312,18,17,597,133
313,20,16,365,365
314,21,17,365,365
315,15,12,454,276
316,15,20,722,8
317,21,15,196,534
318,24,19,276,454
319,23,12,21,709
320,19,15,365,365
321,25,11,5,725
322,16,17,675,55
323,16,15,597,133
324,16,16,643,87
325,24,16,87,643
326,17,12,276,454
327,23,12,21,709
328,20,11,55,675
329,18,19,675,55
330,23,17,196,534
331,25,13,13,717
332,21,13,87,643
333,20,20,643,87
334,18,12,196,534
335,25,20,276,454
336,20,13,133,597
337,16,21,722,8
338,21,19,534,196
339,21,14,133,597
340,16,14,534,196
341,21,12,55,675
342,19,18,597,133
343,17,15,534,196
344,15,18,709,21
345,25,14,21,709
346,21,20,597,133
347,24,17,133,597
348,17,21,717,13
349,21,20,597,133
350,24,17,133,597
351,22,17,276,454
352,21,13,87,643
353,20,11,55,675
354,21,21,643,87
355,25,21,365,365
356,21,21,643,87
357,20,16,365,365
358,23,21,534,196
359,20,19,597,133
360,20,21,675,55
361,21,12,55,675
362,25,20,276,454
363,17,18,675,55
364,18,20,695,35
365,18,16,534,196
366,15,16,675,55
367,17,11,196,534
368,15,19,717,13
369,17,13,365,365
370,21,18,454,276
371,20,11,55,675
372,15,16,675,55
373,24,21,454,276
374,20,17,454,276
375,24,12,13,717
376,16,19,709,21
377,21,20,597,133
378,24,12,13,717
379,16,13,454,276
380,23,20,454,276
381,22,12,35,695
382,18,12,196,534
383,17,14,454,276
384,16,15,597,133
385,23,18,276,454
386,25,13,13,717
387,16,16,643,87
388,16,17,675,55
389,24,18,196,534
390,22,20,534,196
391,21,21,643,87
392,19,21,695,35
393,16,18,695,35
394,23,13,35,695
395,24,17,133,597
396,21,18,454,276
397,25,20,276,454
398,20,11,55,675
399,24,17,133,597
400,24,13,21,709
401,19,14,276,454
402,23,19,365,365
403,19,13,196,534
404,16,21,722,8
405,17,19,695,35
406,22,17,276,454
407,19,17,534,196
408,17,15,534,196
409,24,18,196,534
410,24,15,55,675
411,25,13,13,717
412,23,11,13,717
413,24,13,21,709
414,16,12,365,365
415,23,11,13,717
416,21,16,276,454
417,18,11,133,597
418,25,19,196,534
419,19,15,365,365
420,19,12,133,597
421,16,13,454,276
422,21,21,643,87
423,15,20,722,8
424,25,11,5,725
425,15,20,722,8
426,18,13,276,454
427,24,16,87,643
428,20,12,87,643
429,16,15,597,133
430,15,13,534,196
431,15,17,695,35
432,19,19,643,87
433,16,20,717,13
434,20,20,643,87
435,18,13,276,454
436,15,15,643,87
437,23,18,276,454
438,16,15,597,133
439,19,18,597,133
440,24,16,87,643
441,25,21,365,365
442,23,21,534,196
443,19,19,643,87
444,20,14,196,534
445,23,15,87,643
446,16,15,597,133
447,21,12,55,675
448,23,20,454,276
449,20,12,87,643
450,18,21,709,21
451,19,15,365,365
452,20,21,675,55
453,25,18,133,597
454,18,15,454,276
455,15,12,454,276
456,15,21,725,5
457,24,17,133,597
458,25,13,13,717
459,24,12,13,717
460,18,21,709,21
461,18,18,643,87
462,15,16,675,55
463,20,18,534,196
464,22,11,21,709
465,16,12,365,365
466,21,11,35,695
467,22,12,35,695
468,16,20,717,13
469,21,21,643,87
470,15,11,365,365
471,15,19,717,13
472,22,17,276,454
473,18,14,365,365
474,22,18,365,365
475,22,12,35,695
476,22,16,196,534
477,22,14,87,643
478,24,16,87,643
479,16,17,675,55
480,24,14,35,695
481,25,12,8,722
482,15,11,365,365
483,17,17,643,87
484,18,20,695,35
485,17,13,365,365
486,16,15,597,133
487,17,13,365,365
488,19,13,196,534
489,22,17,276,454
490,24,15,55,675
491,22,19,454,276
492,22,12,35,695
493,16,21,722,8
494,16,14,534,196
495,22,20,534,196
496,24,14,35,695
497,23,14,55,675
498,17,20,709,21
499,21,11,35,695
500,18,21,709,21
501,17,14,454,276
502,22,15,133,597
503,17,12,276,454
504,19,21,695,35
505,22,13,55,675
506,18,14,365,365
507,23,21,534,196
508,19,17,534,196
509,15,20,722,8
510,25,21,365,365
511,23,19,365,365
512,19,18,597,133
513,17,21,717,13
514,16,21,722,8
515,16,21,722,8
516,17,12,276,454
517,22,12,35,695
518,23,13,35,695
519,20,19,597,133
520,17,15,534,196
521,21,17,365,365
522,21,19,534,196
523,15,18,709,21
524,16,21,722,8
525,19,15,365,365
526,22,15,133,597
527,23,12,21,709
528,19,12,133,597
529,17,18,675,55
530,15,11,365,365
531,21,15,196,534
532,22,21,597,133
533,15,18,709,21
534,24,13,21,709
535,20,21,675,55
536,20,19,597,133
537,15,17,695,35
538,20,19,597,133
539,22,12,35,695
540,18,19,675,55
541,18,15,454,276
542,16,17,675,55
543,22,13,55,675
544,25,21,365,365
545,23,20,454,276
546,25,17,87,643
547,20,18,534,196
548,20,16,365,365
549,16,13,454,276
550,23,19,365,365
551,22,18,365,365
552,16,16,643,87
553,17,16,597,133
554,23,12,21,709
555,21,14,133,597
556,18,15,454,276
557,22,18,365,365
558,21,20,597,133
559,24,17,133,597
560,23,18,276,454
561,17,16,597,133
562,19,21,695,35
563,18,19,675,55
564,15,17,695,35
565,18,18,643,87
566,24,11,8,722
567,22,15,133,597
568,23,18,276,454
569,16,11,276,454
570,17,21,717,13
571,23,20,454,276
572,15,21,725,5
573,17,20,709,21
574,24,15,55,675
575,22,17,276,454
576,21,11,35,695
577,20,17,454,276
578,24,21,454,276
579,20,20,643,87
580,18,20,695,35
581,22,14,87,643
582,18,19,675,55
583,20,14,196,534
584,22,13,55,675
585,22,19,454,276
586,24,13,21,709
587,15,13,534,196
588,18,21,709,21
589,15,21,725,5
590,20,14,196,534
591,18,14,365,365
592,15,13,534,196
593,23,18,276,454
594,16,21,722,8
595,23,17,196,534
596,24,18,196,534
597,16,20,717,13
598,16,14,534,196
599,25,16,55,675
600,16,13,454,276
601,19,18,597,133
602,21,14,133,597
603,24,18,196,534
604,21,17,365,365
605,19,18,597,133
606,25,15,35,695
607,20,13,133,597
608,22,13,55,675
609,21,21,643,87
610,21,18,454,276
611,21,19,534,196
612,21,11,35,695
613,18,13,276,454
614,22,18,365,365
615,20,14,196,534
616,25,18,133,597
617,19,15,365,365
618,21,21,643,87
619,24,14,35,695
620,20,21,675,55
621,19,20,675,55
622,22,17,276,454
623,18,17,597,133
624,20,18,534,196
625,21,20,597,133
626,19,20,675,55
627,17,11,196,534
628,23,15,87,643
629,22,12,35,695
630,15,12,454,276
631,16,11,276,454
632,23,11,13,717
633,18,13,276,454
634,22,17,276,454
635,24,12,13,717
636,25,14,21,709
637,23,20,454,276
638,19,20,675,55
639,23,16,133,597
640,16,19,709,21
641,20,19,597,133
642,24,15,55,675
643,18,13,276,454
644,19,17,534,196
645,20,19,597,133
646,21,16,276,454
647,24,18,196,534
648,22,15,133,597
649,24,13,21,709
650,17,12,276,454
651,23,16,133,597
652,18,19,675,55
653,18,13,276,454
654,23,15,87,643
655,20,21,675,55
656,21,17,365,365
657,22,19,454,276
658,21,17,365,365
659,17,14,454,276
660,16,19,709,21
661,23,18,276,454
662,18,13,276,454
663,20,21,675,55
664,25,21,365,365
665,24,18,196,534
666,25,20,276,454
667,22,16,196,534
668,20,13,133,597
669,22,13,55,675
670,25,12,8,722
671,25,17,87,643
672,24,19,276,454
673,15,11,365,365
674,25,18,133,597
675,20,20,643,87
676,23,14,55,675
677,20,12,87,643
678,24,17,133,597
679,21,13,87,643
680,23,13,35,695
681,24,17,133,597
682,22,13,55,675
683,23,12,21,709
684,22,15,133,597
685,23,18,276,454
686,15,14,597,133
687,24,12,13,717
688,18,20,695,35
689,17,17,643,87
690,15,20,722,8
691,15,12,454,276
692,18,19,675,55
693,18,14,365,365
694,20,19,597,133
695,19,21,695,35
696,21,21,643,87
697,24,16,87,643
698,20,21,675,55
699,16,19,709,21
700,22,13,55,675
701,15,14,597,133
702,21,13,87,643
703,18,18,643,87
704,23,15,87,643
705,17,18,675,55
706,20,17,454,276
707,25,21,365,365
708,19,12,133,597
709,20,13,133,597
710,17,20,709,21
711,23,18,276,454
712,19,18,597,133
713,20,12,87,643
714,24,21,454,276
715,17,12,276,454
716,15,14,597,133
717,25,11,5,725
718,24,13,21,709
719,22,18,365,365
720,16,16,643,87
721,17,17,643,87
722,24,15,55,675
723,18,13,276,454
724,23,17,196,534
725,24,11,8,722
726,22,21,597,133
727,25,20,276,454
728,21,17,365,365
729,24,16,87,643
730,17,14,454,276
731,22,20,534,196
732,19,14,276,454
733,23,18,276,454
734,18,19,675,55
735,24,11,8,722
736,23,18,276,454
737,20,13,133,597
738,15,17,695,35
739,20,19,597,133
740,21,11,35,695
741,21,11,35,695
742,17,20,709,21
743,24,16,87,643
744,16,21,722,8
745,25,12,8,722
746,18,12,196,534
747,22,14,87,643
748,24,19,276,454
749,23,12,21,709
750,24,15,55,675
751,17,15,534,196
752,23,21,534,196
753,17,14,454,276
754,23,18,276,454
755,21,17,365,365
756,17,13,365,365
757,18,11,133,597
758,24,21,454,276
759,17,12,276,454
760,23,13,35,695
761,20,18,534,196
