key,key1
1001018CS3000211,1001018CS300021
1000440CS2000081,1000440CS200008
1001458CS1000051,1001458CS100005
1000713CS1000091,1000713CS100009
1001098CS3000221,1001098CS300022
1000561CS1000071,1000561CS100007
1000985CS2000071,1000985CS200007
1001128CS2000061,1001128CS200006
1000437CS3000071,1000437CS300007
1000743CS1000041,1000743CS100004
1001380CS3000071,1001380CS300007
1000440CS3000111,1000440CS300011
1000440CS1000051,1000440CS100005
1000449CS3000011,1000449CS300001
1000449CS2000371,1000449CS200037
1000683CS3000021,1000683CS300002
1001122CS1000041,1001122CS100004
1000439CS2000081,1000439CS200008
1000459CS2000051,1000459CS200005
1000445CS1000021,1000445CS100002
1001016CS1000071,1001016CS100007
1000754CS2000281,1000754CS200028
1001459CS2000291,1001459CS200029
1000460CS3000021,1000460CS300002
1000461CS3000101,1000461CS300010
1000499CS3000111,1000499CS300011
1001158CS3000281,1001158CS300028
1000503CS2000241,1000503CS200024
1001385CS1000051,1001385CS100005
1001164CS3000211,1001164CS300021
1000475CS3000201,1000475CS300020
1001391CS1000051,1001391CS100005
1000476CS3000111,1000476CS300011
1000501CS1000011,1000501CS100001
1000810CS1000021,1000810CS100002
1001134CS3000221,1001134CS300022
1000738CS2000061,1000738CS200006
1000472CS2000311,1000472CS200031
1000461CS3000091,1000461CS300009
1000184CS3000281,1000184CS300028
1000184CS3000161,1000184CS300016
1000836CS2000281,1000836CS200028
1001134CS1000071,1001134CS100007
1001457CS1000081,1001457CS100008
1000731CS1000031,1000731CS100003
1000816CS3000011,1000816CS300001
1000719CS1000021,1000719CS100002
1000882CS2000281,1000882CS200028
1000703CS2000071,1000703CS200007
1000772CS1000011,1000772CS100001
1000730CS3000011,1000730CS300001
1000719CS2000071,1000719CS200007
1001119CS2000161,1001119CS200016
1001430CS1000061,1001430CS100006
1000794CS2000281,1000794CS200028
1000706CS3000011,1000706CS300001
1000883CS2000061,1000883CS200006
1000705CS3000151,1000705CS300015
1000706CS3000321,1000706CS300032
1000724CS3000271,1000724CS300027
1000764CS3000211,1000764CS300021
1000698CS1000051,1000698CS100005
1001031CS2000281,1001031CS200028
1000781CS3000181,1000781CS300018
1000781CS3000331,1000781CS300033
1000723CS1000071,1000723CS100007
1000837CS3000351,1000837CS300035
1000708CS2000011,1000708CS200001
1000876CS1000101,1000876CS100010
1000709CS1000051,1000709CS100005
1000708CS2000281,1000708CS200028
1000707CS3000331,1000707CS300033
1001105CS2000071,1001105CS200007
1001113CS2000281,1001113CS200028
1000857CS3000011,1000857CS300001
1000687CS1000081,1000687CS100008
1001459CS3000141,1001459CS300014
1001028CS1000101,1001028CS100010
1001452CS2000301,1001452CS200030
1000804CS3000361,1000804CS300036
1001453CS3000011,1001453CS300001
1000836CS2000081,1000836CS200008
1000830CS2000071,1000830CS200007
1000799CS1000101,1000799CS100010
1000779CS1000101,1000779CS100010
1000779CS2000311,1000779CS200031
1000779CS3000021,1000779CS300002
1001018CS1000091,1001018CS100009
1000785CS1000021,1000785CS100002
1000804CS2000281,1000804CS200028
1000723CS3000091,1000723CS300009
1000801CS2000031,1000801CS200003
1001042CS2000021,1001042CS200002
1001032CS2000191,1001032CS200019
1000823CS2000291,1000823CS200029
1000823CS1000071,1000823CS100007
1001460CS3000011,1001460CS300001
1000828CS3000011,1000828CS300001
1001046CS1000091,1001046CS100009
1000815CS1000031,1000815CS100003
1001046CS1000011,1001046CS100001
1001017CS2000301,1001017CS200030
1001046CS2000011,1001046CS200001
1001046CS3000071,1001046CS300007
1001040CS3000181,1001040CS300018
1000800CS1000071,1000800CS100007
1000816CS1000071,1000816CS100007
1000790CS3000351,1000790CS300035
1000850CS3000021,1000850CS300002
1000812CS1000071,1000812CS100007
1000843CS2000281,1000843CS200028
1001467CS2000161,1001467CS200016
1001467CS2000051,1001467CS200005
1001464CS3000011,1001464CS300001
1000793CS1000071,1000793CS100007
1000745CS1000021,1000745CS100002
1000793CS3000031,1000793CS300003
1001441CS1000011,1001441CS100001
1001449CS3000081,1001449CS300008
1000168CS3000021,1000168CS300002
1000842CS3000011,1000842CS300001
1001063CS1000071,1001063CS100007
1001449CS3000071,1001449CS300007
1001033CS1000041,1001033CS100004
1001455CS2000061,1001455CS200006
1000847CS3000091,1000847CS300009
1001045CS1000091,1001045CS100009
1001045CS3000221,1001045CS300022
1000487CS2000031,1000487CS200003
1000189CS1000101,1000189CS100010
1000854CS1000021,1000854CS100002
1001062CS2000281,1001062CS200028
1001039CS2000291,1001039CS200029
1001088CS3000011,1001088CS300001
1000850CS2000031,1000850CS200003
1001039CS3000021,1001039CS300002
1001039CS3000241,1001039CS300024
1001114CS3000011,1001114CS300001
1001061CS1000071,1001061CS100007
1001039CS2000171,1001039CS200017
1001224CS3000181,1001224CS300018
1001231CS2000161,1001231CS200016
1000866CS2000311,1000866CS200031
1001088CS1000071,1001088CS100007
1000884CS2000071,1000884CS200007
1000460CS2000071,1000460CS200007
1000863CS2000341,1000863CS200034
1001135CS3000011,1001135CS300001
1000866CS2000261,1000866CS200026
1000916CS3000111,1000916CS300011
1001013CS1000051,1001013CS100005
1000846CS3000281,1000846CS300028
1001101CS2000021,1001101CS200002
1000190CS2000341,1000190CS200034
1001034CS1000101,1001034CS100010
1000889CS2000161,1000889CS200016
1000881CS3000331,1000881CS300033
1001034CS2000011,1001034CS200001
1001024CS2000011,1001024CS200001
1000882CS1000061,1000882CS100006
1001034CS3000071,1001034CS300007
1001136CS3000021,1001136CS300002
1000974CS2000011,1000974CS200001
1001102CS1000081,1001102CS100008
1000860CS2000311,1000860CS200031
1000871CS2000291,1000871CS200029
1000870CS2000061,1000870CS200006
1000359CS3000111,1000359CS300011
1000448CS1000011,1000448CS100001
1001071CS2000021,1001071CS200002
1000845CS1000101,1000845CS100010
1001047CS1000101,1001047CS100010
1000845CS1000031,1000845CS100003
1000568CS2000301,1000568CS200030
1001098CS2000081,1001098CS200008
1001087CS3000161,1001087CS300016
1001131CS1000071,1001131CS100007
1000903CS3000111,1000903CS300011
1001138CS3000181,1001138CS300018
1001030CS2000251,1001030CS200025
1001098CS3000181,1001098CS300018
1001470CS3000221,1001470CS300022
1000757CS2000251,1000757CS200025
1001103CS3000171,1001103CS300017
1001104CS1000011,1001104CS100001
1000240CS1000091,1000240CS100009
1001065CS3000021,1001065CS300002
1000919CS3000281,1000919CS300028
1001065CS1000101,1001065CS100010
1001330CS2000251,1001330CS200025
1001065CS3000071,1001065CS300007
1000922CS3000071,1000922CS300007
1000259CS3000031,1000259CS300003
1000904CS2000081,1000904CS200008
1000923CS2000251,1000923CS200025
1000922CS1000101,1000922CS100010
1000923CS3000351,1000923CS300035
1000930CS1000061,1000930CS100006
1000933CS1000031,1000933CS100003
1000887CS1000011,1000887CS100001
1001478CS3000361,1001478CS300036
1001140CS1000081,1001140CS100008
1001220CS3000221,1001220CS300022
1000892CS1000021,1000892CS100002
1001221CS3000111,1001221CS300011
1001223CS1000061,1001223CS100006
1001221CS1000051,1001221CS100005
1001100CS3000021,1001100CS300002
1001102CS1000041,1001102CS100004
1000429CS1000091,1000429CS100009
1001316CS2000011,1001316CS200001
1001329CS2000081,1001329CS200008
1000429CS2000301,1000429CS200030
