sample,choice,choice1,choice2,choice3,choice4,choice5,choice6,choice1,choice2,choice3,choice4,choice5,choice6,choice1,choice2,choice3,choice4,choice5,choice6,choice1,choice2,choice3,choice4,choice5,choice6,choice1,choice2,choice3,choice4,choice5,choice6,price1,price2,price3,price4,price5,price6,acc1,acc2,acc3,acc4,acc5,acc6
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,4,4,6,6,2.5,2.5
2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.3109468,3.3109468,3.586859,3.586859,4.4145957,4.4145957,2.5,2.5,4,4,6,6
3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0395745,4.0395745,2.7772075,2.7772075,3.2821543,3.2821543,6,6,2.5,2.5,4,4
4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,4,4,6,6,2.5,2.5
5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.7941569,5.7941569,6.3459814,6.3459814,4.690508,4.690508,4,4,6,6,2.5,2.5
6,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5329841,3.5329841,4.1753448,4.1753448,4.8177056,4.8177056,6,6,2.5,2.5,4,4
7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9270822,1.9270822,0.96354111,0.96354111,1.4453117,1.4453117,6,6,2.5,2.5,4,4
8,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,6,6,2.5,2.5,4,4
9,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,2.5,2.5,4,4,6,6
10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.8017382,3.8017382,2.4599482,2.4599482,2.9072116,2.9072116,4,4,6,6,2.5,2.5
11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.1386835,4.1386835,4.4145957,4.4145957,3.0350346,3.0350346,4,4,6,6,2.5,2.5
12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.323736,3.323736,3.7985554,3.7985554,2.6115068,2.6115068,4,4,6,6,2.5,2.5
13,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,4,4,6,6,2.5,2.5
14,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2847215,1.2847215,1.6059019,1.6059019,0.96354111,0.96354111,2.5,2.5,4,4,6,6
15,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,4,4,6,6,2.5,2.5
16,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,6,6,2.5,2.5,4,4
17,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.4371306,8.4371306,5.4593198,5.4593198,7.444527,7.444527,6,6,2.5,2.5,4,4
18,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0224889,1.0224889,1.1503,1.1503,1.2781111,1.2781111,2.5,2.5,4,4,6,6
19,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.3109468,3.3109468,3.586859,3.586859,4.1386835,4.1386835,4,4,6,6,2.5,2.5
20,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.3109468,3.3109468,4.1386835,4.1386835,4.4145957,4.4145957,2.5,2.5,4,4,6,6
21,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.9556216,5.9556216,7.444527,7.444527,7.9408288,7.9408288,2.5,2.5,4,4,6,6
22,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.8568222,4.8568222,5.3680666,5.3680666,4.3455777,4.3455777,4,4,6,6,2.5,2.5
23,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,3.0350346,3.0350346,4.1386835,4.1386835,2.5,2.5,4,4,6,6
24,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,3.0350346,3.0350346,3.586859,3.586859,6,6,2.5,2.5,4,4
25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,4,4,6,6,2.5,2.5
26,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,6,6,2.5,2.5,4,4
27,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.3927834,3.3927834,2.1953304,2.1953304,2.9936324,2.9936324,4,4,6,6,2.5,2.5
28,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.96354111,0.96354111,1.1241313,1.1241313,1.4453117,1.4453117,4,4,6,6,2.5,2.5
29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.6218936,6.6218936,4.690508,4.690508,5.7941569,5.7941569,4,4,6,6,2.5,2.5
30,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.9704144,3.9704144,4.4667162,4.4667162,2.9778108,2.9778108,6,6,2.5,2.5,4,4
31,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.0659681,7.0659681,7.3871485,7.3871485,6.102427,6.102427,4,4,6,6,2.5,2.5
32,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7871011,3.7871011,2.7772075,2.7772075,3.2821543,3.2821543,2.5,2.5,4,4,6,6
33,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,6,6,2.5,2.5,4,4
34,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,4,4,6,6,2.5,2.5
35,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.8118444,2.8118444,3.3230888,3.3230888,3.8343333,3.8343333,4,4,6,6,2.5,2.5
36,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,6,6,2.5,2.5,4,4
37,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,2.5,2.5,4,4,6,6
38,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9270822,1.9270822,2.2482626,2.2482626,2.8906233,2.8906233,2.5,2.5,4,4,6,6
39,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,2.5,2.5,4,4,6,6
40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.7083289,7.7083289,5.4600663,5.4600663,6.102427,6.102427,6,6,2.5,2.5,4,4
41,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0296809,3.0296809,3.2821543,3.2821543,4.0395745,4.0395745,6,6,2.5,2.5,4,4
42,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.3795612,1.3795612,0.8277367,0.8277367,0.96569282,0.96569282,4,4,6,6,2.5,2.5
43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,6,6,2.5,2.5,4,4
44,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5346277,3.5346277,3.7871011,3.7871011,2.7772075,2.7772075,4,4,6,6,2.5,2.5
45,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5787111,3.5787111,4.0899555,4.0899555,2.8118444,2.8118444,2.5,2.5,4,4,6,6
46,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,6,6,2.5,2.5,4,4
47,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.8906233,2.8906233,3.2118037,3.2118037,1.9270822,1.9270822,6,6,2.5,2.5,4,4
48,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0899555,4.0899555,2.8118444,2.8118444,3.3230888,3.3230888,4,4,6,6,2.5,2.5
49,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.3455777,4.3455777,2.8118444,2.8118444,3.3230888,3.3230888,2.5,2.5,4,4,6,6
50,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.9778108,2.9778108,1.4889054,1.4889054,2.2333581,2.2333581,6,6,2.5,2.5,4,4
51,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.9704144,3.9704144,4.963018,4.963018,2.9778108,2.9778108,2.5,2.5,4,4,6,6
52,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,6,6,2.5,2.5,4,4
53,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.2920479,4.2920479,2.7772075,2.7772075,3.2821543,3.2821543,6,6,2.5,2.5,4,4
54,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,2.5,2.5,4,4,6,6
55,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7871011,3.7871011,4.0395745,4.0395745,2.7772075,2.7772075,4,4,6,6,2.5,2.5
56,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.4371306,8.4371306,5.4593198,5.4593198,6.4519234,6.4519234,2.5,2.5,4,4,6,6
57,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2781111,1.2781111,1.2781111,1.2781111,0.76686666,0.76686666,2.5,2.5,4,4,6,6
58,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.3230888,3.3230888,3.8343333,3.8343333,4.0899555,4.0899555,4,4,6,6,2.5,2.5
59,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.8627713,3.8627713,4.1386835,4.1386835,3.0350346,3.0350346,4,4,6,6,2.5,2.5
60,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.5247341,2.5247341,2.5247341,2.5247341,1.5148404,1.5148404,2.5,2.5,4,4,6,6
61,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9852072,1.9852072,2.2333581,2.2333581,1.4889054,1.4889054,6,6,2.5,2.5,4,4
62,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.1036489,1.1036489,1.241605,1.241605,1.3795612,1.3795612,6,6,2.5,2.5,4,4
63,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,2.5,2.5,4,4,6,6
64,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,5.2423324,5.2423324,5.7941569,5.7941569,2.5,2.5,4,4,6,6
65,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.4965252,4.4965252,4.8177056,4.8177056,5.1388859,5.1388859,4,4,6,6,2.5,2.5
66,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,2.5,2.5,4,4,6,6
67,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.6218936,6.6218936,4.690508,4.690508,5.2423324,5.2423324,4,4,6,6,2.5,2.5
68,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7871011,3.7871011,4.0395745,4.0395745,3.2821543,3.2821543,2.5,2.5,4,4,6,6
69,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.2920479,4.2920479,2.7772075,2.7772075,3.7871011,3.7871011,2.5,2.5,4,4,6,6
70,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.2230137,5.2230137,5.4604234,5.4604234,4.5107845,4.5107845,6,6,2.5,2.5,4,4
71,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,4,4,6,6,2.5,2.5
72,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.3671598,5.3671598,4.2490015,4.2490015,4.6962648,4.6962648,2.5,2.5,4,4,6,6
73,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7919343,3.7919343,4.1910853,4.1910853,4.5902363,4.5902363,6,6,2.5,2.5,4,4
74,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.8343333,3.8343333,4.0899555,4.0899555,3.3230888,3.3230888,4,4,6,6,2.5,2.5
75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,4,4,6,6,2.5,2.5
76,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.4965252,4.4965252,5.1388859,5.1388859,3.5329841,3.5329841,4,4,6,6,2.5,2.5
77,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.9352428,5.9352428,6.6474719,6.6474719,8.3093399,8.3093399,4,4,6,6,2.5,2.5
78,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.91864,10.91864,8.4371306,8.4371306,9.4297342,9.4297342,4,4,6,6,2.5,2.5
79,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.0593618,6.0593618,4.2920479,4.2920479,4.7969948,4.7969948,6,6,2.5,2.5,4,4
80,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0296809,3.0296809,3.2821543,3.2821543,3.7871011,3.7871011,6,6,2.5,2.5,4,4
81,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5787111,3.5787111,3.8343333,3.8343333,2.8118444,2.8118444,4,4,6,6,2.5,2.5
82,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,2.5,2.5,4,4,6,6
83,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,6,6,2.5,2.5,4,4
84,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,6,6,2.5,2.5,4,4
85,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,4,4,6,6,2.5,2.5
86,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0791491,8.0791491,8.8365693,8.8365693,6.3118352,6.3118352,6,6,2.5,2.5,4,4
87,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.554415,5.554415,4.2920479,4.2920479,4.7969948,4.7969948,2.5,2.5,4,4,6,6
88,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.4600663,5.4600663,4.1753448,4.1753448,4.8177056,4.8177056,2.5,2.5,4,4,6,6
89,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,6,6,2.5,2.5,4,4
90,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.2423324,5.2423324,5.7941569,5.7941569,6.3459814,6.3459814,4,4,6,6,2.5,2.5
91,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.4604234,5.4604234,4.0359651,4.0359651,4.5107845,4.5107845,6,6,2.5,2.5,4,4
92,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.2423324,5.2423324,6.3459814,6.3459814,4.690508,4.690508,4,4,6,6,2.5,2.5
93,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9313856,1.9313856,1.9313856,1.9313856,2.7591223,2.7591223,6,6,2.5,2.5,4,4
94,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,4,4,6,6,2.5,2.5
95,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.9313856,1.9313856,2.4832101,2.4832101,2.7591223,2.7591223,4,4,6,6,2.5,2.5
96,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.690508,4.690508,5.2423324,5.2423324,6.3459814,6.3459814,6,6,2.5,2.5,4,4
97,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7871011,3.7871011,4.0395745,4.0395745,3.2821543,3.2821543,4,4,6,6,2.5,2.5
98,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.7871011,3.7871011,4.0395745,4.0395745,2.7772075,2.7772075,4,4,6,6,2.5,2.5
99,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0674666,3.0674666,3.3230888,3.3230888,3.8343333,3.8343333,4,4,6,6,2.5,2.5
100,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.4965252,4.4965252,4.8177056,4.8177056,3.5329841,3.5329841,6,6,2.5,2.5,4,4
