date,week_day,category,display,pos_sales
2021-03-14,Sun,1,3,82887
2021-03-14,Sun,2,4,91637
2021-03-15,Mon,1,3,84478
2021-03-15,Mon,2,1,131558
2021-03-16,Tue,1,4,30926
2021-03-16,Tue,2,2,129250
2021-03-17,Wed,1,3,94497
2021-03-17,Wed,2,1,149684
2021-03-18,Thu,1,3,68188
2021-03-18,Thu,2,4,91282
2021-03-19,Fri,1,2,92979
2021-03-19,Fri,2,4,137828
2021-03-20,Sat,1,1,89764
2021-03-20,Sat,2,3,203933
2021-03-21,Sun,1,2,89971
2021-03-21,Sun,2,3,128476
2021-03-22,Mon,1,4,57696
2021-03-22,Mon,2,3,120820
2021-03-23,Tue,1,3,51087
2021-03-23,Tue,2,2,165266
2021-03-24,Wed,1,1,43805
2021-03-24,Wed,2,2,164694
2021-03-25,Thu,1,1,43981
2021-03-25,Thu,2,3,155872
2021-03-26,Fri,1,3,60619
2021-03-26,Fri,2,1,125226
2021-03-27,Sat,1,3,104231
2021-03-27,Sat,2,1,77816
2021-03-28,Sun,1,4,71161
2021-03-28,Sun,2,3,169473
2021-03-29,Mon,1,2,83529
2021-03-29,Mon,2,1,71342
2021-03-30,Tue,1,1,44867
2021-03-30,Tue,2,4,96216
2021-03-31,Wed,1,2,88051
2021-03-31,Wed,2,4,51576
2021-04-01,Thu,1,4,39781
2021-04-01,Thu,2,3,154796
2021-04-02,Fri,1,1,52527
2021-04-02,Fri,2,2,101880
2021-04-03,Sat,1,1,43285
2021-04-03,Sat,2,3,79133
2021-04-04,Sun,1,2,60408
2021-04-04,Sun,2,3,156076
2021-04-05,Mon,1,4,68566
2021-04-05,Mon,2,3,177404
2021-04-06,Tue,1,1,70941
2021-04-06,Tue,2,3,82250
2021-04-07,Wed,1,4,69167
2021-04-07,Wed,2,2,156196
2021-04-08,Thu,1,1,51494
2021-04-08,Thu,2,2,186606
2021-04-09,Fri,1,2,53552
2021-04-09,Fri,2,3,174864
2021-04-10,Sat,1,3,60869
2021-04-10,Sat,2,4,119081
2021-04-11,Sun,1,4,64938
2021-04-11,Sun,2,3,114500
2021-04-12,Mon,1,2,39562
2021-04-12,Mon,2,1,138802
2021-04-13,Tue,1,2,49614
2021-04-13,Tue,2,3,184654
2021-04-14,Wed,1,1,49665
2021-04-14,Wed,2,3,135708
2021-04-15,Thu,1,2,86706
2021-04-15,Thu,2,4,95354
2021-04-16,Fri,1,3,66861
2021-04-16,Fri,2,2,102938
2021-04-17,Sat,1,1,77624
2021-04-17,Sat,2,3,164345
