sample,mall,gender,age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,재구매의향
1,11_street,female,32,3,2,3,1,3,2,3,3,4,3,2,2,1,2
2,11_street,female,37,2,2,3,5,5,1,2,3,3,3,4,1,1,1
3,coupang,female,46,1,4,5,3,4,3,2,4,1,3,5,3,2,3
4,11_street,female,55,2,2,3,3,2,4,1,4,4,4,5,1,1,1
5,coupang,male,36,1,1,2,5,3,4,4,5,3,2,4,1,2,6
6,coupang,male,49,1,1,2,5,3,5,5,2,5,5,2,1,1,1
7,g_market,male,26,2,2,1,5,4,5,3,5,4,3,1,1,3,6
8,11_street,female,57,5,4,5,3,4,5,2,4,5,5,1,4,3,7
9,11_street,male,31,2,4,3,1,3,1,1,3,1,1,1,5,5,6
10,g_market,male,42,1,3,4,4,5,1,4,3,1,1,2,1,2,6
11,11_street,male,44,5,5,5,1,1,2,5,3,5,5,2,3,3,4
12,g_market,female,49,4,3,3,4,4,5,4,2,3,3,4,5,5,8
13,11_street,male,40,3,2,2,2,3,5,4,4,4,5,2,5,5,9
14,11_street,male,39,4,5,4,5,5,5,2,3,5,3,2,5,5,10
15,g_market,male,59,2,3,3,5,3,2,1,1,2,2,3,2,2,6
16,11_street,male,38,4,4,3,4,3,1,1,3,1,2,5,5,4,6
17,11_street,male,32,5,2,3,5,4,5,1,1,4,4,2,5,5,7
18,11_street,male,43,4,1,1,1,2,5,4,3,4,3,3,5,4,9
19,coupang,male,44,5,1,2,1,3,5,4,2,1,2,4,5,4,5
20,g_market,male,31,5,1,2,3,3,1,5,3,1,2,2,5,4,6
21,11_street,male,38,2,2,3,1,3,5,4,2,2,3,2,5,4,6
22,coupang,female,51,2,1,1,5,3,2,4,2,2,3,2,2,2,5
23,g_market,female,50,1,3,2,3,3,3,1,2,2,2,2,1,2,2
24,11_street,male,28,1,4,5,4,3,5,4,3,5,3,3,4,3,9
25,11_street,female,39,2,4,3,2,2,1,4,3,1,1,1,5,5,6
26,g_market,male,35,4,2,1,3,4,3,5,3,1,1,2,5,3,6
27,coupang,male,36,4,3,2,3,2,3,5,4,2,2,4,2,1,6
28,g_market,female,47,5,3,4,4,4,2,5,2,1,1,1,5,5,7
29,g_market,female,48,4,3,4,3,4,4,3,1,2,1,1,1,1,0
30,coupang,male,46,2,2,3,4,4,5,4,5,2,3,3,5,4,7
31,g_market,female,30,3,3,4,2,2,4,5,3,1,3,4,4,5,8
32,g_market,female,51,4,4,3,4,3,3,3,2,2,1,4,5,4,5
33,11_street,female,53,5,3,2,5,5,1,1,1,4,3,5,2,2,4
34,g_market,female,53,4,3,3,5,3,3,4,3,4,4,2,3,3,6
35,g_market,female,32,5,3,2,5,5,1,4,1,2,3,5,2,2,6
36,11_street,female,28,4,1,1,1,3,2,4,2,4,4,3,3,4,3
37,11_street,female,58,4,3,4,5,4,2,5,1,1,3,4,2,3,4
38,g_market,male,54,5,3,3,2,1,5,5,5,3,3,4,1,2,2
39,g_market,male,41,3,3,2,4,5,2,1,3,2,2,4,5,5,8
40,g_market,female,38,5,5,5,5,3,5,4,3,5,4,1,4,4,7
41,g_market,male,28,2,2,2,1,2,1,3,1,2,3,4,4,5,3
42,g_market,female,23,3,2,2,2,3,4,2,4,1,2,1,5,4,5
43,11_street,female,52,2,3,4,5,5,2,5,2,1,2,5,5,5,5
44,coupang,female,58,5,2,1,1,1,3,3,4,4,3,3,2,1,2
45,g_market,male,53,5,5,5,3,2,4,5,5,1,1,1,1,2,3
46,11_street,male,23,4,2,1,1,1,4,3,5,1,1,3,4,4,6
47,g_market,female,38,5,2,2,5,5,2,1,3,2,1,3,3,2,5
48,11_street,male,58,1,3,4,4,3,3,4,4,5,3,3,1,3,7
49,11_street,female,26,2,2,2,1,1,2,3,1,2,3,3,1,2,2
50,11_street,female,24,2,5,3,1,2,2,3,2,5,3,5,5,5,6
51,g_market,female,42,1,2,2,5,4,1,1,1,3,3,2,1,1,3
52,11_street,male,50,1,5,4,2,3,3,2,4,4,3,3,4,5,6
53,coupang,male,26,3,4,4,2,2,4,4,4,2,2,3,4,4,6
54,coupang,male,39,3,1,1,5,3,2,1,1,2,3,5,3,3,4
55,coupang,female,52,1,1,2,1,2,3,1,2,3,2,4,4,5,6
56,11_street,male,27,2,1,3,1,3,4,4,5,5,5,2,1,2,7
57,coupang,male,45,3,4,4,1,3,5,4,3,5,3,5,2,2,7
58,g_market,female,36,5,3,3,1,2,1,1,1,3,3,4,5,4,5
59,11_street,male,27,4,5,5,4,4,3,2,4,3,4,1,3,2,6
60,11_street,male,35,4,5,4,4,3,2,4,4,2,2,1,5,5,9
61,g_market,male,37,5,4,4,3,2,1,2,1,1,1,3,2,1,4
62,g_market,female,37,5,3,3,1,1,2,3,2,2,2,2,5,4,6
63,11_street,female,59,2,5,4,1,3,5,4,3,3,3,3,5,5,6
64,coupang,male,30,4,3,2,5,4,4,3,3,4,4,3,1,3,8
65,g_market,female,46,3,2,1,4,3,4,3,3,1,2,1,3,2,6
66,g_market,female,44,5,1,3,2,2,4,5,5,3,3,3,4,3,7
67,coupang,female,48,4,4,4,5,4,2,1,2,4,5,2,1,3,6
68,g_market,female,56,5,3,3,1,2,3,5,4,3,3,1,4,3,7
69,g_market,female,49,2,2,2,5,4,1,2,2,2,1,1,5,3,6
70,coupang,female,35,3,3,3,1,3,3,3,3,4,3,5,3,4,7
71,g_market,female,51,2,2,1,5,5,2,2,3,2,1,4,4,5,8
72,g_market,female,34,2,3,4,4,3,3,3,4,3,2,3,4,5,9
73,coupang,female,34,5,4,3,4,3,4,3,5,3,3,5,4,3,10
74,11_street,female,45,4,3,4,5,3,3,3,2,2,1,2,5,3,8
75,11_street,male,45,2,1,2,1,2,4,3,4,3,4,4,5,5,6
76,coupang,male,55,4,3,3,3,4,5,4,5,3,2,5,4,5,9
77,g_market,male,30,3,3,3,3,2,3,1,2,2,2,2,5,5,5
78,coupang,male,52,4,4,4,1,1,3,3,4,5,3,1,2,3,6
79,coupang,male,40,5,1,1,2,2,5,3,4,4,3,5,2,3,7
80,11_street,male,52,4,1,3,3,2,4,5,4,5,3,2,4,3,6
81,11_street,female,40,1,2,1,1,2,5,5,4,1,2,4,3,3,6
82,coupang,male,59,5,5,5,2,1,4,4,3,5,3,4,2,2,6
83,g_market,male,52,2,2,1,5,3,2,3,1,5,3,3,3,3,7
84,g_market,male,44,4,3,4,4,3,1,2,2,2,1,1,3,2,4
85,11_street,male,40,2,3,2,4,3,3,4,4,4,5,4,3,2,6
86,coupang,male,39,1,4,3,5,4,5,5,4,1,3,4,4,5,8
87,11_street,female,50,1,2,2,2,3,5,5,4,1,3,5,1,2,6
88,11_street,female,25,3,2,2,1,1,2,3,3,5,4,3,5,4,6
89,11_street,male,45,2,2,3,1,2,5,5,3,1,1,2,1,3,5
90,g_market,female,45,5,3,2,5,5,3,5,4,5,3,1,1,2,7
91,g_market,male,58,4,1,1,3,2,3,1,2,4,5,5,1,1,4
92,g_market,female,50,5,2,2,4,5,3,1,2,4,3,3,5,4,8
93,coupang,female,52,5,1,2,3,3,4,3,4,2,2,5,4,5,7
94,g_market,female,35,2,2,2,5,5,5,4,4,4,4,5,2,1,9
95,g_market,female,48,2,3,4,3,4,3,5,4,3,2,5,1,2,6
96,coupang,male,43,2,4,4,4,3,3,4,2,4,5,5,5,5,7
97,g_market,male,57,5,3,2,2,3,3,1,2,3,4,3,4,4,5
98,11_street,female,42,2,2,2,4,3,5,4,3,5,4,4,2,2,6
99,g_market,female,51,5,5,5,2,1,5,5,5,3,2,5,1,3,7
100,coupang,male,57,2,2,1,2,1,2,2,1,2,3,3,5,4,0
101,coupang,male,59,3,3,3,5,4,1,2,1,2,1,2,3,2,0
102,coupang,male,36,4,4,5,4,3,3,4,3,3,3,5,5,5,1
103,coupang,male,58,5,2,1,3,3,4,3,4,5,5,3,3,4,6
104,g_market,female,40,5,5,4,2,1,1,1,3,5,3,5,4,5,4
105,coupang,male,39,5,2,1,5,3,4,5,3,3,2,2,2,3,8
106,g_market,female,31,3,4,5,3,2,3,1,3,4,5,2,4,4,5
107,g_market,female,25,5,3,3,2,3,3,3,2,5,4,3,1,3,7
108,g_market,female,30,5,3,4,3,3,2,3,2,5,4,2,4,3,4
109,g_market,female,35,5,2,1,1,3,3,2,4,2,1,5,4,5,6
110,11_street,female,31,5,1,3,2,2,1,2,1,1,3,2,1,1,1
111,coupang,male,23,5,5,5,1,1,4,5,4,4,5,5,4,4,7
112,g_market,male,44,4,3,4,4,5,3,2,2,3,2,5,2,2,5
113,g_market,male,39,2,4,3,3,4,3,2,2,4,4,1,3,2,7
114,coupang,female,42,2,2,1,5,4,4,3,5,5,4,3,2,2,7
115,g_market,female,41,4,3,4,2,3,3,2,4,2,2,5,5,3,5
116,g_market,male,29,5,3,2,1,1,3,4,3,5,5,5,4,3,6
117,coupang,female,54,3,2,3,2,2,4,5,5,3,4,4,3,3,7
118,11_street,male,30,1,1,1,4,4,2,2,1,4,3,5,3,4,7
119,11_street,female,50,1,5,5,5,3,3,2,3,3,4,3,3,4,7
120,11_street,female,36,4,1,3,3,3,3,2,3,3,3,1,1,3,5
121,coupang,female,43,5,3,3,3,2,5,4,3,5,4,4,4,4,9
122,11_street,female,30,2,4,3,3,4,2,3,2,3,4,2,3,4,4
123,g_market,male,32,2,3,2,2,1,5,5,4,1,1,3,1,3,5
124,11_street,female,56,3,2,2,4,5,3,2,4,1,3,3,3,4,5
125,g_market,male,42,2,3,4,5,5,3,3,2,5,4,2,3,3,8
126,11_street,male,50,2,1,3,4,4,5,2,2,1,3,5,3,4,5
127,11_street,female,46,2,5,5,2,2,5,4,3,3,2,3,4,3,6
128,11_street,female,52,3,2,1,1,1,3,4,3,2,3,4,2,2,3
129,11_street,female,32,2,3,2,4,4,2,2,2,3,2,5,5,5,6
130,11_street,female,23,2,5,3,2,1,3,3,4,3,2,3,1,1,4
131,g_market,female,49,5,3,3,5,3,3,2,4,4,5,2,5,3,7
132,11_street,female,52,5,2,3,3,4,3,5,4,1,2,2,2,3,5
133,11_street,male,28,4,1,2,1,2,3,1,3,5,5,4,3,4,5
134,11_street,male,42,5,3,4,5,5,2,1,1,5,5,4,2,1,5
135,g_market,female,25,4,4,4,4,4,1,1,1,4,5,5,5,5,8
136,11_street,male,35,5,4,3,2,3,4,5,5,2,1,4,2,2,8
137,coupang,male,49,5,5,3,2,1,2,1,2,5,4,4,5,5,4
138,11_street,female,54,2,1,1,2,3,4,4,3,2,1,3,5,5,7
139,coupang,female,31,1,1,2,5,4,1,1,3,4,3,3,5,3,8
140,11_street,male,27,1,1,1,2,1,1,2,3,3,2,1,3,2,1
141,11_street,male,43,1,1,3,4,3,2,3,2,2,1,4,4,3,5
142,11_street,male,32,4,4,5,1,2,1,5,2,3,3,2,5,5,7
143,g_market,male,59,3,3,2,4,4,3,4,2,2,1,5,2,1,2
144,coupang,male,31,3,3,3,5,4,3,5,4,2,3,4,2,2,7
145,g_market,male,32,4,4,4,5,4,3,5,4,2,1,5,3,4,6
146,11_street,female,41,3,4,5,3,2,1,2,3,2,3,2,5,4,6
147,coupang,female,38,5,5,3,2,3,3,1,3,3,3,3,1,1,6
148,11_street,female,34,3,4,3,1,2,1,2,2,1,3,5,5,5,4
149,11_street,male,54,4,4,5,5,5,3,4,4,4,5,2,3,4,10
150,coupang,male,30,5,5,5,4,3,3,4,3,5,3,2,5,3,7
151,11_street,female,43,5,3,2,2,1,1,3,2,2,1,4,2,3,3
152,coupang,male,35,3,3,4,4,4,3,3,3,4,5,4,1,1,6
153,coupang,female,38,2,2,3,4,3,3,2,2,3,3,1,5,5,7
154,11_street,female,58,4,4,5,1,1,3,4,2,3,2,5,3,3,4
155,coupang,male,37,2,2,3,3,3,2,3,2,3,3,1,3,2,4
156,g_market,female,37,2,3,3,1,2,3,3,4,5,4,3,1,1,6
157,11_street,male,33,3,4,3,2,1,3,4,3,5,4,1,3,4,6
158,11_street,female,28,1,5,5,1,3,2,2,3,3,3,4,5,3,5
159,11_street,male,36,2,3,3,4,5,3,4,4,3,2,2,5,4,9
160,g_market,female,56,2,4,4,1,2,5,4,3,4,4,1,5,5,8
161,coupang,male,46,5,3,3,5,5,2,4,3,5,4,5,2,2,8
162,g_market,female,48,5,1,2,4,4,3,2,3,4,5,3,5,5,6
163,coupang,female,32,5,2,2,5,4,3,2,4,3,3,5,2,2,5
164,g_market,female,56,4,4,4,2,2,2,1,3,2,1,5,4,3,7
165,coupang,male,29,3,3,2,2,2,3,1,3,3,2,5,1,2,4
166,11_street,male,52,4,4,3,1,2,3,3,3,5,5,4,2,1,7
167,11_street,female,53,1,1,1,4,4,3,3,4,4,3,5,5,3,8
168,11_street,male,56,3,2,3,5,5,1,2,1,4,3,1,1,2,4
169,g_market,male,35,1,1,1,1,1,4,3,3,5,4,3,2,3,5
170,11_street,female,46,5,3,4,5,3,5,4,5,5,5,1,1,1,10
171,11_street,female,49,2,1,3,3,4,3,4,3,1,3,2,2,1,4
172,11_street,female,47,5,4,4,2,1,2,5,2,5,5,5,2,3,3
173,coupang,male,35,5,4,3,3,2,1,2,3,5,5,4,2,1,6
174,g_market,female,58,5,4,5,5,3,3,3,3,1,3,1,1,2,6
175,coupang,male,57,4,5,3,5,3,5,3,5,1,2,5,4,4,9
176,coupang,female,54,1,3,2,3,3,3,3,2,5,4,5,1,1,6
177,coupang,female,42,2,3,4,1,1,3,3,3,1,3,4,4,3,6
178,coupang,female,51,5,5,4,2,1,3,5,3,3,3,2,5,4,8
179,g_market,female,34,4,3,2,4,5,3,4,2,1,1,1,2,3,2
180,11_street,female,26,3,4,3,1,1,2,4,1,1,1,4,2,3,4
181,11_street,female,42,2,3,4,4,4,3,5,3,5,4,2,3,4,9
182,g_market,female,54,4,5,4,3,4,1,5,3,1,2,1,5,4,5
183,coupang,female,35,5,4,4,1,3,3,1,2,4,4,3,3,3,7
184,11_street,female,54,5,4,5,3,2,3,5,2,5,3,4,2,3,6
185,g_market,male,49,2,1,3,5,5,3,3,4,4,4,1,4,3,6
186,coupang,female,40,2,2,2,5,4,3,3,3,4,3,2,3,2,7
187,11_street,male,56,5,3,2,2,3,3,5,2,4,5,5,2,2,7
188,11_street,female,45,4,5,3,5,3,3,3,2,3,3,4,5,4,7
189,g_market,female,36,2,2,3,3,2,5,2,3,4,3,5,5,4,6
190,11_street,male,40,2,3,3,1,2,3,2,4,4,3,5,1,2,3
191,g_market,female,54,4,3,4,1,1,3,3,3,2,2,3,2,3,6
192,coupang,female,52,1,4,4,5,5,3,5,3,1,1,4,4,5,6
193,g_market,female,30,1,5,3,1,1,2,5,1,5,4,5,2,1,0
194,11_street,male,52,2,5,4,3,2,3,3,3,5,3,3,1,2,6
195,11_street,female,52,1,3,3,1,2,5,4,3,3,2,5,1,1,4
196,coupang,male,48,1,5,4,4,3,1,3,2,2,1,1,1,2,3
