sample,mall,gender,age,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1,11_street,female,32,3,2,3,1,3,3,2,3,4,3,2,1,2
2,11_street,female,37,2,2,3,5,5,2,1,3,3,3,1,1,4
3,g_market,female,46,3,4,5,3,4,5,3,4,1,3,3,2,5
4,11_street,female,55,2,2,3,3,2,4,4,4,4,4,1,1,5
5,g_market,male,36,2,1,2,5,3,4,4,5,3,2,1,2,4
6,g_market,male,49,1,1,2,5,3,1,2,2,5,5,1,1,2
7,coupang,male,26,1,2,1,5,4,3,4,5,4,3,1,3,1
8,11_street,female,57,3,4,5,3,4,4,5,4,5,5,4,3,1
9,11_street,male,31,3,4,3,1,3,5,5,3,1,1,5,5,1
10,coupang,male,42,2,3,4,4,5,4,4,3,1,1,1,2,2
11,11_street,male,44,5,5,5,1,1,1,2,3,5,5,3,3,2
12,coupang,female,49,5,3,3,4,4,2,3,2,3,3,5,5,4
13,11_street,male,40,1,2,2,2,3,4,5,4,4,5,5,5,2
14,11_street,male,39,5,5,4,5,5,2,3,3,5,3,5,5,2
15,coupang,male,59,1,3,3,5,3,1,1,1,2,2,2,2,3
16,11_street,male,38,4,4,3,4,3,1,2,3,1,2,5,4,5
17,11_street,male,32,3,2,3,5,4,1,1,1,4,4,5,5,2
18,11_street,male,43,1,1,1,1,2,5,5,3,4,3,5,4,3
19,g_market,male,44,2,1,2,1,3,4,3,2,1,2,5,4,4
20,coupang,male,31,2,1,2,3,3,5,3,3,1,2,5,4,2
21,11_street,male,38,2,2,3,1,3,2,1,2,2,3,5,4,2
22,g_market,female,51,1,1,1,5,3,2,3,2,2,3,2,2,2
23,coupang,female,50,3,3,2,3,3,1,1,2,2,2,1,2,2
24,11_street,male,28,3,4,5,4,3,4,3,3,5,3,4,3,3
25,11_street,female,39,5,4,3,2,2,4,3,3,1,1,5,5,1
26,coupang,male,35,2,2,1,3,4,1,3,3,1,1,5,3,2
27,g_market,male,36,4,3,2,3,2,1,3,4,2,2,2,1,4
28,coupang,female,47,1,3,4,4,4,1,3,2,1,1,5,5,1
29,coupang,female,48,3,3,4,3,4,3,2,1,2,1,1,1,1
30,g_market,male,46,2,2,3,4,4,4,5,5,2,3,5,4,3
31,coupang,female,30,4,3,4,2,2,5,4,3,1,3,4,5,4
32,coupang,female,51,3,4,3,4,3,3,3,2,2,1,5,4,4
33,11_street,female,53,1,3,2,5,5,1,1,1,4,3,2,2,5
34,coupang,female,53,4,3,3,5,3,4,3,3,4,4,3,3,2
35,coupang,female,32,1,3,2,5,5,2,1,1,2,3,2,2,5
36,11_street,female,28,2,1,1,1,3,2,2,2,4,4,3,4,3
37,11_street,female,58,4,3,4,5,4,1,2,1,1,3,2,3,4
38,coupang,male,54,5,3,3,2,1,5,5,5,3,3,1,2,4
39,coupang,male,41,3,3,2,4,5,1,2,3,2,2,5,5,4
40,coupang,female,38,5,5,5,5,3,4,5,3,5,4,4,4,1
41,coupang,male,28,2,2,2,1,2,1,1,1,2,3,4,5,4
42,coupang,female,23,3,2,2,2,3,4,4,4,1,2,5,4,1
43,11_street,female,52,2,3,4,5,5,1,2,2,1,2,5,5,5
44,g_market,female,58,3,2,1,1,1,3,3,4,4,3,2,1,3
45,coupang,male,53,4,5,5,3,2,5,4,5,1,1,1,2,1
46,11_street,male,23,2,2,1,1,1,3,4,5,1,1,4,4,3
47,coupang,female,38,2,2,2,5,5,1,2,3,2,1,3,2,3
48,11_street,male,58,1,3,4,4,3,4,3,4,5,3,1,3,3
49,11_street,female,26,3,2,2,1,1,3,2,1,2,3,1,2,3
50,11_street,female,24,5,5,3,1,2,3,2,2,5,3,5,5,5
51,coupang,female,42,2,2,2,5,4,1,1,1,3,3,1,1,2
52,11_street,male,50,5,5,4,2,3,2,3,4,4,3,4,5,3
53,g_market,male,26,4,4,4,2,2,4,4,4,2,2,4,4,3
54,g_market,male,39,1,1,1,5,3,1,2,1,2,3,3,3,5
55,g_market,female,52,2,1,2,1,2,1,3,2,3,2,4,5,4
56,11_street,male,27,1,1,3,1,3,4,4,5,5,5,1,2,2
57,g_market,male,45,3,4,4,1,3,4,5,3,5,3,2,2,5
