pid,av15
22010003,1.3 
15880001,1.4 
15880004,1.4 
21060001,1.4 
29980003,1.5 
65650001,1.5 
9600003,1.6 
54890003,1.6 
69900001,1.6 
10830001,1.7 
11910003,1.7 
19950001,1.7 
65210001,1.7 
66500001,1.7 
67370001,1.7 
10970003,1.8 
16630001,1.8 
19980002,1.8 
22840004,1.8 
66170001,1.8 
66570001,1.8 
920002,1.9 
7040003,1.9 
8840002,1.9 
16740002,1.9 
18110003,1.9 
20370002,1.9 
20640001,1.9 
20640003,1.9 
22840003,1.9 
26570001,1.9 
26890003,1.9 
40230001,1.9 
54850002,1.9 
58600002,1.9 
59160001,1.9 
63390001,1.9 
64950001,1.9 
65240001,1.9 
66550002,1.9 
67500002,1.9 
70720001,1.9 
300002,2.0 
2470004,2.0 
5730001,2.0 
6000001,2.0 
8660001,2.0 
12970001,2.0 
15690001,2.0 
15870001,2.0 
17930001,2.0 
18030003,2.0 
19990001,2.0 
20630001,2.0 
21430001,2.0 
21800001,2.0 
23310001,2.0 
25660004,2.0 
25720002,2.0 
25780003,2.0 
26510001,2.0 
29150001,2.0 
40330001,2.0 
40450002,2.0 
52770001,2.0 
54870001,2.0 
58520001,2.0 
59210001,2.0 
59230002,2.0 
59540002,2.0 
60020001,2.0 
60070002,2.0 
60090003,2.0 
60100003,2.0 
60120003,2.0 
64500002,2.0 
65040002,2.0 
65050002,2.0 
66130001,2.0 
67390001,2.0 
67500001,2.0 
68380003,2.0 
68440001,2.0 
69350001,2.0 
69350002,2.0 
70330003,2.0 
330001,2.1 
460002,2.1 
1560002,2.1 
1570001,2.1 
1650002,2.1 
1660002,2.1 
5370003,2.1 
5470003,2.1 
5720004,2.1 
7530001,2.1 
7530002,2.1 
7660003,2.1 
8550002,2.1 
8610002,2.1 
8760002,2.1 
9040004,2.1 
10050001,2.1 
10270001,2.1 
10290001,2.1 
10420001,2.1 
10550002,2.1 
11360001,2.1 
11440004,2.1 
12650001,2.1 
13480002,2.1 
14700001,2.1 
14700003,2.1 
14820003,2.1 
15400002,2.1 
15410002,2.1 
16040001,2.1 
16860002,2.1 
17380001,2.1 
18330001,2.1 
18330002,2.1 
18820002,2.1 
18870003,2.1 
18900003,2.1 
20690001,2.1 
22880003,2.1 
23040001,2.1 
23070001,2.1 
23310002,2.1 
24930004,2.1 
25080002,2.1 
25670001,2.1 
25680001,2.1 
25790001,2.1 
25860001,2.1 
25980001,2.1 
26590001,2.1 
27120002,2.1 
27220002,2.1 
27730001,2.1 
28790001,2.1 
40010001,2.1 
40030001,2.1 
40490002,2.1 
50730002,2.1 
51400001,2.1 
51730001,2.1 
53660002,2.1 
53870001,2.1 
54290001,2.1 
55560001,2.1 
55740002,2.1 
57110002,2.1 
57260002,2.1 
58590003,2.1 
59230001,2.1 
59270001,2.1 
59490001,2.1 
60070003,2.1 
60080001,2.1 
60080003,2.1 
60090001,2.1 
60120001,2.1 
60480002,2.1 
60500003,2.1 
60510001,2.1 
61200002,2.1 
63480001,2.1 
64660001,2.1 
64660003,2.1 
64700002,2.1 
65060002,2.1 
65090002,2.1 
65320001,2.1 
65680004,2.1 
66590001,2.1 
67200002,2.1 
67980002,2.1 
68080005,2.1 
68110002,2.1 
68890001,2.1 
69070004,2.1 
69360003,2.1 
69380001,2.1 
69390001,2.1 
69450002,2.1 
70340001,2.1 
140001,2.2 
1030002,2.2 
1180002,2.2 
1540002,2.2 
1610002,2.2 
1640001,2.2 
1650001,2.2 
1680003,2.2 
1710002,2.2 
1720002,2.2 
1810001,2.2 
2270003,2.2 
2310002,2.2 
3010002,2.2 
3070002,2.2 
3070004,2.2 
3680003,2.2 
4140002,2.2 
4320001,2.2 
4520003,2.2 
4560002,2.2 
4820002,2.2 
5620002,2.2 
5630001,2.2 
5700002,2.2 
5710004,2.2 
5720001,2.2 
5720003,2.2 
5780002,2.2 
5960005,2.2 
5980001,2.2 
6170003,2.2 
6770002,2.2 
7520002,2.2 
8230001,2.2 
8230003,2.2 
8520004,2.2 
8540001,2.2 
8600003,2.2 
8770002,2.2 
9430001,2.2 
9620002,2.2 
9650004,2.2 
10110001,2.2 
10250002,2.2 
10280002,2.2 
10330002,2.2 
10550001,2.2 
11060001,2.2 
11270006,2.2 
11280002,2.2 
11370001,2.2 
11430004,2.2 
12180002,2.2 
12410002,2.2 
12420001,2.2 
12440002,2.2 
12980001,2.2 
13940002,2.2 
14030002,2.2 
14540001,2.2 
14540002,2.2 
14620003,2.2 
14830002,2.2 
14860001,2.2 
14890001,2.2 
15170001,2.2 
15940001,2.2 
15960001,2.2 
15970002,2.2 
16100003,2.2 
16890002,2.2 
17080001,2.2 
17200001,2.2 
17370002,2.2 
17430003,2.2 
17470002,2.2 
17470003,2.2 
17490002,2.2 
17580001,2.2 
17650002,2.2 
18020001,2.2 
18030002,2.2 
18040003,2.2 
18090001,2.2 
18570001,2.2 
19280003,2.2 
19740001,2.2 
19960001,2.2 
19970002,2.2 
20110001,2.2 
20510002,2.2 
20530001,2.2 
20560001,2.2 
20580003,2.2 
20590001,2.2 
20590003,2.2 
20600001,2.2 
20640004,2.2 
20670002,2.2 
20680004,2.2 
20720002,2.2 
21400001,2.2 
21590004,2.2 
21650004,2.2 
21810002,2.2 
22140001,2.2 
22410004,2.2 
22550003,2.2 
22870003,2.2 
23060001,2.2 
23060002,2.2 
23090001,2.2 
23170003,2.2 
23290003,2.2 
23500004,2.2 
23610002,2.2 
23880002,2.2 
23950001,2.2 
24530001,2.2 
24620001,2.2 
24920001,2.2 
25080003,2.2 
25330004,2.2 
25980002,2.2 
26040001,2.2 
26350002,2.2 
26550001,2.2 
26870005,2.2 
26910002,2.2 
26960102,2.2 
27080001,2.2 
27190004,2.2 
27640004,2.2 
27700002,2.2 
27720003,2.2 
27750001,2.2 
29340003,2.2 
29340004,2.2 
29350001,2.2 
29770002,2.2 
29830002,2.2 
30020002,2.2 
40230003,2.2 
40230004,2.2 
40360002,2.2 
40560002,2.2 
40580002,2.2 
40620001,2.2 
40650003,2.2 
50560002,2.2 
50830001,2.2 
50980001,2.2 
50990002,2.2 
51050003,2.2 
51420002,2.2 
51980001,2.2 
52450002,2.2 
52690001,2.2 
53180004,2.2 
53230001,2.2 
54020001,2.2 
54620002,2.2 
55060001,2.2 
55080001,2.2 
55390002,2.2 
55570001,2.2 
55610001,2.2 
55960002,2.2 
56210001,2.2 
57000001,2.2 
57210002,2.2 
57230001,2.2 
57260001,2.2 
57290002,2.2 
57960003,2.2 
58350002,2.2 
58550001,2.2 
58600001,2.2 
58600003,2.2 
58710001,2.2 
58710002,2.2 
58800001,2.2 
59210002,2.2 
59220002,2.2 
59250001,2.2 
59250002,2.2 
59260001,2.2 
59450001,2.2 
59510002,2.2 
59540001,2.2 
59580102,2.2 
59590002,2.2 
60050001,2.2 
60090002,2.2 
60090004,2.2 
60110001,2.2 
60120002,2.2 
60410001,2.2 
60470002,2.2 
60580001,2.2 
60710003,2.2 
61170001,2.2 
61230001,2.2 
61750001,2.2 
61900003,2.2 
61920001,2.2 
63550002,2.2 
63600003,2.2 
63910004,2.2 
63950002,2.2 
64520001,2.2 
64530003,2.2 
64610002,2.2 
64630001,2.2 
65030001,2.2 
65070003,2.2 
65070004,2.2 
65100002,2.2 
65100003,2.2 
65100005,2.2 
65270002,2.2 
65380001,2.2 
65410001,2.2 
65410003,2.2 
65410004,2.2 
65420001,2.2 
65420002,2.2 
65430001,2.2 
65450002,2.2 
65460001,2.2 
65490001,2.2 
65570002,2.2 
65590101,2.2 
65600002,2.2 
65650002,2.2 
65800001,2.2 
66160001,2.2 
66310003,2.2 
66390004,2.2 
66600001,2.2 
66850001,2.2 
67360001,2.2 
67400003,2.2 
67510001,2.2 
68010003,2.2 
68060002,2.2 
68410001,2.2 
68480002,2.2 
69040002,2.2 
69090003,2.2 
69610002,2.2 
