userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,3,FALSE,FALSE
337,gate_30,38,TRUE,TRUE
377,gate_40,165,TRUE,FALSE
483,gate_40,1,FALSE,FALSE
488,gate_40,179,TRUE,TRUE
540,gate_40,187,TRUE,TRUE
1066,gate_30,0,FALSE,TRUE
1444,gate_40,2,FALSE,FALSE
1574,gate_40,108,TRUE,TRUE
1587,gate_40,153,TRUE,FALSE
1842,gate_40,3,FALSE,TRUE
2101,gate_30,0,FALSE,FALSE
2132,gate_40,30,TRUE,FALSE
2179,gate_30,39,TRUE,FALSE
2218,gate_30,305,TRUE,TRUE
2382,gate_30,73,TRUE,TRUE
2392,gate_30,14,TRUE,FALSE
2451,gate_30,204,TRUE,TRUE
2482,gate_30,108,TRUE,TRUE
2502,gate_40,1,FALSE,FALSE
2530,gate_40,9,TRUE,FALSE
2534,gate_30,5,TRUE,TRUE
2695,gate_40,45,TRUE,FALSE
2729,gate_30,105,FALSE,TRUE
2829,gate_30,4,FALSE,FALSE
2963,gate_30,3,FALSE,FALSE
3095,gate_30,0,FALSE,FALSE
3132,gate_40,80,TRUE,TRUE
3186,gate_40,4,FALSE,FALSE
3199,gate_30,5,FALSE,FALSE
3204,gate_40,53,TRUE,TRUE
3413,gate_30,37,TRUE,TRUE
3690,gate_30,13,TRUE,FALSE
3696,gate_30,50,FALSE,FALSE
3993,gate_40,202,TRUE,TRUE
4076,gate_40,0,FALSE,FALSE
4162,gate_30,23,FALSE,FALSE
4176,gate_30,0,FALSE,FALSE
4283,gate_30,103,TRUE,TRUE
4594,gate_30,27,FALSE,FALSE
4653,gate_40,15,FALSE,FALSE
4881,gate_30,0,FALSE,FALSE
4902,gate_40,1,FALSE,FALSE
4916,gate_40,49,TRUE,FALSE
4918,gate_30,7,TRUE,FALSE
4929,gate_30,386,TRUE,TRUE
4945,gate_40,25,TRUE,FALSE
5066,gate_30,1,FALSE,FALSE
5215,gate_30,13,TRUE,FALSE
5286,gate_30,12,TRUE,FALSE
5345,gate_40,6,FALSE,FALSE
5479,gate_30,25,TRUE,TRUE
5550,gate_30,29,TRUE,FALSE
5661,gate_30,136,TRUE,FALSE
5712,gate_30,105,TRUE,TRUE
5920,gate_40,10,TRUE,FALSE
5943,gate_40,76,FALSE,FALSE
6099,gate_40,138,FALSE,FALSE
6123,gate_30,0,FALSE,FALSE
6151,gate_30,94,TRUE,TRUE
6156,gate_40,1,FALSE,FALSE
6492,gate_30,0,FALSE,FALSE
6664,gate_40,26,TRUE,FALSE
6695,gate_40,127,TRUE,FALSE
6833,gate_40,6,FALSE,FALSE
6842,gate_40,4,FALSE,FALSE
6924,gate_30,21,TRUE,TRUE
6930,gate_40,297,TRUE,TRUE
7124,gate_40,108,TRUE,TRUE
7253,gate_30,45,TRUE,FALSE
7321,gate_40,33,FALSE,FALSE
7509,gate_40,0,FALSE,FALSE
7527,gate_30,80,TRUE,TRUE
7564,gate_30,21,FALSE,FALSE
7582,gate_40,3,FALSE,FALSE
7767,gate_30,139,TRUE,TRUE
7866,gate_30,14,FALSE,FALSE
8063,gate_30,50,TRUE,TRUE
8254,gate_40,14,FALSE,FALSE
8256,gate_40,14,FALSE,FALSE
8288,gate_30,9,FALSE,FALSE
8317,gate_40,3,FALSE,FALSE
8379,gate_30,0,FALSE,FALSE
8464,gate_30,10,FALSE,FALSE
8465,gate_40,4,FALSE,FALSE
8494,gate_30,5,TRUE,TRUE
8644,gate_30,2,FALSE,FALSE
8679,gate_30,0,FALSE,FALSE
8692,gate_30,3,TRUE,FALSE
8753,gate_40,10,TRUE,FALSE
8788,gate_30,19,FALSE,TRUE
8801,gate_40,0,FALSE,FALSE
8885,gate_40,5,FALSE,FALSE
9001,gate_40,16,TRUE,FALSE
9308,gate_40,95,TRUE,FALSE
9443,gate_40,3,FALSE,FALSE
9589,gate_30,8,TRUE,FALSE
9699,gate_40,8,FALSE,FALSE
9828,gate_40,1,FALSE,FALSE
9831,gate_40,3,FALSE,FALSE
9849,gate_40,1,FALSE,FALSE
10112,gate_30,6,FALSE,FALSE
10200,gate_40,106,FALSE,TRUE
10218,gate_30,22,TRUE,FALSE
10276,gate_40,1,FALSE,FALSE
10336,gate_30,11,FALSE,FALSE
10476,gate_40,4,FALSE,FALSE
10533,gate_40,21,FALSE,FALSE
10598,gate_40,8,FALSE,FALSE
10636,gate_30,246,TRUE,TRUE
10637,gate_40,0,FALSE,FALSE
10676,gate_40,6,FALSE,FALSE
10756,gate_30,16,TRUE,TRUE
10884,gate_40,49,TRUE,FALSE
11093,gate_40,54,TRUE,TRUE
11127,gate_30,66,TRUE,TRUE
11297,gate_30,0,FALSE,FALSE
11411,gate_30,122,TRUE,TRUE
11420,gate_30,75,TRUE,FALSE
11599,gate_30,3,FALSE,FALSE
11675,gate_40,17,FALSE,FALSE
11747,gate_30,1,TRUE,FALSE
11840,gate_30,24,FALSE,FALSE
11886,gate_30,3,FALSE,FALSE
12053,gate_30,11,TRUE,TRUE
12067,gate_40,7,FALSE,FALSE
12163,gate_30,47,TRUE,FALSE
12393,gate_40,1,FALSE,FALSE
12461,gate_40,4,FALSE,FALSE
12523,gate_30,31,TRUE,FALSE
12558,gate_30,13,TRUE,TRUE
12574,gate_30,22,TRUE,FALSE
12749,gate_30,6,TRUE,FALSE
12905,gate_40,1,FALSE,FALSE
12951,gate_40,2,FALSE,FALSE
12967,gate_30,24,TRUE,TRUE
12979,gate_30,6,FALSE,FALSE
13133,gate_40,6,FALSE,FALSE
13216,gate_30,24,TRUE,FALSE
13228,gate_40,9,FALSE,FALSE
13320,gate_40,34,FALSE,FALSE
13321,gate_40,56,FALSE,FALSE
13376,gate_40,12,TRUE,FALSE
13429,gate_30,60,FALSE,TRUE
13494,gate_40,10,TRUE,FALSE
13633,gate_30,67,FALSE,FALSE
13664,gate_30,42,TRUE,TRUE
13721,gate_40,65,TRUE,FALSE
13758,gate_30,1,FALSE,FALSE
13806,gate_30,4,FALSE,FALSE
13856,gate_30,3,FALSE,FALSE
13872,gate_30,1,FALSE,FALSE
13893,gate_40,14,FALSE,FALSE
13969,gate_40,42,FALSE,FALSE
14143,gate_30,13,TRUE,TRUE
14218,gate_30,129,FALSE,TRUE
14290,gate_40,6,TRUE,FALSE
14296,gate_30,37,FALSE,FALSE
14381,gate_40,9,FALSE,FALSE
14592,gate_30,1,FALSE,FALSE
14644,gate_40,2,FALSE,FALSE
14834,gate_30,27,TRUE,TRUE
15157,gate_40,38,FALSE,FALSE
15173,gate_30,8,FALSE,FALSE
15294,gate_30,51,TRUE,TRUE
15489,gate_30,5,FALSE,FALSE
15597,gate_40,2,FALSE,FALSE
15962,gate_30,0,FALSE,FALSE
15970,gate_40,16,TRUE,FALSE
16096,gate_40,0,FALSE,FALSE
16145,gate_40,7,FALSE,FALSE
16180,gate_30,5,FALSE,FALSE
16224,gate_40,0,FALSE,FALSE
16454,gate_40,11,FALSE,FALSE
16504,gate_40,0,FALSE,FALSE
16506,gate_30,4,TRUE,FALSE
16638,gate_40,51,TRUE,FALSE
16696,gate_40,5,FALSE,FALSE
17085,gate_40,33,FALSE,FALSE
17167,gate_30,21,TRUE,TRUE
17270,gate_30,49,TRUE,FALSE
17422,gate_40,2,FALSE,FALSE
17461,gate_30,1,FALSE,FALSE
17477,gate_30,46,TRUE,TRUE
17506,gate_40,127,TRUE,TRUE
17554,gate_30,1,FALSE,FALSE
17814,gate_30,14,FALSE,FALSE
17903,gate_40,17,FALSE,FALSE
17947,gate_30,104,TRUE,TRUE
17995,gate_30,6,FALSE,FALSE
18013,gate_40,21,TRUE,FALSE
18213,gate_40,36,TRUE,FALSE
18235,gate_30,8,TRUE,TRUE
18374,gate_40,53,TRUE,FALSE
18731,gate_30,1,FALSE,FALSE
18756,gate_30,38,TRUE,TRUE
18778,gate_30,13,FALSE,FALSE
18827,gate_30,20,TRUE,TRUE
18849,gate_40,74,TRUE,TRUE
18993,gate_40,25,TRUE,FALSE
19077,gate_30,11,FALSE,FALSE
19091,gate_40,1,FALSE,FALSE
19474,gate_40,2,FALSE,FALSE
19490,gate_30,72,TRUE,FALSE
19529,gate_40,22,FALSE,FALSE
19537,gate_40,2,FALSE,FALSE
19593,gate_40,18,FALSE,FALSE
19673,gate_40,4,FALSE,FALSE
19721,gate_40,18,FALSE,FALSE
19728,gate_40,79,TRUE,TRUE
19746,gate_30,65,TRUE,TRUE
19896,gate_40,13,TRUE,FALSE
19993,gate_30,5,TRUE,FALSE
20005,gate_30,4,FALSE,FALSE
20052,gate_30,8,FALSE,FALSE
20136,gate_30,0,FALSE,FALSE
20358,gate_40,19,FALSE,TRUE
20365,gate_40,6,FALSE,FALSE
20465,gate_30,108,TRUE,TRUE
20489,gate_40,2,FALSE,FALSE
20587,gate_40,26,FALSE,FALSE
20591,gate_40,2,TRUE,FALSE
20721,gate_40,99,FALSE,TRUE
20763,gate_30,10,FALSE,FALSE
20790,gate_40,5,TRUE,FALSE
20832,gate_30,13,TRUE,FALSE
20940,gate_40,1,FALSE,FALSE
21072,gate_40,16,FALSE,FALSE
21130,gate_40,1,FALSE,FALSE
21137,gate_40,91,TRUE,FALSE
21228,gate_40,149,TRUE,TRUE
21408,gate_30,20,TRUE,TRUE
21442,gate_40,68,TRUE,FALSE
21755,gate_40,12,FALSE,TRUE
22069,gate_40,7,FALSE,FALSE
22082,gate_40,3,FALSE,FALSE
22167,gate_40,277,TRUE,TRUE
22299,gate_40,493,TRUE,TRUE
22398,gate_30,4,FALSE,FALSE
22486,gate_40,3,FALSE,FALSE
22676,gate_40,8,FALSE,FALSE
