hid,h21area,h21hhld,h21fly_typ,h21houstyp,h21h_income1,h21h_income2
100,1,4,3,2,16,6
200,1,3,3,2,20,6
300,8,4,3,2,9,5
400,8,4,3,2,22,6
500,8,4,3,2,10,5
600,8,4,3,2,16,6
800,8,1,1,2,1,1
1000,8,4,3,2,18,6
1300,1,2,2,1,4,2
1400,1,1,1,3,5,3
1600,1,2,2,2,5,3
1800,1,1,1,2,4,2
2200,1,2,2,3,11,6
2300,1,4,3,3,15,6
2600,1,4,3,3,22,6
2700,1,2,2,3,11,6
2900,8,3,3,2,12,6
3000,1,4,3,2,20,6
3100,1,4,3,2,19,6
3200,1,3,3,2,2,1
3300,1,1,1,2,2,1
3400,1,4,3,2,10,5
3500,1,3,3,3,10,5
3600,8,3,3,2,8,4
3700,8,4,3,2,11,6
3800,9,3,3,3,13,6
3900,4,4,3,2,21,6
4000,4,2,2,2,6,3
4100,4,2,3,2,3,2
4200,4,4,3,3,6,3
4300,4,4,3,2,14,6
4400,4,4,3,3,12,6
4600,1,2,2,3,14,6
4700,8,3,3,2,10,5
4800,1,2,2,1,4,2
4900,1,4,3,3,9,5
5000,1,1,1,1,4,2
5100,1,1,1,3,5,3
5200,1,2,2,2,10,5
5300,1,4,3,2,13,6
5400,1,5,3,2,14,6
5500,1,3,3,2,14,6
5600,1,2,2,3,9,5
5700,1,2,2,1,9,5
5800,1,3,3,1,8,4
5900,1,1,1,3,7,4
6000,1,5,3,1,9,5
6100,1,1,1,3,7,4
6200,1,1,1,3,6,3
6300,1,3,3,3,13,6
6400,1,2,3,3,5,3
6500,8,3,3,2,7,4
6600,1,4,3,2,21,6
6700,1,4,3,2,9,5
6800,1,2,2,2,4,2
6900,1,4,3,2,14,6
7000,1,4,3,2,14,6
7100,1,4,3,2,11,6
7200,1,3,3,2,9,5
7300,1,4,3,2,21,6
7400,1,4,3,2,15,6
7500,1,4,3,2,11,6
7600,1,4,3,2,12,6
7800,1,2,2,2,3,2
8100,1,2,2,2,6,3
8101,1,1,1,1,8,4
8200,8,5,4,2,11,6
8300,8,4,3,2,22,6
8700,8,4,3,2,11,6
8900,8,5,4,2,21,6
9000,8,4,3,2,20,6
9300,1,4,3,3,14,6
9400,1,4,3,1,15,6
9600,1,4,3,1,9,5
9700,1,2,2,2,6,3
9800,1,4,3,3,22,6
10000,1,2,2,3,16,6
10100,1,4,3,3,10,5
10200,1,6,4,3,15,6
10300,1,2,2,3,4,2
10400,1,4,3,2,15,6
10600,1,4,3,2,10,5
10700,1,5,3,2,15,6
10800,1,3,3,3,7,4
10900,1,5,3,1,6,3
11000,1,1,1,1,6,3
11100,1,2,2,1,6,3
11200,1,4,3,2,12,6
11500,1,4,3,1,6,3
11600,1,4,3,3,12,6
11700,1,4,3,2,11,6
11800,1,4,3,2,7,4
11900,1,4,3,1,11,6
12000,1,5,4,2,9,5
12100,1,4,3,2,19,6
12200,1,1,1,3,3,2
12300,1,4,3,2,10,5
12400,1,2,2,3,6,3
12600,1,3,3,3,11,6
12700,1,4,3,3,16,6
12800,1,1,1,3,6,3
12900,1,4,3,1,16,6
13000,1,4,3,2,19,6
13100,1,4,3,2,11,6
13200,1,3,3,3,12,6
13201,1,3,3,3,15,6
13300,1,1,1,3,6,3
13400,8,4,3,2,14,6
13500,1,1,1,2,4,2
13600,1,2,2,1,5,3
13800,1,2,2,3,9,5
15000,1,4,4,2,11,6
15100,4,3,3,2,11,6
15200,1,6,4,2,13,6
15300,1,3,3,2,21,6
15400,1,3,3,2,12,6
15500,8,2,2,3,10,5
15600,1,2,3,3,11,6
15700,1,1,1,3,6,3
15800,1,1,1,3,4,2
15900,1,3,3,3,15,6
16000,1,1,1,2,7,4
16100,1,4,3,3,16,6
16200,1,1,1,3,6,3
16300,1,4,3,2,22,6
16400,1,4,3,2,14,6
16500,1,4,3,2,10,5
16600,1,4,3,2,14,6
16700,1,3,3,2,13,6
16800,1,4,3,2,14,6
16900,1,2,2,2,15,6
17100,1,4,3,2,19,6
17200,1,4,3,2,21,6
17300,1,2,2,2,16,6
17400,8,5,4,2,20,6
17600,8,4,3,2,20,6
17700,8,4,3,2,15,6
18000,8,5,3,2,22,6
18400,8,4,3,2,8,4
18500,8,5,3,2,10,5
18700,8,4,3,2,16,6
18800,8,5,4,2,22,6
18900,8,2,2,2,8,4
19600,1,2,2,3,5,3
19800,1,1,1,3,5,3
19900,1,4,3,1,22,6
20000,1,5,3,1,21,6
20100,8,2,3,2,12,6
20300,1,4,3,1,14,6
20400,8,1,1,2,4,2
20500,1,1,1,1,8,4
20600,1,1,1,4,2,1
20700,1,3,3,1,15,6
20800,1,4,3,1,22,6
21000,1,2,2,1,3,2
21100,1,3,3,1,8,4
21200,4,2,2,2,10,5
21300,1,3,3,1,6,3
21400,1,4,3,1,14,6
21500,1,2,2,1,5,3
21700,1,4,3,1,21,6
21800,1,5,3,1,21,6
21900,1,4,3,1,6,3
22000,1,4,3,1,18,6
22100,1,3,3,1,8,4
22200,1,3,3,1,13,6
22300,1,2,3,1,7,4
23400,8,4,3,2,12,6
23500,8,5,4,3,7,4
23600,8,4,3,2,21,6
24000,8,2,2,2,5,3
24100,8,3,3,2,22,6
24200,8,4,3,2,15,6
24300,8,4,3,2,9,5
24400,8,4,3,2,14,6
24500,8,5,3,2,15,6
24600,8,3,3,2,7,4
26200,8,4,3,3,22,6
26400,8,5,3,3,22,6
26900,8,4,3,2,16,6
27000,8,3,3,2,11,6
27100,8,4,3,2,9,5
27200,8,3,3,2,8,4
27300,8,3,3,2,8,4
27500,8,4,3,2,11,6
27600,8,4,3,2,11,6
27700,8,5,3,2,9,5
27800,8,3,3,2,19,6
28000,8,5,3,2,8,4
28100,8,3,3,2,8,4
28200,8,4,4,2,10,5
28300,8,4,3,2,13,6
28400,8,4,3,2,11,6
28500,5,2,3,1,6,3
28700,5,1,1,1,1,1
28900,5,4,3,2,6,3
29300,5,2,3,1,8,4
30200,4,4,3,2,8,4
30600,4,4,3,3,7,4
30700,4,4,3,2,13,6
31000,4,3,3,2,7,4
31100,4,5,3,2,12,6
31200,4,3,3,2,9,5
31600,1,2,2,2,4,2
31700,1,5,3,2,16,6
31800,1,3,3,3,9,5
31900,1,1,1,3,8,4
32000,1,3,3,2,8,4
32100,1,1,1,2,5,3
32200,1,5,3,2,12,6
32400,1,1,1,3,10,5
32500,1,4,3,3,12,6
32600,1,4,3,3,13,6
32700,1,4,3,3,22,6
32800,1,4,3,3,11,6
32900,1,3,3,3,11,6
33000,1,4,3,3,13,6
33100,1,4,3,3,11,6
33300,1,4,3,3,14,6
33400,1,3,3,3,11,6
33500,1,3,3,3,18,6
33600,1,4,3,3,15,6
33700,1,4,3,3,22,6
33900,4,1,1,2,3,2
33901,4,5,3,2,22,6
34100,4,1,1,2,3,2
34101,4,2,3,2,10,5
34200,4,4,3,2,16,6
34300,4,3,3,2,21,6
34400,4,4,3,2,21,6
34600,4,4,3,2,13,6
34800,4,4,3,2,15,6
34900,1,2,2,3,7,4
35000,1,3,3,3,21,6
35200,1,2,2,3,8,4
35300,1,3,3,3,11,6
35400,1,4,3,3,11,6
35600,1,2,2,3,6,3
35800,1,4,3,3,13,6
35900,1,2,2,3,6,3
36000,1,2,2,3,11,6
36100,1,4,3,3,13,6
36200,1,4,3,3,11,6
36400,1,3,3,2,12,6
36600,1,4,3,2,22,6
36700,1,1,1,2,5,3
36900,1,3,3,2,11,6
37100,1,4,3,3,20,6
37200,1,3,3,3,12,6
37300,1,4,3,3,13,6
37400,1,4,3,2,13,6
37500,1,4,3,3,22,6
37600,1,4,3,3,11,6
37700,1,4,3,3,13,6
37800,1,3,3,3,14,6
39200,5,2,2,2,6,3
39300,5,3,3,2,10,5
39600,8,4,3,2,11,6
39700,8,2,2,2,8,4
39900,8,4,3,2,12,6
40000,1,3,3,3,12,6
40600,8,4,3,2,13,6
40800,8,4,3,2,7,4
41000,8,2,3,2,6,3
41100,8,4,3,2,20,6
41400,8,5,3,2,11,6
41500,8,4,3,2,22,6
41800,8,4,3,4,10,5
41900,8,1,1,1,2,1
42200,8,4,3,3,11,6
42300,8,3,3,2,16,6
42400,8,3,3,2,12,6
42500,8,4,3,2,10,5
42700,8,4,3,2,22,6
42800,8,3,3,2,20,6
42900,8,3,3,2,12,6
43100,8,4,3,2,8,4
43300,8,3,3,4,11,6
43400,8,3,3,2,14,6
43500,8,5,3,2,13,6
43600,8,2,2,2,14,6
43800,8,1,1,2,2,1
43900,8,4,3,2,9,5
44000,8,5,4,2,12,6
44100,8,4,3,3,13,6
44300,8,5,4,3,14,6
44400,8,3,3,3,9,5
44600,8,5,3,3,8,4
44800,8,4,3,3,12,6
44900,8,5,3,2,8,4
45000,8,3,3,3,14,6
45100,8,3,3,3,8,4
45200,8,4,3,1,8,4
45400,8,3,3,2,9,5
45600,8,3,3,2,12,6
45700,8,4,3,2,8,4
45900,1,2,2,1,5,3
46100,1,4,3,3,11,6
46300,1,2,3,3,10,5
46900,1,3,3,2,19,6
47300,1,4,3,2,22,6
47500,1,2,2,2,12,6
47600,1,4,3,2,16,6
48200,1,2,3,2,13,6
49200,1,3,3,2,20,6
49300,1,2,2,2,2,1
49500,1,4,3,2,15,6
49600,1,5,4,2,18,6
49601,1,1,1,2,5,3
49800,1,4,3,2,11,6
49900,1,4,3,2,10,5
50100,1,4,4,2,5,3
50300,1,5,4,2,18,6
