history,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0_10_1_0,0,0,0,0,0,0,0,0,0,0
0_9_1_1,0,0,0,0,0,0,0,0,0,1
0_8_1_2,0,0,0,0,0,0,0,0,1,1
0_7_1_3,0,0,0,0,0,0,0,1,1,1
0_6_1_4,0,0,0,0,0,0,1,1,1,1
0_5_1_5,0,0,0,0,0,1,1,1,1,1
0_4_1_6,0,0,0,0,1,1,1,1,1,1
0_3_1_7,0,0,0,1,1,1,1,1,1,1
0_2_1_8,0,0,1,1,1,1,1,1,1,1
0_1_1_9,0,1,1,1,1,1,1,1,1,1
0_0_1_10,1,1,1,1,1,1,1,1,1,1
1_10_0_0,1,1,1,1,1,1,1,1,1,1
1_9_0_1,1,1,1,1,1,1,1,1,1,0
1_8_0_2,1,1,1,1,1,1,1,1,0,0
1_7_0_3,1,1,1,1,1,1,1,0,0,0
1_6_0_4,1,1,1,1,1,1,0,0,0,0
1_5_0_5,1,1,1,1,1,0,0,0,0,0
1_4_0_6,1,1,1,1,0,0,0,0,0,0
1_3_0_7,1,1,1,0,0,0,0,0,0,0
1_2_0_8,1,1,0,0,0,0,0,0,0,0
1_1_0_9,1,0,0,0,0,0,0,0,0,0
1_0_0_10,0,0,0,0,0,0,0,0,0,0
