id,성별,나이,쇼핑몰,만족도
1,남,31,다산마트,2
2,남,35,광교마트,4
3,남,25,아주마트,4
4,남,43,아주마트,2
5,여,25,아주마트,2
6,남,31,아주마트,7
7,여,38,다산마트,1
8,남,40,다산마트,6
9,남,21,다산마트,1
10,남,29,아주마트,5
11,남,24,광교마트,7
12,남,20,아주마트,2
13,남,18,광교마트,3
14,여,42,다산마트,6
15,여,23,다산마트,3
16,여,35,다산마트,6
17,남,29,다산마트,4
18,여,24,광교마트,5
19,남,38,광교마트,1
20,여,45,다산마트,5
21,여,24,아주마트,6
22,여,45,아주마트,3
23,남,27,아주마트,5
24,여,31,다산마트,6
25,남,43,아주마트,6
26,여,44,다산마트,5
27,여,27,다산마트,5
28,남,20,다산마트,3
29,남,42,다산마트,7
30,남,55,광교마트,7
31,여,35,광교마트,7
32,여,26,아주마트,1
33,남,31,다산마트,5
34,여,34,광교마트,1
35,남,20,다산마트,6
36,남,20,다산마트,4
37,여,44,아주마트,7
38,남,36,아주마트,4
39,남,37,다산마트,7
40,여,24,다산마트,5
41,여,20,광교마트,2
42,여,42,광교마트,1
43,남,26,광교마트,1
44,남,30,아주마트,6
45,남,22,아주마트,4
46,남,24,아주마트,3
47,남,38,광교마트,2
48,여,35,다산마트,3
49,여,23,다산마트,2
50,여,26,아주마트,2
51,남,22,다산마트,5
52,여,23,아주마트,6
53,여,35,다산마트,6
54,남,42,광교마트,1
55,남,41,광교마트,1
56,여,24,다산마트,6
57,남,36,아주마트,3
58,여,25,아주마트,1
59,여,33,광교마트,4
60,남,33,아주마트,5
61,남,53,광교마트,3
62,여,30,다산마트,4
63,여,31,아주마트,6
64,여,38,다산마트,7
65,여,33,광교마트,7
66,여,21,광교마트,4
67,여,31,아주마트,6
68,남,45,다산마트,7
69,남,48,광교마트,1
70,남,28,아주마트,4
71,여,20,아주마트,6
72,여,26,광교마트,1
73,남,33,광교마트,4
74,여,21,다산마트,2
75,남,32,광교마트,2
76,여,41,광교마트,5
77,여,42,아주마트,1
78,남,20,아주마트,4
79,남,45,광교마트,4
80,여,26,아주마트,3
81,여,21,다산마트,4
82,남,37,광교마트,4
83,남,20,아주마트,3
84,남,39,광교마트,2
85,여,35,다산마트,5
86,여,23,아주마트,1
87,여,38,광교마트,1
88,여,37,광교마트,5
89,남,28,광교마트,1
90,남,44,다산마트,7
91,남,36,다산마트,1
92,남,35,광교마트,3
93,여,22,다산마트,6
94,남,23,아주마트,7
95,여,26,광교마트,2
96,남,26,아주마트,5
97,남,41,광교마트,1
98,남,42,다산마트,7
99,남,34,다산마트,3
100,남,21,다산마트,4
101,여,38,광교마트,6
102,여,29,다산마트,1
103,여,39,광교마트,1
104,여,29,광교마트,4
105,남,44,광교마트,1
106,여,42,광교마트,1
107,남,32,다산마트,4
108,여,31,아주마트,2
109,여,45,광교마트,3
110,여,25,아주마트,4
111,여,26,아주마트,7
112,남,33,광교마트,7
113,여,29,다산마트,6
114,남,42,다산마트,5
115,여,44,다산마트,4
116,남,45,광교마트,3
117,여,34,광교마트,6
118,여,36,아주마트,4
119,여,36,광교마트,3
120,남,25,다산마트,6
121,여,20,아주마트,6
122,남,25,광교마트,1
123,남,40,광교마트,2
124,남,39,아주마트,2
125,여,51,광교마트,7
126,여,20,아주마트,2
127,남,40,광교마트,6
128,여,43,다산마트,6
129,여,19,광교마트,5
130,여,38,다산마트,6
131,남,41,광교마트,2
132,여,33,아주마트,1
133,남,20,다산마트,7
134,남,24,아주마트,3
135,여,33,광교마트,4
136,여,29,다산마트,1
137,남,39,아주마트,5
138,남,36,광교마트,2
139,남,24,아주마트,4
140,여,31,광교마트,1
141,여,21,다산마트,3
142,여,26,아주마트,1
143,남,45,광교마트,6
144,남,37,광교마트,5
145,남,26,아주마트,4
146,여,44,다산마트,7
147,여,31,다산마트,5
148,남,34,다산마트,6
149,여,40,다산마트,1
150,남,32,아주마트,3
151,여,37,아주마트,6
152,여,35,아주마트,6
153,여,33,아주마트,1
154,남,25,다산마트,6
155,여,21,아주마트,6
156,여,31,다산마트,6
157,남,40,광교마트,4
158,여,24,아주마트,4
159,여,45,광교마트,2
160,여,34,광교마트,1
161,여,23,다산마트,7
162,남,34,다산마트,5
163,여,42,다산마트,7
164,남,44,다산마트,4
165,여,42,다산마트,6
166,여,27,아주마트,1
167,남,26,광교마트,6
168,여,35,아주마트,6
169,여,35,다산마트,3
170,남,30,아주마트,6
171,남,41,광교마트,4
172,여,38,다산마트,4
173,남,33,아주마트,4
174,여,27,다산마트,7
175,남,19,다산마트,4
176,여,31,다산마트,6
177,여,38,다산마트,3
178,남,35,다산마트,5
179,남,39,아주마트,1
180,남,24,광교마트,7
181,여,43,다산마트,2
182,남,49,광교마트,5
183,여,24,아주마트,4
184,남,37,광교마트,1
185,여,27,광교마트,5
186,남,20,아주마트,7
187,여,38,광교마트,6
188,여,40,다산마트,4
189,남,28,아주마트,3
190,남,24,다산마트,3
191,남,22,아주마트,1
192,여,35,아주마트,7
193,여,41,아주마트,4
194,남,41,아주마트,5
195,여,28,아주마트,2
196,여,43,다산마트,5
197,여,28,광교마트,6
198,남,39,다산마트,3
199,여,19,다산마트,5
200,여,20,다산마트,4
