sample,gende,age,brand,attribute,benefit,value
1,남,27,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
2,여,44,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
3,여,39,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
4,여,41,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
5,여,31,아이폰,브랜드,개성을 표현할 수 있다,자아존중
6,여,25,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
7,여,30,갤럭시,빠른 속도,사용하기 편리하다,걱정없는 삶
8,여,24,갤럭시,세련된 스타일,여가활동이 즐겁다,좋은 관계
9,여,45,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
10,남,42,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
11,여,29,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
12,남,30,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
13,여,36,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
14,여,36,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
15,여,41,아이폰,브랜드,개성을 표현할 수 있다,자아존중
16,여,34,갤럭시,화면크기,여가활동이 즐겁다,좋은 관계
17,여,46,갤럭시,내구성,경제적 손실을 줄인다,걱정없는 삶
18,남,23,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
19,여,43,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
20,남,34,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
21,남,38,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
22,남,46,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
23,남,36,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
24,남,27,아이폰,세련된 스타일,신뢰할 수 있다,풍족한 삶
25,남,26,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
26,남,43,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
27,여,34,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
28,남,35,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
29,여,47,갤럭시,저장용량,사용하기 편리하다,즐거운 인생
30,여,27,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
31,남,25,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
32,여,31,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
33,여,33,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
34,남,46,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
35,여,37,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
36,여,24,갤럭시,빠른 속도,사용하기 편리하다,풍족한 삶
37,여,28,갤럭시,강력한 보안,신뢰할 수 있다,풍족한 삶
38,남,33,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
39,여,40,아이폰,브랜드,개성을 표현할 수 있다,즐거운 인생
40,여,48,갤럭시,내구성,SNS 참여가 쉽다,자아존중
41,남,24,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
42,남,46,아이폰,화면크기,여가활동이 즐겁다,좋은 관계
43,남,29,갤럭시,세련된 스타일,여가활동이 즐겁다,좋은 관계
44,남,41,갤럭시,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
45,여,41,갤럭시,카메라성능,여가활동이 즐겁다,자아존중
46,여,29,갤럭시,강력한 보안,업무효율성이 높아진다,풍족한 삶
47,남,43,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
48,남,41,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
49,남,24,갤럭시,카메라성능,개성을 표현할 수 있다,좋은 관계
50,남,40,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
51,여,27,아이폰,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
52,남,44,아이폰,저장용량,업무효율성이 높아진다,걱정없는 삶
53,여,25,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
54,여,28,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
55,여,35,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
56,여,38,아이폰,브랜드,개성을 표현할 수 있다,자아존중
57,여,38,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
58,남,33,아이폰,세련된 스타일,신뢰할 수 있다,즐거운 인생
59,여,38,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
60,남,44,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
61,여,24,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
62,남,38,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
63,남,43,갤럭시,화면크기,업무효율성이 높아진다,걱정없는 삶
64,여,31,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
65,남,24,갤럭시,내구성,경제적 손실을 줄인다,걱정없는 삶
66,여,39,갤럭시,화면크기,여가활동이 즐겁다,즐거운 인생
67,여,31,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
68,남,25,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
