sample,male,age,attribute,benefit,value,attribute,benefit,value,,,,,,,,,,,,
12,1,30,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
15,0,33,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,code,attribute,benefit,value,
18,0,40,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취,
26,1,48,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중,
31,1,46,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶,
32,0,36,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계,
33,0,37,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생,
42,1,44,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,,
52,1,34,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,7,강력한 보안,업무효율성이 높아진다,,
54,1,41,1,4,5,저렴한 가격,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,8,브랜드,개인정보 보호가 된다,,
61,1,25,1,2,4,저렴한 가격,경제적 손실을 줄인다,좋은 관계,,,,,,,,9,내구성,사용하기 편리하다,,
90,0,32,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,10,무상보증기간,신뢰할 수 있다,,
117,0,23,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
125,0,32,1,5,1,저렴한 가격,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
128,1,31,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
129,1,47,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
145,0,44,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
155,1,40,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
157,0,39,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
161,0,36,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
172,1,25,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
173,0,24,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,,,,,
176,1,24,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
191,0,38,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
198,1,28,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
203,1,39,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
210,0,25,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
212,0,29,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,,,,,
242,0,38,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
252,0,33,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
281,0,48,1,2,5,저렴한 가격,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
290,1,26,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
291,0,41,1,2,1,저렴한 가격,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
305,1,35,1,2,2,저렴한 가격,경제적 손실을 줄인다,자아존중,,,,,,,,,,,,
312,0,41,1,2,4,저렴한 가격,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
313,0,49,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
355,1,36,1,2,3,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,code,attribute,benefit,value,
20,0,36,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취,
25,1,35,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중,
55,1,37,2,6,5,카메라성능,여가활동이 즐겁다,즐거운 인생,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶,
74,1,47,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계,
84,0,29,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생,
87,1,44,2,5,2,카메라성능,SNS 참여가 쉽다,자아존중,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,,
98,0,34,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,7,강력한 보안,업무효율성이 높아진다,,
108,0,44,2,6,2,카메라성능,여가활동이 즐겁다,자아존중,,,,,,,,8,브랜드,개인정보 보호가 된다,,
110,0,24,2,4,3,카메라성능,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,9,내구성,사용하기 편리하다,,
133,1,24,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,10,무상보증기간,신뢰할 수 있다,,
135,0,38,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
136,0,36,2,5,2,카메라성능,SNS 참여가 쉽다,자아존중,,,,,,,,,,,,
141,0,27,2,6,5,카메라성능,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
163,1,41,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
171,1,23,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
190,0,40,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
200,1,38,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
216,0,30,2,6,4,카메라성능,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
219,0,36,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
