sample,male,age,attribute,benefit,value
1,1,27,4,9,5
2,0,44,5,7,1
3,0,39,4,7,1
4,0,41,7,10,3
5,0,31,8,4,2
6,0,25,1,2,1
7,0,30,4,9,3
8,0,24,6,6,4
9,0,45,4,9,5
10,1,42,4,7,3
11,0,29,7,8,3
12,1,30,4,7,1
13,0,36,3,7,1
14,0,36,1,2,3
15,0,41,8,4,2
16,0,34,3,6,4
17,0,46,9,2,3
18,1,23,8,10,1
19,0,43,7,7,1
20,1,34,6,6,4
21,1,38,7,8,3
22,1,46,4,7,1
23,1,36,1,2,1
24,1,27,6,10,1
25,1,26,7,8,3
26,1,43,6,4,4
27,0,34,5,7,1
28,1,35,1,2,3
29,0,47,5,9,5
30,0,27,2,5,5
31,1,25,3,9,5
32,0,31,4,7,1
33,0,33,8,10,3
34,1,46,6,6,5
35,0,37,7,10,3
36,0,24,4,9,1
37,0,28,7,10,1
38,1,33,6,4,2
39,0,40,8,4,5
40,0,48,9,5,2
41,1,24,6,4,2
42,1,46,3,6,4
43,1,29,6,6,4
44,1,41,4,3,5
45,0,41,2,6,2
46,0,29,7,7,1
47,1,43,2,5,4
48,1,41,4,9,5
49,1,24,2,4,4
50,1,40,3,7,1
51,0,27,4,3,5
52,1,44,5,7,3
53,0,25,4,7,1
54,0,28,4,7,3
55,0,35,6,6,5
56,0,38,8,4,2
57,0,38,7,8,3
58,1,33,6,10,5
59,0,38,8,6,4
60,1,44,2,5,4
61,0,24,1,2,1
62,1,38,2,5,4
63,1,43,3,7,3
64,0,31,5,7,1
65,1,24,9,2,3
66,0,39,3,6,5
67,0,31,8,10,1
68,1,25,4,7,3
69,1,32,4,7,3
70,1,42,8,10,5
71,0,32,1,2,1
72,0,25,7,10,3
73,0,48,8,10,3
74,1,42,7,7,3
75,1,46,4,9,3
76,1,29,8,4,2
77,0,48,3,3,5
78,1,39,3,9,5
79,0,41,7,8,3
80,1,41,6,4,4
81,1,28,4,7,3
82,0,25,3,6,4
83,1,40,3,6,5
84,0,28,7,8,3
85,1,39,8,10,1
86,0,36,2,4,2
87,1,25,3,3,2
88,0,45,7,10,3
89,0,41,3,6,5
90,0,32,6,4,2
91,0,29,7,8,3
92,0,33,3,9,1
93,1,29,2,6,5
94,1,47,1,2,3
95,0,38,2,5,5
96,0,24,6,4,2
97,0,47,3,9,1
98,0,27,8,10,1
99,0,29,9,10,3
100,1,28,5,9,4
101,0,33,3,9,1
102,1,24,3,7,1
103,1,28,6,4,2
104,0,29,10,2,3
105,0,47,8,4,2
106,1,26,1,2,1
107,1,30,4,7,3
108,1,37,4,7,3
109,1,29,6,4,2
110,1,26,7,7,3
111,1,46,2,4,2
112,1,46,7,7,1
113,0,41,1,2,1
114,0,29,1,2,1
115,1,34,6,4,2
