sample,male,age,apple,attribute,benefit,value
1,1,27,0,빠른 속도,사용하기 편리하다,즐거운 인생
2,0,44,0,저장용량,업무효율성이 높아진다,풍족한 삶
3,0,39,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
4,0,41,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
5,0,31,1,브랜드,개성을 표현할 수 있다,자아존중
6,0,25,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
7,0,30,0,빠른 속도,사용하기 편리하다,걱정없는 삶
8,0,24,0,세련된 스타일,여가활동이 즐겁다,좋은 관계
9,0,45,0,빠른 속도,사용하기 편리하다,즐거운 인생
10,1,42,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
11,0,29,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
12,1,30,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
13,0,36,0,화면크기,업무효율성이 높아진다,풍족한 삶
14,0,36,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
15,0,41,1,브랜드,개성을 표현할 수 있다,자아존중
16,0,34,0,화면크기,여가활동이 즐겁다,좋은 관계
17,0,46,0,내구성,경제적 손실을 줄인다,걱정없는 삶
18,1,23,1,브랜드,신뢰할 수 있다,풍족한 삶
19,0,43,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
20,1,34,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
21,1,38,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
22,1,46,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
23,1,36,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
24,1,27,1,세련된 스타일,신뢰할 수 있다,풍족한 삶
25,1,26,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
26,1,43,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
27,0,34,0,저장용량,업무효율성이 높아진다,풍족한 삶
28,1,35,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
29,0,47,0,저장용량,사용하기 편리하다,즐거운 인생
30,0,27,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
31,1,25,0,화면크기,사용하기 편리하다,즐거운 인생
32,0,31,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
33,0,33,1,브랜드,신뢰할 수 있다,걱정없는 삶
34,1,46,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
35,0,37,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
36,0,24,0,빠른 속도,사용하기 편리하다,풍족한 삶
37,0,28,0,강력한 보안,신뢰할 수 있다,풍족한 삶
38,1,33,1,세련된 스타일,개성을 표현할 수 있다,자아존중
39,0,40,1,브랜드,개성을 표현할 수 있다,즐거운 인생
40,0,48,0,내구성,SNS 참여가 쉽다,자아존중
41,1,24,1,세련된 스타일,개성을 표현할 수 있다,자아존중
42,1,46,1,화면크기,여가활동이 즐겁다,좋은 관계
43,1,29,0,세련된 스타일,여가활동이 즐겁다,좋은 관계
44,1,41,0,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
45,0,41,0,카메라성능,여가활동이 즐겁다,자아존중
46,0,29,0,강력한 보안,업무효율성이 높아진다,풍족한 삶
47,1,43,0,카메라성능,SNS 참여가 쉽다,좋은 관계
48,1,41,0,빠른 속도,사용하기 편리하다,즐거운 인생
49,1,24,0,카메라성능,개성을 표현할 수 있다,좋은 관계
50,1,40,0,화면크기,업무효율성이 높아진다,풍족한 삶
51,0,27,1,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
52,1,44,1,저장용량,업무효율성이 높아진다,걱정없는 삶
53,0,25,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
54,0,28,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
55,0,35,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
56,0,38,1,브랜드,개성을 표현할 수 있다,자아존중
57,0,38,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
58,1,33,1,세련된 스타일,신뢰할 수 있다,즐거운 인생
59,0,38,1,브랜드,여가활동이 즐겁다,좋은 관계
60,1,44,0,카메라성능,SNS 참여가 쉽다,좋은 관계
61,0,24,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
62,1,38,0,카메라성능,SNS 참여가 쉽다,좋은 관계
63,1,43,0,화면크기,업무효율성이 높아진다,걱정없는 삶
64,0,31,0,저장용량,업무효율성이 높아진다,풍족한 삶
65,1,24,0,내구성,경제적 손실을 줄인다,걱정없는 삶
