sales,tv_ad,internet_ad,promotion
538.2 ,69.2,37.8,0
685.2 ,38,39.3,1
591.9 ,69.3,45.9,0
563.7 ,71,41.3,0
527.2 ,58.4,10.8,1
740.0 ,32,48.9,1
446.9 ,23.5,32.8,0
344.4 ,11.6,19.6,0
408.7 ,25,2.1,1
244.2 ,21.2,2.6,0
266.4 ,22,5.8,0
363.8 ,4,24,0
706.1 ,65.9,35.1,1
259.4 ,7.2,7.6,0
487.7 ,55,32.9,0
608.4 ,72.9,47.7,0
801.7 ,114,36.6,1
1347.8 ,695,39.6,0
522.2 ,18.3,20.5,1
382.4 ,19.1,23.9,0
451.3 ,53.4,27.7,0
459.3 ,42,5.1,1
508.0 ,28,15.9,1
511.7 ,26.2,16.9,1
306.7 ,18.3,12.6,0
248.0 ,19.5,3.5,0
572.0 ,12.6,29.3,1
534.8 ,40,16.7,1
408.4 ,22.9,27.1,0
336.4 ,24,16,0
586.9 ,26,28,1
387.6 ,59,17,0
653.6 ,29,37,1
482.9 ,113,21,0
452.0 ,68,25,0
604.5 ,115,39,0
690.4 ,115,20,1
594.3 ,34,27,1
482.5 ,66,30,0
553.8 ,70,40,0
823.9 ,52,56,1
581.8 ,92,40,0
399.8 ,53,20,0
810.1 ,98,42,1
551.6 ,32,47,0
723.1 ,72,36,1
708.3 ,103,57,0
627.9 ,97,46,0
459.5 ,105,19,0
639.5 ,71,24,1
675.5 ,26,41,1
679.6 ,36,39,1
460.2 ,90,22,0
717.1 ,107,26,1
719.4 ,92,23,0
780.0 ,40,16,1
1095.4 ,68,55,1
1046.0 ,67,48,1
914.5 ,79,55,0
1012.2 ,71,42,1
600.4 ,35,16,0
694.3 ,36,30,0
873.2 ,81,19,1
1023.6 ,112,33,1
812.3 ,39,21,1
1013.0 ,83,39,1
838.7 ,87,42,0
755.3 ,32,40,0
928.4 ,64,60,0
1072.4 ,55,55,1
885.2 ,82,50,0
677.0 ,38,27,0
881.9 ,95,47,0
940.9 ,27,43,1
1049.0 ,38,56,1
755.0 ,94,28,0
818.9 ,30,50,0
770.8 ,96,30,0
870.1 ,39,56,0
799.6 ,28,22,1
860.2 ,66,21,1
602.2 ,26,18,0
723.8 ,28,36,0
878.9 ,103,45,0
765.8 ,118,25,0
833.3 ,88,41,0
990.8 ,105,30,1
1051.6 ,51,53,1
829.8 ,106,37,0
752.1 ,71,32,0
1018.9 ,94,37,1
792.0 ,40,44,0
1183.6 ,110,57,1
870.3 ,117,41,0
1094.9 ,60,57,1
894.9 ,51,30,1
948.0 ,31,43,1
759.6 ,82,31,0
758.1 ,29,41,0
1188.1 ,101,60,1
